TimeStep,N_all,Px_mean_all,Py_mean_all,Pz_mean_all,Px_min_all,Px_max_all,Px_std_all,Px_var_all,Py_min_all,Py_max_all,Py_std_all,Py_var_all,Pz_min_all,Pz_max_all,Pz_std_all,Pz_var_all,absPx_mean_all,absPy_mean_all,absPz_mean_all,Pmag_mean_all,N_xy,Px_mean_xy,Py_mean_xy,Pz_mean_xy,Px_min_xy,Px_max_xy,Px_std_xy,Px_var_xy,Py_min_xy,Py_max_xy,Py_std_xy,Py_var_xy,Pz_min_xy,Pz_max_xy,Pz_std_xy,Pz_var_xy,absPx_mean_xy,absPy_mean_xy,absPz_mean_xy,Pmag_mean_xy,N_xz,Px_mean_xz,Py_mean_xz,Pz_mean_xz,Px_min_xz,Px_max_xz,Px_std_xz,Px_var_xz,Py_min_xz,Py_max_xz,Py_std_xz,Py_var_xz,Pz_min_xz,Pz_max_xz,Pz_std_xz,Pz_var_xz,absPx_mean_xz,absPy_mean_xz,absPz_mean_xz,Pmag_mean_xz,N_yz,Px_mean_yz,Py_mean_yz,Pz_mean_yz,Px_min_yz,Px_max_yz,Px_std_yz,Px_var_yz,Py_min_yz,Py_max_yz,Py_std_yz,Py_var_yz,Pz_min_yz,Pz_max_yz,Pz_std_yz,Pz_var_yz,absPx_mean_yz,absPy_mean_yz,absPz_mean_yz,Pmag_mean_yz,M2y_xy,M2y_xz,M2y_yz,H_M2_sections
0.0,2400.0,-0.1205593,0.1676249,0.0001764752,-0.1557028,-0.08416758,0.01000713,0.0001001426,0.1365184,0.2029601,0.009454562,8.938874e-05,-0.1874349,0.1860983,0.157565,0.02482673,0.1205593,0.1676249,0.1571504,0.2599661,240.0,-0.1186566,0.1691916,0.000374423,-0.1468169,-0.08527893,0.009461681,8.952341e-05,0.1458081,0.1924239,0.009963134,9.926404e-05,-0.1779378,0.1809641,0.1558617,0.02429287,0.1186566,0.1691916,0.1550616,0.2588807,100.0,-0.1258089,0.1678059,-0.1403148,-0.1557028,-0.1021888,0.009951982,9.904194e-05,0.1511436,0.1962659,0.009436462,8.904682e-05,-0.1608465,-0.121006,0.009849902,9.702057e-05,0.1258089,0.1678059,0.1403148,0.2528149,240.0,-0.1211452,0.1685868,-0.001510214,-0.1453842,-0.08416758,0.009863016,9.727908e-05,0.1438672,0.1949439,0.009327298,8.699848e-05,-0.1830849,0.1860983,0.1594791,0.02543358,0.1211452,0.1685868,0.1587826,0.2618366,0.02872506155056,0.028247866894810004,0.02850850761424,0.008385557841032527
10000.0,2400.0,-0.1206649,0.1653831,-2.70031e-05,-0.1563072,-0.08074795,0.01007293,0.0001014638,0.1337052,0.2033445,0.009557825,9.135202e-05,-0.1880842,0.18935,0.1604391,0.02574072,0.1206649,0.1653831,0.1599846,0.2603214,240.0,-0.1203264,0.1667648,-0.0007186202,-0.1461647,-0.08703569,0.01049379,0.0001101196,0.1417643,0.1954586,0.01055947,0.0001115023,-0.180229,0.1795352,0.1605694,0.02578252,0.1203264,0.1667648,0.1597675,0.2609587,100.0,-0.1238376,0.165187,-0.1420082,-0.1540177,-0.09841212,0.009700382,9.409742e-05,0.1398753,0.1824411,0.009401741,8.839274e-05,-0.1632415,-0.1240591,0.008521416,7.261452e-05,0.1238376,0.165187,0.1420082,0.2509815,240.0,-0.1209109,0.1661039,0.0004744869,-0.1481513,-0.08074795,0.009916203,9.833107e-05,0.1422147,0.1867936,0.008038031,6.460994e-05,-0.1756713,0.1813083,0.1609182,0.02589466,0.1209109,0.1661039,0.1602398,0.2609808,0.027922000819039998,0.027375137709,0.027655115535210002,0.009889701410473238
20000.0,2400.0,-0.1227444,0.1653161,0.0001472834,-0.1532846,-0.09060994,0.009921931,9.844471e-05,0.1327399,0.1970894,0.009292467,8.634994e-05,-0.1835515,0.186683,0.158129,0.02500477,0.1227444,0.1653161,0.1576921,0.2598498,240.0,-0.1241063,0.165637,0.0001857263,-0.1532846,-0.09076621,0.01080578,0.000116765,0.138617,0.1935504,0.009438782,8.90906e-05,-0.1791142,0.1810546,0.160394,0.02572624,0.1241063,0.165637,0.1597993,0.2619458,100.0,-0.1285284,0.1660982,-0.1424664,-0.1442876,-0.1064206,0.007971379,6.354288e-05,0.1428482,0.1894506,0.01003329,0.000100667,-0.1705567,-0.1186734,0.01093126,0.0001194925,0.1285284,0.1660982,0.1424664,0.2542415,240.0,-0.1224439,0.1633398,0.0006736259,-0.1450586,-0.09060994,0.009842007,9.686511e-05,0.1448405,0.1907393,0.007853182,6.167247e-05,-0.182899,0.1771657,0.1577088,0.02487208,0.1224439,0.1633398,0.1570186,0.2579711,0.027524706369000004,0.02768927904324,0.026741562734040002,0.018536387454628305
30000.0,2400.0,-0.1253674,0.1637853,0.0001591055,-0.1571853,-0.08023182,0.01020297,0.0001041006,0.1283622,0.191929,0.009311535,8.670467e-05,-0.1921047,0.1850573,0.1574621,0.0247943,0.1253674,0.1637853,0.1570363,0.25974,240.0,-0.123441,0.1631457,-0.0002907135,-0.1450611,-0.09041632,0.01027607,0.0001055977,0.1297943,0.1835558,0.009836118,9.674922e-05,-0.1921047,0.1778792,0.156921,0.02462419,0.123441,0.1631457,0.1561257,0.2579207,100.0,-0.1314693,0.1640416,-0.1409697,-0.1460818,-0.1122123,0.007967836,6.348641e-05,0.1408592,0.1853839,0.0092486,8.553661e-05,-0.1642702,-0.1154312,0.0100836,0.000101679,0.1314693,0.1640416,0.1409697,0.2535105,240.0,-0.1250228,0.1637723,0.002094767,-0.1514518,-0.1031039,0.009744713,9.495943e-05,0.1437542,0.1831805,0.008920587,7.957688e-05,-0.1769991,0.1827685,0.1576879,0.02486549,0.1250228,0.1637723,0.1569407,0.2595164,0.026713268648490003,0.026995183140560004,0.026900943127290005,0.005341112534257436
40000.0,2400.0,-0.1243105,0.1638761,-0.0004982832,-0.1682991,-0.08790947,0.01030248,0.0001061412,0.135029,0.1915284,0.009219076,8.499137e-05,-0.1861278,0.1892044,0.1571169,0.02468572,0.1243105,0.1638761,0.1566597,0.2590719,240.0,-0.1241112,0.1628163,-0.0002676607,-0.1470441,-0.09002005,0.008430062,7.106594e-05,0.1403375,0.1823744,0.007860841,6.179282e-05,-0.1852043,0.1735404,0.1569112,0.02462112,0.1241112,0.1628163,0.1561216,0.2578767,100.0,-0.1306497,0.1636952,-0.1359832,-0.1487937,-0.1119606,0.009316495,8.679708e-05,0.1425058,0.1838618,0.008682047,7.537793e-05,-0.1563101,-0.1214443,0.007500486,5.62573e-05,0.1306497,0.1636952,0.1359832,0.2500561,240.0,-0.1248412,0.1660001,-0.0005071144,-0.1526314,-0.1017947,0.01057199,0.0001117671,0.1423421,0.1915284,0.009016096,8.128999e-05,-0.178046,0.1799645,0.1566278,0.02453226,0.1248412,0.1660001,0.1558555,0.2602254,0.02657094036569,0.02687149643304,0.027637323190010003,0.020344707265502877
50000.0,2400.0,-0.1250094,0.1626301,0.0006264069,-0.1629438,-0.09292634,0.009326948,8.699196e-05,0.1332859,0.1952434,0.009055845,8.200832e-05,-0.1841164,0.1872983,0.1592303,0.02535429,0.1250094,0.1626301,0.1588315,0.2598793,240.0,-0.1251903,0.1635319,0.00042573,-0.1497878,-0.0949537,0.009718398,9.444725e-05,0.1445172,0.1881911,0.008574559,7.352307e-05,-0.1810444,0.1872983,0.1601799,0.0256576,0.1251903,0.1635319,0.1595089,0.2609269,100.0,-0.1282671,0.1631629,-0.1454487,-0.1492537,-0.1053506,0.009660819,9.333143e-05,0.144397,0.182179,0.008429474,7.105603e-05,-0.162726,-0.1167377,0.009047157,8.185106e-05,0.1282671,0.1631629,0.1454487,0.2538232,240.0,-0.1253744,0.1635845,0.0005332424,-0.1629438,-0.10187,0.009710514,9.429408e-05,0.1374629,0.1952434,0.009233275,8.525337e-05,-0.1810444,0.1872983,0.1613339,0.02602863,0.1253744,0.1635845,0.1606462,0.2617878,0.026816205387610002,0.026693187966409997,0.026845142010249998,0.003012346620843241
60000.0,2400.0,-0.1308385,0.1613396,-0.0004317588,-0.1620851,-0.09589593,0.009494901,9.015314e-05,0.128602,0.1915191,0.009422035,8.877475e-05,-0.1880493,0.185662,0.1561212,0.02437382,0.1308385,0.1613396,0.1556551,0.2600715,240.0,-0.1296232,0.1616247,7.436702e-05,-0.156405,-0.1002184,0.01032499,0.0001066053,0.1332883,0.1836048,0.01038464,0.0001078407,-0.1778172,0.185662,0.1565668,0.02451315,0.1296232,0.1616247,0.1557358,0.2597915,100.0,-0.1357986,0.1616792,-0.1430062,-0.156405,-0.1114348,0.008777723,7.704843e-05,0.138903,0.181872,0.008351292,6.974407e-05,-0.1653015,-0.1251959,0.009111472,8.301892e-05,0.1357986,0.1616792,0.1430062,0.2553764,240.0,-0.1305544,0.1593835,-0.0008750195,-0.1520642,-0.1049294,0.00935792,8.757067e-05,0.1335789,0.1821764,0.008927586,7.970179e-05,-0.1785059,0.1736256,0.155797,0.02427271,0.1305544,0.1593835,0.1550841,0.2583389,0.026230384350090005,0.02620990778264,0.025482801862250003,0.01639420168609111
70000.0,2400.0,-0.1311266,0.1596738,0.0002779513,-0.161155,-0.09890177,0.009563495,9.146045e-05,0.127816,0.1904458,0.009431395,8.895121e-05,-0.1856983,0.1831536,0.1559891,0.02433261,0.1311266,0.1596738,0.1555827,0.2591137,240.0,-0.1318318,0.1585685,0.0002870039,-0.1581905,-0.1054739,0.009843868,9.690175e-05,0.1311017,0.1811011,0.009255765,8.566919e-05,-0.1785161,0.1759365,0.1550904,0.02405304,0.1318318,0.1585685,0.1543481,0.2580849,100.0,-0.133952,0.1598821,-0.1415436,-0.1525557,-0.1152118,0.008374101,7.012556e-05,0.1389456,0.1773399,0.008526332,7.269833e-05,-0.15588,-0.114432,0.008127163,6.605077e-05,0.133952,0.1598821,0.1415436,0.2523998,240.0,-0.1304819,0.1590001,0.002586035,-0.1547245,-0.1028314,0.009175758,8.419453e-05,0.1319865,0.1804999,0.008937359,7.987639e-05,-0.1716153,0.1820269,0.1545118,0.02387389,0.1304819,0.1590001,0.153891,0.2573098,0.025229638382249998,0.02563498423041,0.025360908190010002,0.0081399132940958
80000.0,2400.0,-0.1296734,0.1600023,-0.0002987115,-0.1628481,-0.09572409,0.009670184,9.351246e-05,0.1286931,0.193662,0.00896725,8.041158e-05,-0.1923282,0.1833461,0.15695,0.02463331,0.1296734,0.1600023,0.1565422,0.2591498,240.0,-0.1286995,0.1597091,0.0002846052,-0.1533886,-0.09636254,0.009538813,9.098895e-05,0.1320739,0.1793253,0.009237291,8.532755e-05,-0.18024,0.1790089,0.1573006,0.02474347,0.1286995,0.1597091,0.15661,0.2585234,100.0,-0.1347412,0.1602942,-0.1384199,-0.1628298,-0.1163299,0.009429838,8.892184e-05,0.1439333,0.1778586,0.006937437,4.812803e-05,-0.1586996,-0.1143168,0.008964904,8.03695e-05,0.1347412,0.1602942,0.1384199,0.2513668,240.0,-0.1298031,0.1609938,-0.0006263735,-0.1574031,-0.1009444,0.009512265,9.048319e-05,0.1338521,0.1851078,0.009284083,8.619419e-05,-0.1758989,0.1794792,0.1585987,0.02515355,0.1298031,0.1609938,0.157947,0.2606511,0.02559232417281,0.02574235858364,0.026005197828439998,0.008106661587146213
90000.0,2400.0,-0.1338967,0.1593189,-0.0001833321,-0.1619138,-0.1011351,0.009316873,8.680412e-05,0.1236011,0.1933615,0.009617535,9.249697e-05,-0.1915989,0.1844298,0.1555061,0.02418215,0.1338967,0.1593189,0.1550422,0.2599982,240.0,-0.1348769,0.15989,-0.0003735536,-0.1601539,-0.107452,0.009105884,8.291712e-05,0.135903,0.1791458,0.008409171,7.071415e-05,-0.1818744,0.1739624,0.1558875,0.0243009,0.1348769,0.15989,0.1551822,0.2608832,100.0,-0.134124,0.1590262,-0.1393408,-0.1550629,-0.1147649,0.00886543,7.859585e-05,0.1395208,0.1854848,0.009939641,9.879646e-05,-0.1614402,-0.1166062,0.0093676,8.775193e-05,0.134124,0.1590262,0.1393408,0.2508183,240.0,-0.1342532,0.1593317,-0.001463855,-0.1605303,-0.1034664,0.009797516,9.599132e-05,0.1267829,0.189309,0.01012837,0.0001025839,-0.1915989,0.1785995,0.1571473,0.02469527,0.1342532,0.1593317,0.1563887,0.2610468,0.025635526250000002,0.025388128746440003,0.02548917452489,0.004877152163866531
