TimeStep,simtime,s1,s2,s3,p1,p2,p3,p1_abs,p2_abs,p3_abs,p1_vir,p2_vir,p3_vir,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,E_t,stress_pred_M2,resid_M2
0,0.0,0.0,0.0,0.0,-2.1243238279566899e-13,5.35294475412229e-14,3.38047811965225e-14,-0.0235906282242816,0.0163475216882423,-0.01885509083199,-0.0181488595407525,0.0218076978659577,-0.0132928904854196,-17.3378798720627,-10.6468573834784,-13.6500331625396,-0.04123083,0.02654991,-0.003873155,-0.1716631,0.164926,0.1205627,0.01453537,-0.1858276,0.1906476,0.1446501,0.02092366,-0.1774589,0.1870711,0.1395927,0.01948612,0.1260213,0.1457513,0.1385387,0.2391104,0.0,0.0,5.35294475412229e-14,0.0216285577210081,0.14706650781536937,1.0,0.0,0.0067694101915496165,-0.006769410191496087,0.007909174975454607,0.04828178402055207,27.996402268024436,0.0,5.35294475412229e-14
10000,0.3775,0.0002120734664029,-0.0001509800000002,0.000157348264315,0.0236422549511595,0.0169976596517706,0.018412142607687,5.16267270903094e-05,0.0333451813399594,-0.0004429482243367,0.0055669508513964,0.038858436272706,0.0050063978439946,-17.3522376391608,-10.6547945633852,-13.6501772605866,-0.04070925,0.02640102,-0.003961513,-0.1859651,0.1699158,0.1212993,0.01471352,-0.1865192,0.1880378,0.1437795,0.02067254,-0.1830867,0.1781179,0.1412551,0.01995299,0.1265663,0.1448775,0.1402129,0.2398165,0.0,0.0001509800000002,0.0169976596517706,0.0213695538570404,0.1461832885696597,0.9880249128347506,0.01197508716524942,0.009884199222145031,0.00711346042962557,0.007993520653358304,0.03456780735789122,28.966630176306627,-0.0040438523514572874,0.02104151200322789
20000,0.8775,0.0002463256709415,-0.0003509800000002,0.0003306414549372,0.0220801499271523,0.010187427922397,0.0187674460323235,-0.0015104782969169,0.0265349496105858,-8.76447997003405e-05,0.0040084194877124,0.0320193707726909,0.0053691652914785,-17.3479884795758,-10.6529925055097,-13.6566085839681,-0.04148672,0.02662407,-0.004365126,-0.1773236,0.1699538,0.1217312,0.01481849,-0.1889804,0.1843955,0.1432617,0.02052391,-0.1809785,0.190055,0.1416853,0.02007474,0.1270599,0.144356,0.1406006,0.2401456,0.0,0.0003509800000002,0.010187427922397,0.0212327511033649,0.14571462213300662,0.9816998145346165,0.01830018546538348,0.014210536924448399,-0.004023109002051399,0.007741447797272411,0.04687775827536545,32.71530882263248,0.02176730067067107,-0.011579872748274071
30000,1.3775,0.0002969963650285,-0.0005509800000002,0.0003801282721317,0.0225429747835709,-0.0036255336209304,0.0196242157164363,-0.0010476534404983,0.0127219880672584,0.0007691248844125,0.0044302803096103,0.0182125613857757,0.0062558494680944,-17.3649460338786,-10.6640056741376,-13.6436770014039,-0.04083693,0.02656803,-0.004189117,-0.1867249,0.1724001,0.1214846,0.01475852,-0.1862555,0.182093,0.141476,0.02001545,-0.1810004,0.188924,0.1427201,0.02036902,0.1267727,0.1426525,0.1416736,0.2394663,0.0,0.0005509800000002,0.0036255336209304,0.0207213102180809,0.14394898477613832,0.9580532592773868,0.041946740722613174,0.018977694081094027,-0.015352160460163626,0.007646088908070594,0.029840322152001036,34.46927023405738,-0.009023756469280109,0.01264929009021051
40000,1.8775,0.0004023140503012,-0.0007509800000002,0.0004722671248459,0.0229604549034177,-0.0170288722827216,0.0199255379096918,-0.0006301733206515,-0.0006813505945328,0.001070447077668,0.0048334221227698,0.0048158944329911,0.0065928479197756,-17.3696895237503,-10.6737540340372,-13.6539298606282,-0.04157863,0.02595477,-0.003843557,-0.1783417,0.1660488,0.1220715,0.01490145,-0.1820749,0.1834034,0.1409166,0.01985749,-0.2005504,0.1816022,0.1417038,0.02007997,0.1275721,0.1419709,0.1407051,0.2388829,0.0,0.0007509800000002,0.0170288722827216,0.020531140085752898,0.1432869152635819,0.9492607112591115,0.05073928874088851,0.025457134968453924,-0.008428262685732324,0.007412271019911076,0.05267895777486013,37.466407371393295,0.008724385002691987,0.008304487280029613
50000,2.3775,0.0005627339766943,-0.0009509800000002,0.0005213081399063,0.0236593322627037,-0.026624018628905,0.018877989307087,6.87040386344612e-05,-0.0102764969407162,2.28984750632181e-05,0.0055304760916668,-0.0047733771914226,0.0055569134450201,-17.3841553846694,-10.7753100454196,-13.6614711886987,-0.04179379,0.02433155,-0.00362894,-0.1837024,0.172044,0.1237199,0.01530661,-0.1770191,0.18081,0.1400018,0.01960051,-0.181011,0.1845884,0.1420822,0.02018734,0.1291701,0.140845,0.1410407,0.2392952,0.0,0.0009509800000002,0.026624018628905,0.0201925343254025,0.1421004374567598,0.9336052170408584,0.06639478295914159,0.032920436868745,-0.006296418239839997,0.00715656074701086,0.04523924042256631,38.404190114401054,0.004046126426193841,0.02257789220271116
60000,2.8775,0.0006051226672626,-0.0011509800000002,0.0006464411727305,0.0235155884550559,-0.0342626793366031,0.0199796233197192,-7.5039769013326e-05,-0.0179151576484143,0.0011245324876954,0.0053590580249949,-0.0124196019714677,0.006692115618865,-17.3934680351992,-10.7598296562083,-13.6461362638027,-0.04206141,0.02542261,-0.003836392,-0.1868553,0.1733765,0.1240716,0.01539375,-0.1836985,0.1818745,0.1396588,0.01950459,-0.1832041,0.1840958,0.1424505,0.02029215,0.1296022,0.1406312,0.1413889,0.239638,0.0,0.0011509800000002,0.0342626793366031,0.0201508990992121,0.1419538625723587,0.9316802053628971,0.06831979463710292,0.0420459610620145,-0.007783281725411401,0.0074694133459176325,0.046947137882490664,43.136666515307134,0.04423566738280549,-0.009972988046202391
70000,3.3775,0.0007943544848226,-0.0013509800000002,0.000585544842965,0.0243281293104488,-0.0475897147253906,0.0179007562162555,0.0007375010863795,-0.0312421930372018,-0.0009543346157682,0.006200826166866,-0.0257613366399479,0.0045805274636958,-17.4233718244985,-10.7703025726648,-13.6592483832801,-0.04241286,0.02445184,-0.003793876,-0.183182,0.1678551,0.1249444,0.0156111,-0.1808084,0.181856,0.138697,0.01923685,-0.1797431,0.1816321,0.1422987,0.02024893,0.1306239,0.1394834,0.1412965,0.2394166,0.0,0.0013509800000002,0.0475897147253906,0.0198347424793856,0.14083587071263343,0.9170626509283999,0.08293734907160011,0.04907125835459633,-0.001481543629205731,0.007438556727186617,0.06283792485834891,50.234370681350384,0.04294913768461439,0.004640577040776209
80000,3.8775,0.0008544722631713,-0.0015509800000002,0.0007158498048192,0.0245772709467607,-0.0524387287231554,0.0181194182536522,0.0009866427226915,-0.0360912070349666,-0.0007356725783716,0.0064447428977639,-0.0305733647719452,0.0047509192211483,-17.4305125434461,-10.7185361016798,-13.6748187109032,-0.04201174,0.02606979,-0.004506043,-0.1796224,0.1640292,0.1239134,0.01535453,-0.1742129,0.1831112,0.138182,0.01909426,-0.1840868,0.1970145,0.143126,0.02048506,0.1295192,0.1393018,0.1421446,0.2391944,0.0,0.0015509800000002,0.0524387287231554,0.0197738939506441,0.14061967839048736,0.9142493089790014,0.08575069102099864,0.05788704881793879,-0.005448320094783389,0.007430556861922057,0.02732301653616185,50.217401940467425,0.0802358364125515,-0.027797107689396097
90000,4.3775,0.000953125654323,-0.0017509800000002,0.0007968823294689,0.025172624116589,-0.0712738497610124,0.0180453394497852,0.0015819958925198,-0.0549263280728235,-0.0008097513822385,0.0070509460047963,-0.0494220834580086,0.0047108529398179,-17.4558530745826,-10.6987205599772,-13.6507073189216,-0.04262399,0.02602932,-0.004559084,-0.1858154,0.1689349,0.1244666,0.01549194,-0.1771246,0.1799951,0.1366948,0.01868547,-0.1863863,0.1824949,0.1441797,0.02078777,0.1302248,0.1377683,0.1431517,0.2393451,0.0,0.0017509800000002,0.0712738497610124,0.0193629954996624,0.13915098095113235,0.8952513500636646,0.10474864993633537,0.06861023168625793,0.002663618074754473,0.005816453805022033,0.05460844919525158,51.413549244438435,0.06463523511902458,0.006638614641987825
