TimeStep,N_all,Px_mean_all,Py_mean_all,Pz_mean_all,Px_min_all,Px_max_all,Px_std_all,Px_var_all,Py_min_all,Py_max_all,Py_std_all,Py_var_all,Pz_min_all,Pz_max_all,Pz_std_all,Pz_var_all,absPx_mean_all,absPy_mean_all,absPz_mean_all,Pmag_mean_all,N_xy,Px_mean_xy,Py_mean_xy,Pz_mean_xy,Px_min_xy,Px_max_xy,Px_std_xy,Px_var_xy,Py_min_xy,Py_max_xy,Py_std_xy,Py_var_xy,Pz_min_xy,Pz_max_xy,Pz_std_xy,Pz_var_xy,absPx_mean_xy,absPy_mean_xy,absPz_mean_xy,Pmag_mean_xy,N_xz,Px_mean_xz,Py_mean_xz,Pz_mean_xz,Px_min_xz,Px_max_xz,Px_std_xz,Px_var_xz,Py_min_xz,Py_max_xz,Py_std_xz,Py_var_xz,Pz_min_xz,Pz_max_xz,Pz_std_xz,Pz_var_xz,absPx_mean_xz,absPy_mean_xz,absPz_mean_xz,Pmag_mean_xz,N_yz,Px_mean_yz,Py_mean_yz,Pz_mean_yz,Px_min_yz,Px_max_yz,Px_std_yz,Px_var_yz,Py_min_yz,Py_max_yz,Py_std_yz,Py_var_yz,Pz_min_yz,Pz_max_yz,Pz_std_yz,Pz_var_yz,absPx_mean_yz,absPy_mean_yz,absPz_mean_yz,Pmag_mean_yz,M2y_xy,M2y_xz,M2y_yz,H_M2_sections
0.0,2400.0,-0.04384309,0.02548348,-0.003367478,-0.185541,0.1724482,0.128328,0.01646809,-0.1683086,0.1745104,0.1287678,0.01658114,-0.1894928,0.1922945,0.1476804,0.0218095,0.1341273,0.1297541,0.1466262,0.2392441,240.0,-0.02266968,-0.0268865,-0.003325425,-0.1727703,0.1520606,0.1319509,0.01741104,-0.1594355,0.15302,0.1233721,0.01522068,-0.1862487,0.1803162,0.1476807,0.02180958,0.1322202,0.1251016,0.1464552,0.2350876,100.0,-0.09685573,0.02511642,0.02102876,-0.1731745,0.1463588,0.1116838,0.01247328,-0.1521957,0.1595729,0.1275643,0.01627264,-0.1593822,0.1565547,0.1348293,0.01817893,0.1465708,0.1280917,0.1351166,0.238231,240.0,-0.0436416,0.03198531,0.004828302,-0.1724064,0.1710683,0.1277462,0.01631909,-0.1579019,0.1745104,0.1331621,0.01773214,-0.1827178,0.1837771,0.1457006,0.02122865,0.1333533,0.1356123,0.1444054,0.240486,0.01594356388225,0.0169034745536164,0.0187552000557961,0.08308920841286578
10000.0,2400.0,-0.04332889,0.02211072,-0.004215058,-0.1943333,0.1741585,0.1282484,0.01644766,-0.1778777,0.1721454,0.1293495,0.01673129,-0.1911448,0.190464,0.1463953,0.02143159,0.1340045,0.129702,0.1454026,0.23833,240.0,-0.02356668,-0.02597993,-0.004020712,-0.1674973,0.1562562,0.1310423,0.01717209,-0.1650159,0.159613,0.1243301,0.01545798,-0.1796794,0.1760637,0.1471813,0.02166233,0.1312549,0.1257359,0.1459941,0.2347779,100.0,-0.09993831,0.02185569,0.02158188,-0.1943333,0.1297529,0.1071921,0.01149014,-0.1592665,0.1639416,0.1302955,0.01697691,-0.1624696,0.1582443,0.1346035,0.0181181,0.1446797,0.1301502,0.13486,0.2384555,240.0,-0.04325028,0.03000286,0.003649301,-0.1744077,0.1677118,0.1286856,0.01655997,-0.1650159,0.1657596,0.1336572,0.01786425,-0.1712713,0.1770723,0.1428701,0.02041187,0.1342107,0.1358687,0.1415726,0.239202,0.0161329367628049,0.0174545811853761,0.0187644216081796,0.07539817127563565
20000.0,2400.0,-0.04359295,0.02227382,-0.003486701,-0.179672,0.1750592,0.1303439,0.01698953,-0.1677215,0.1705397,0.1279924,0.01638205,-0.1892033,0.1875216,0.1462649,0.02139343,0.1360506,0.1285066,0.1452329,0.2387056,240.0,-0.02072767,-0.02815272,-0.00356138,-0.1666885,0.1641371,0.1354951,0.01835891,-0.1677215,0.1487093,0.1214175,0.0147422,-0.1795314,0.1870094,0.1466665,0.02151107,0.1355361,0.1233595,0.1454252,0.235397,100.0,-0.09979501,0.02232738,0.02043881,-0.1789024,0.1402581,0.1076729,0.01159344,-0.1545887,0.162528,0.1279204,0.01636362,-0.1639103,0.1584178,0.1344684,0.01808175,0.1450079,0.1276835,0.1344576,0.2371872,240.0,-0.04345587,0.03300514,0.003676375,-0.1727256,0.1737835,0.1286802,0.01655858,-0.1677215,0.1692818,0.1317692,0.01736313,-0.17159,0.1818305,0.1445294,0.02088875,0.1341401,0.134507,0.1432914,0.2395656,0.015534775643398401,0.0168621318976644,0.0184524692664196,0.08618517151683909
30000.0,2400.0,-0.04405557,0.02236222,-0.004062738,-0.1893426,0.1764821,0.1290653,0.01665785,-0.1739905,0.1702622,0.1276681,0.01629914,-0.1874508,0.1900701,0.147534,0.02176629,0.1349786,0.1282186,0.146489,0.2387089,240.0,-0.02108572,-0.02522389,-0.00398168,-0.1775699,0.1688298,0.1343768,0.01805712,-0.162555,0.1669446,0.1231419,0.01516392,-0.1799849,0.1837846,0.1472641,0.02168672,0.1343584,0.1241872,0.1459508,0.2357343,100.0,-0.09872222,0.02210808,0.01805206,-0.1782057,0.1358037,0.1068362,0.01141396,-0.1559502,0.1570647,0.1296525,0.01680976,-0.1636199,0.1537707,0.1342679,0.01802786,0.1436036,0.1291281,0.1337234,0.2369432,240.0,-0.04402183,0.02888131,0.003828134,-0.1793717,0.1725729,0.1285877,0.0165348,-0.1608183,0.1702622,0.1316864,0.01734131,-0.1813915,0.184798,0.1452598,0.02110042,0.1342562,0.1336487,0.1437746,0.2394928,0.0158001646267321,0.0172985272012864,0.018175440067316098,0.0702758224850196
40000.0,2400.0,-0.04199908,0.02205965,-0.003922355,-0.1781229,0.1873958,0.1292847,0.01671454,-0.1678213,0.1722963,0.1260755,0.01589504,-0.1906396,0.1917603,0.1491651,0.02225023,0.1345957,0.1266694,0.1482103,0.238617,240.0,-0.01970871,-0.02897193,-0.003932398,-0.1638357,0.1588667,0.1315715,0.01731106,-0.1629461,0.1526057,0.1215531,0.01477515,-0.1853527,0.1837721,0.1497435,0.0224231,0.1316498,0.1235253,0.1484804,0.2352429,100.0,-0.09788834,0.02215571,0.01943115,-0.1715903,0.1348099,0.1056812,0.01116851,-0.149164,0.1587609,0.1277506,0.01632021,-0.1706537,0.1589855,0.137236,0.01883372,0.1421881,0.1280015,0.1369044,0.2369396,240.0,-0.04201402,0.03108111,0.00275873,-0.1726603,0.1748822,0.1289845,0.016637,-0.1586832,0.1722963,0.1283047,0.0164621,-0.1804418,0.1854213,0.1479525,0.02188994,0.1339831,0.1308879,0.1466351,0.2394528,0.015614522727924901,0.016811085485604102,0.0174281353988321,0.05548881881440223
50000.0,2400.0,-0.04322097,0.02125545,-0.003787514,-0.1834541,0.1744153,0.1298587,0.01686329,-0.1675224,0.1729788,0.1251657,0.01566646,-0.1851183,0.192916,0.1481701,0.02195438,0.1355718,0.1255548,0.1471576,0.2379673,240.0,-0.01891759,-0.02807465,-0.003841489,-0.1644955,0.1567437,0.1341487,0.01799589,-0.1675224,0.1484154,0.1193114,0.0142352,-0.1781099,0.1854097,0.1484527,0.02203821,0.1341243,0.1211111,0.1473302,0.2345911,100.0,-0.09593396,0.02125293,0.01856526,-0.1785269,0.1354022,0.1103515,0.01217746,-0.1526431,0.1520984,0.124697,0.01554934,-0.1587308,0.1563593,0.1350032,0.01822587,0.1449291,0.1242613,0.1347428,0.2352372,240.0,-0.04310729,0.03006584,0.003442093,-0.1790336,0.1598042,0.1295394,0.01678046,-0.1545117,0.1653125,0.1291758,0.0166864,-0.1754343,0.1837525,0.1445186,0.02088562,0.1350561,0.1315115,0.1429898,0.2381576,0.0150233859726225,0.0160010270335849,0.0175903547349056,0.07994941510181425
60000.0,2400.0,-0.04373148,0.02142006,-0.003530727,-0.1857925,0.1749258,0.1295035,0.01677115,-0.1678809,0.1692004,0.1249645,0.01561614,-0.1902238,0.1849989,0.1488621,0.02215993,0.1354302,0.1254557,0.147881,0.238195,240.0,-0.02040008,-0.0257626,-0.003465191,-0.1703661,0.1616612,0.1333,0.0177689,-0.157974,0.1445618,0.1205325,0.01452809,-0.1812207,0.1813685,0.1498821,0.02246463,0.1333419,0.1218878,0.1487242,0.2354283,100.0,-0.0999619,0.02131281,0.01969006,-0.1729509,0.1439621,0.1066927,0.01138334,-0.1469777,0.1638593,0.1269807,0.0161241,-0.1677315,0.1653463,0.1377933,0.01898701,0.1443369,0.1266628,0.1373806,0.2381253,240.0,-0.04373175,0.03142854,0.005472456,-0.1748935,0.1607569,0.1297583,0.01683723,-0.1529871,0.1692004,0.1286742,0.01655704,-0.1696245,0.1818254,0.14655,0.02147691,0.1355012,0.1311669,0.1452446,0.2396219,0.01519180155876,0.0165783358700961,0.017544793126531597,0.07194954454059209
70000.0,2400.0,-0.04389514,0.02091713,-0.004558116,-0.1821439,0.1801861,0.1305008,0.01703046,-0.1624292,0.1711546,0.1236991,0.01530147,-0.1885743,0.1896439,0.1496843,0.02240538,0.1362758,0.123967,0.1487861,0.2386011,240.0,-0.02103745,-0.02996912,-0.004594867,-0.1735126,0.1684107,0.1347907,0.01816855,-0.1624292,0.1460054,0.1169942,0.01368764,-0.184129,0.1766393,0.1502524,0.02257578,0.1348455,0.1193451,0.1491179,0.2353068,100.0,-0.1019914,0.02100123,0.01698055,-0.1821439,0.1324918,0.1124007,0.01263392,-0.1482175,0.1527457,0.1227151,0.01505899,-0.1675002,0.1654494,0.1366117,0.01866276,0.1501206,0.1220267,0.135787,0.2383757,240.0,-0.04374963,0.03005576,0.001764282,-0.1737487,0.1714728,0.1293635,0.01673491,-0.1535942,0.1702787,0.1291143,0.01667051,-0.1823452,0.1802757,0.1484516,0.02203788,0.1348736,0.1313782,0.1470352,0.2405568,0.014585788153574399,0.0155000416615129,0.0175738587091776,0.09637546678198018
80000.0,2400.0,-0.04371124,0.02286197,-0.004203902,-0.1859211,0.1742697,0.1308322,0.01711705,-0.1646518,0.1701482,0.1214612,0.01475281,-0.1887687,0.1964075,0.150544,0.02266349,0.1366691,0.1221664,0.1495558,0.238318,240.0,-0.02142816,-0.02464177,-0.004299398,-0.1729156,0.1615342,0.1351278,0.01825953,-0.1646518,0.1473928,0.1181336,0.01395554,-0.1839678,0.181198,0.1509972,0.02280016,0.135366,0.1193242,0.1497692,0.2360343,100.0,-0.1015195,0.022807,0.02211758,-0.1773985,0.134772,0.1103752,0.01218268,-0.1437516,0.1551052,0.1215135,0.01476552,-0.1624586,0.176517,0.1376588,0.01894995,0.1480879,0.121699,0.1377005,0.2378818,240.0,-0.04356816,0.03099186,0.00364925,-0.1739754,0.1668105,0.1306188,0.01706128,-0.15658,0.1566444,0.1258578,0.01584019,-0.177822,0.1888572,0.1482851,0.02198848,0.1361923,0.1284707,0.1468941,0.2394922,0.014562756828732901,0.015285679249000001,0.0168006853862596,0.07344753173830586
90000.0,2400.0,-0.04360589,0.02194654,-0.003833173,-0.1868271,0.1790614,0.1308807,0.01712975,-0.1629458,0.1656766,0.1219035,0.01486047,-0.1944353,0.1971583,0.1490821,0.02222546,0.1367101,0.1224928,0.1481421,0.2375494,240.0,-0.02087047,-0.02623862,-0.003915511,-0.1702485,0.1628391,0.1352806,0.01830085,-0.1559713,0.1436403,0.1155285,0.01334684,-0.1791659,0.1824224,0.1503468,0.02260415,0.135482,0.1172023,0.1492908,0.2344844,100.0,-0.100657,0.02172514,0.02155573,-0.1868271,0.1489022,0.1106507,0.01224358,-0.1435737,0.1500549,0.1200608,0.01441459,-0.1639611,0.1612358,0.1370906,0.01879384,0.1476149,0.1198989,0.1373113,0.236377,240.0,-0.0434157,0.03155803,0.004336694,-0.1724649,0.1619792,0.1298742,0.0168673,-0.1435737,0.1649275,0.1229609,0.01511938,-0.1715728,0.1745314,0.1469391,0.02159111,0.1355171,0.1256677,0.1458231,0.2368583,0.0140353051795044,0.014886571708019599,0.0161152892574809,0.06965476498063315
