TimeStep,N_all,Px_mean_all,Py_mean_all,Pz_mean_all,Px_min_all,Px_max_all,Px_std_all,Px_var_all,Py_min_all,Py_max_all,Py_std_all,Py_var_all,Pz_min_all,Pz_max_all,Pz_std_all,Pz_var_all,absPx_mean_all,absPy_mean_all,absPz_mean_all,Pmag_mean_all,N_xy,Px_mean_xy,Py_mean_xy,Pz_mean_xy,Px_min_xy,Px_max_xy,Px_std_xy,Px_var_xy,Py_min_xy,Py_max_xy,Py_std_xy,Py_var_xy,Pz_min_xy,Pz_max_xy,Pz_std_xy,Pz_var_xy,absPx_mean_xy,absPy_mean_xy,absPz_mean_xy,Pmag_mean_xy,N_xz,Px_mean_xz,Py_mean_xz,Pz_mean_xz,Px_min_xz,Px_max_xz,Px_std_xz,Px_var_xz,Py_min_xz,Py_max_xz,Py_std_xz,Py_var_xz,Pz_min_xz,Pz_max_xz,Pz_std_xz,Pz_var_xz,absPx_mean_xz,absPy_mean_xz,absPz_mean_xz,Pmag_mean_xz,N_yz,Px_mean_yz,Py_mean_yz,Pz_mean_yz,Px_min_yz,Px_max_yz,Px_std_yz,Px_var_yz,Py_min_yz,Py_max_yz,Py_std_yz,Py_var_yz,Pz_min_yz,Pz_max_yz,Pz_std_yz,Pz_var_yz,absPx_mean_yz,absPy_mean_yz,absPz_mean_yz,Pmag_mean_yz,M2y_xy,M2y_xz,M2y_yz,H_M2_sections
0.0,2400.0,-0.1453226,0.1396119,-0.0006804808,-0.1800579,-0.1124516,0.00957459,9.167278e-05,0.09534723,0.178745,0.01086376,0.0001180212,-0.1934351,0.1979378,0.1610411,0.02593422,0.1453226,0.1396119,0.1605498,0.2582337,240.0,-0.1439074,0.1402284,-0.001116359,-0.1727084,-0.121366,0.01036527,0.0001074387,0.09548944,0.1644031,0.01009114,0.0001018312,-0.1813945,0.1979378,0.1630495,0.02658514,0.1439074,0.1402284,0.1623148,0.2588634,100.0,-0.1511897,0.1395904,-0.1402972,-0.1722867,-0.1318157,0.008698455,7.566313e-05,0.1131055,0.1727745,0.01083221,0.0001173369,-0.1670575,-0.10893,0.01106175,0.0001223624,0.1511897,0.1395904,0.1402972,0.2495943,240.0,-0.145769,0.1410489,0.0001672495,-0.178241,-0.1164957,0.01009087,0.0001018258,0.1148033,0.1676299,0.009994902,9.989807e-05,-0.1773918,0.1888674,0.1614491,0.02606581,0.145769,0.1410489,0.1606951,0.2593097,0.01976583536656,0.019602816672160003,0.01999469026121,0.009948380059150922
10000.0,2400.0,-0.146929,0.1402149,0.0006507567,-0.1795327,-0.1068913,0.009558985,9.13742e-05,0.1026233,0.1750405,0.01081211,0.0001169017,-0.184272,0.1839071,0.1569667,0.02463854,0.146929,0.1402149,0.1564934,0.2569545,240.0,-0.1472898,0.1415134,0.001115102,-0.1738986,-0.1197344,0.009620528,9.255455e-05,0.1156388,0.1671538,0.01059712,0.0001122989,-0.1765206,0.1768859,0.15656,0.02451104,0.1472898,0.1415134,0.1558495,0.2574487,100.0,-0.1515476,0.1397171,-0.1366339,-0.1733639,-0.1308342,0.008095173,6.553182e-05,0.113087,0.1609325,0.01053058,0.0001108932,-0.158964,-0.11522,0.00888952,7.902356e-05,0.1515476,0.1397171,0.1366339,0.2477055,240.0,-0.1473063,0.1412597,0.001017071,-0.1713253,-0.1068913,0.009398701,8.833557e-05,0.1091676,0.1643655,0.01054036,0.0001110992,-0.1782618,0.1839071,0.1573722,0.02476601,0.1473063,0.1412597,0.1566163,0.2577933,0.02013834127956,0.019631761232410002,0.020065402044089995,0.013730522245156281
20000.0,2400.0,-0.1496658,0.1364315,-0.0004305604,-0.1767608,-0.1165751,0.009395577,8.827687e-05,0.09739268,0.1723557,0.01136363,0.000129132,-0.1882009,0.1992731,0.1595961,0.02547091,0.1496658,0.1364315,0.1591935,0.2581382,240.0,-0.1489696,0.1354943,-0.0003824361,-0.1749399,-0.1222656,0.009820767,9.644747e-05,0.1057764,0.1620957,0.01123057,0.0001261257,-0.1832982,0.1828561,0.1593469,0.02539143,0.1489696,0.1354943,0.1585887,0.2569313,100.0,-0.1478399,0.137071,-0.1505238,-0.1687188,-0.1284811,0.008231209,6.77528e-05,0.1098484,0.1612057,0.01036258,0.000107383,-0.1704036,-0.129463,0.009954641,9.909488e-05,0.1478399,0.137071,0.1505238,0.25206,240.0,-0.1496222,0.1374971,0.0002621128,-0.1747241,-0.1264474,0.009416496,8.867039e-05,0.1057764,0.1662115,0.01124186,0.0001263795,-0.1804202,0.179375,0.1601881,0.02566021,0.1496222,0.1374971,0.1594664,0.2588415,0.018484831032490004,0.018895842040999998,0.019031832008410004,0.015145066869496798
30000.0,2400.0,-0.1469522,0.1385957,-0.0007937788,-0.1757741,-0.116478,0.009259571,8.573965e-05,0.09992852,0.1752369,0.01078337,0.0001162812,-0.1884148,0.1855826,0.1581017,0.02499614,0.1469522,0.1385957,0.1576423,0.2567577,240.0,-0.1463172,0.1391796,-0.0004145304,-0.1749759,-0.1196059,0.00899034,8.082621e-05,0.1061565,0.1681484,0.01155507,0.0001335196,-0.179882,0.1806648,0.1594761,0.02543261,0.1463172,0.1391796,0.158803,0.2574071,100.0,-0.1494555,0.1387465,-0.1438438,-0.1693181,-0.1353536,0.007013537,4.91897e-05,0.1119113,0.1672996,0.01130109,0.0001277147,-0.1637165,-0.1251576,0.009138811,8.351787e-05,0.1494555,0.1387465,0.1438438,0.2499661,240.0,-0.1462463,0.1381559,-0.001299027,-0.1677415,-0.1218082,0.008340542,6.956465e-05,0.1144624,0.1641783,0.009919092,9.838838e-05,-0.1814383,0.1748757,0.1575325,0.02481649,0.1462463,0.1381559,0.1567945,0.255534,0.019504480656159996,0.019378305962249997,0.01918544108481,0.008301129718331095
40000.0,2400.0,-0.1476609,0.1363163,0.001063163,-0.1816545,-0.1158781,0.009223267,8.506865e-05,0.09140871,0.1672529,0.01059574,0.0001122698,-0.1892467,0.1990848,0.1624264,0.02638233,0.1476609,0.1363163,0.1620319,0.258647,240.0,-0.1471825,0.1349153,0.000846109,-0.1697902,-0.1224174,0.008672712,7.521593e-05,0.1008889,0.165233,0.01079612,0.0001165563,-0.1883048,0.1833296,0.1633897,0.0266962,0.1471825,0.1349153,0.1627494,0.2580286,100.0,-0.1557107,0.1362149,-0.140797,-0.1816545,-0.1299377,0.007906171,6.250754e-05,0.1047353,0.1536366,0.01076071,0.0001157928,-0.1593335,-0.1146453,0.008633359,7.453489e-05,0.1557107,0.1362149,0.140797,0.250633,240.0,-0.1477134,0.13523,0.001591665,-0.1695039,-0.1181684,0.009409721,8.854286e-05,0.09793412,0.163321,0.01106462,0.0001224258,-0.183508,0.1869407,0.1623389,0.02635393,0.1477134,0.13523,0.1616696,0.2578837,0.018318694474089996,0.01867029178201,0.018409578699999995,0.009883284058103231
50000.0,2400.0,-0.1487426,0.1388291,-0.001231985,-0.1825525,-0.1201115,0.009365883,8.771977e-05,0.1012554,0.171345,0.0104655,0.0001095266,-0.1867492,0.184568,0.1598974,0.02556718,0.1487426,0.1388291,0.1594501,0.2590309,240.0,-0.1481256,0.1385043,-0.0009566792,-0.1721549,-0.1251521,0.009086969,8.2573e-05,0.1086497,0.1638202,0.01135,0.0001288224,-0.1804094,0.1829229,0.1592925,0.02537409,0.1481256,0.1385043,0.1583882,0.2579645,100.0,-0.1511585,0.1390066,-0.1458305,-0.1755951,-0.1331729,0.007629582,5.821052e-05,0.1086497,0.1623642,0.01075259,0.0001156182,-0.1626479,-0.1270693,0.007680718,5.899343e-05,0.1511585,0.1390066,0.1458305,0.2522278,240.0,-0.1493444,0.1416579,-0.001593706,-0.1711454,-0.1241371,0.008911894,7.942185e-05,0.1196177,0.1667293,0.0094122,8.858951e-05,-0.1842743,0.1799939,0.1607998,0.02585658,0.1493444,0.1416579,0.1600941,0.2612349,0.019312263518489997,0.019438453043560004,0.02015555014241,0.023164331667760853
60000.0,2400.0,-0.1544387,0.1318618,0.0004277833,-0.1818511,-0.1169434,0.008805254,7.75325e-05,0.09413867,0.1706727,0.01057753,0.0001118842,-0.1886682,0.1881756,0.1587234,0.02519313,0.1544387,0.1318618,0.1582827,0.2579646,240.0,-0.1539861,0.1340592,2.460791e-06,-0.1754898,-0.1283776,0.007488806,5.608222e-05,0.1041056,0.1706727,0.01139416,0.0001298269,-0.1834371,0.1823777,0.1580046,0.02496544,0.1539861,0.1340592,0.1571913,0.2582046,100.0,-0.1570064,0.1319968,-0.1410371,-0.1796973,-0.1333104,0.00909593,8.273595e-05,0.105081,0.1648195,0.01171102,0.0001371479,-0.1634901,-0.1221458,0.008897062,7.915771e-05,0.1570064,0.1319968,0.1410371,0.2494407,240.0,-0.1543215,0.1315358,0.0005319697,-0.1818511,-0.1280054,0.008469402,7.173077e-05,0.1094378,0.1559287,0.01031817,0.0001064646,-0.1809264,0.181981,0.1592924,0.02537407,0.1543215,0.1315358,0.1585747,0.2578873,0.018101696004639997,0.017560303110239997,0.017408131281640003,0.020606530408625583
70000.0,2400.0,-0.15336,0.1335361,0.001118214,-0.1872797,-0.1222456,0.008875402,7.877277e-05,0.09481529,0.1671024,0.01077751,0.0001161546,-0.1822049,0.1933268,0.1554343,0.02415982,0.15336,0.1335361,0.1549882,0.2562112,240.0,-0.1538649,0.1332719,0.001037675,-0.1868318,-0.1222456,0.009482256,8.991319e-05,0.0960695,0.1582896,0.01156327,0.0001337092,-0.1798601,0.1827306,0.1582181,0.02503298,0.1538649,0.1332719,0.1576057,0.2579447,100.0,-0.1584928,0.1343438,-0.14139,-0.1759662,-0.1410048,0.007935142,6.296648e-05,0.1021866,0.1671024,0.01220366,0.0001489292,-0.1617122,-0.1128076,0.009634168,9.28172e-05,0.1584928,0.1343438,0.14139,0.2518412,240.0,-0.1526124,0.1311227,-0.0003443385,-0.1776484,-0.1274914,0.008337522,6.951427e-05,0.09934001,0.1627613,0.01070262,0.000114546,-0.1773008,0.1753208,0.1549768,0.02401781,0.1526124,0.1311227,0.1542916,0.254045,0.017895108529609998,0.018197185798440006,0.01730770845529,0.025410191021834394
80000.0,2400.0,-0.1545513,0.1316866,-0.001319819,-0.1833126,-0.1177871,0.009199542,8.463158e-05,0.09646819,0.1624359,0.01033124,0.0001067345,-0.190667,0.1862854,0.1599455,0.02558257,0.1545513,0.1316866,0.1594791,0.2587203,240.0,-0.1537057,0.1321299,-0.001873659,-0.1737892,-0.1328825,0.007773755,6.043127e-05,0.09646819,0.1571303,0.01020804,0.0001042042,-0.1841362,0.1818819,0.1592978,0.02537578,0.1537057,0.1321299,0.1585042,0.2578146,100.0,-0.1556469,0.1318051,-0.1458214,-0.1714751,-0.1345814,0.007388977,5.459698e-05,0.1082418,0.1545466,0.009953154,9.906527e-05,-0.1627103,-0.1182512,0.009301261,8.651346e-05,0.1556469,0.1318051,0.1458214,0.2510999,240.0,-0.1543356,0.1314057,-0.00102388,-0.1778844,-0.1177871,0.008736673,7.632945e-05,0.09942484,0.1563502,0.01118113,0.0001250177,-0.1826371,0.1862854,0.1598719,0.02555902,0.1543356,0.1314057,0.1590614,0.2582352,0.01756251467401,0.017471649656010002,0.017392475692489997,0.0048688862780284685
90000.0,2400.0,-0.1514474,0.1339931,0.0009658321,-0.1822376,-0.1189324,0.009357923,8.757073e-05,0.09456965,0.1668804,0.01044514,0.000109101,-0.188573,0.1909,0.1589553,0.02526678,0.1514474,0.1339931,0.1584239,0.2574528,240.0,-0.1510196,0.1330124,0.0010849,-0.1707066,-0.1293696,0.008504676,7.232951e-05,0.1083021,0.1612664,0.009577672,9.173181e-05,-0.1765494,0.186045,0.158699,0.02518536,0.1510196,0.1330124,0.1577938,0.2562975,100.0,-0.1553795,0.1334409,-0.1379072,-0.179022,-0.1368749,0.007869722,6.193253e-05,0.1075215,0.1548924,0.01093029,0.0001194713,-0.1564268,-0.1118643,0.008413044,7.07793e-05,0.1553795,0.1334409,0.1379072,0.2473413,240.0,-0.1520276,0.1344463,0.002021975,-0.1746868,-0.1268583,0.009350113,8.742461e-05,0.1018849,0.1662367,0.01193052,0.0001423374,-0.179783,0.1855992,0.1604542,0.02574556,0.1520276,0.1344463,0.1597242,0.2588443,0.01778403036376,0.01792594509281,0.01821814498369,0.012313636674990077
