TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,E_t,stress_pred_M2,resid_M2
10000,0.3775,5.86e-05,-0.00015098,-6.89e-05,-0.002050983,-0.030818142,-0.002580743,-17.56418428,-10.89788981,-13.69077667,-0.04332889,0.02211072,-0.004215058,-0.1943333,0.1741585,0.1282484,0.01644766,-0.1778777,0.1721454,0.1293495,0.01673129,-0.1911448,0.190464,0.1463953,0.02143159,0.1340045,0.129702,0.1454026,0.23833,0.0,0.00015098,0.030818142,0.0172201739389184,0.1312256603676217,1.0,0.0,0.04489196881818182,-0.014073826818181819,0.011155961182573752,0.07539817127563565,48.76709299999999,0.031962465999999995,-0.0011443239999999952
20000,0.8775,0.000157331,-0.00035098,7.32e-05,-0.000708983,-0.038134531,-0.002606779,-17.58695826,-11.03319134,-13.68331059,-0.04359295,0.02227382,-0.003486701,-0.179672,0.1750592,0.1303439,0.01698953,-0.1677215,0.1705397,0.1279924,0.01638205,-0.1892033,0.1875216,0.1462649,0.02139343,0.1360506,0.1285066,0.1452329,0.2387056,0.0,0.00035098,0.038134531,0.0168781730573924,0.12991602309720077,0.9801395222406516,0.019860477759348405,0.04989967154545455,-0.01176514054545455,0.010412834511663409,0.08618517151683909,47.20537409090908,0.030515266838361227,0.007619264161638772
30000,1.3775,0.000245763,-0.00055098,0.00015156,-0.000873102,-0.050871451,-0.004496612,-17.60624426,-11.02977942,-13.69797925,-0.04405557,0.02236222,-0.004062738,-0.1893426,0.1764821,0.1290653,0.01665785,-0.1739905,0.1702622,0.1276681,0.01629914,-0.1874508,0.1900701,0.147534,0.02176629,0.1349786,0.1282186,0.146489,0.2387089,0.0,0.00055098,0.050871451,0.0167992088833284,0.12961176213341288,0.9755539603093905,0.024446039690609545,0.05567025209090909,-0.004798801090909091,0.009747293255008166,0.0702758224850196,45.600429230769265,0.06274529284956085,-0.011873841849560848
40000,1.8775,0.000405318,-0.00075098,0.000109655,-0.001091254,-0.065139668,-0.004739463,-17.59740848,-11.03932564,-13.68926054,-0.04199908,0.02205965,-0.003922355,-0.1781229,0.1873958,0.1292847,0.01671454,-0.1678213,0.1722963,0.1260755,0.01589504,-0.1906396,0.1917603,0.1491651,0.02225023,0.1345957,0.1266694,0.1482103,0.238617,0.0,0.00075098,0.065139668,0.0163816681581225,0.1279908909185435,0.9513067763560252,0.04869322364397477,0.06334121172727272,0.0017984562727272752,0.008826072573291658,0.05548881881440223,49.28564733333336,0.05162654499163781,0.013513123008362188
50000,2.3775,0.000262813,-0.00095098,0.000432242,-0.00272694,-0.07517192,-0.001878922,-17.60675163,-11.0071757,-13.69984482,-0.04322097,0.02125545,-0.003787514,-0.1834541,0.1744153,0.1298587,0.01686329,-0.1675224,0.1729788,0.1251657,0.01566646,-0.1851183,0.192916,0.1481701,0.02195438,0.1355718,0.1255548,0.1471576,0.2379673,0.0,0.00095098,0.07517192,0.0161182541547025,0.12695768647349595,0.936009950414873,0.063990049585127,0.07124286254545453,0.00392905745454547,0.007881270787977797,0.07994941510181425,50.381975000000004,0.06024101370572127,0.014930906294278734
60000,2.8775,0.000468208,-0.00115098,0.000412872,-0.002161827,-0.079585235,-0.00252975,-17.63030102,-11.10970981,-13.69692105,-0.04373148,0.02142006,-0.003530727,-0.1857925,0.1749258,0.1295035,0.01677115,-0.1678809,0.1692004,0.1249645,0.01561614,-0.1902238,0.1849989,0.1488621,0.02215993,0.1354302,0.1254557,0.147881,0.238195,0.0,0.00115098,0.079585235,0.0160749589704036,0.12678706152602323,0.9334957374660102,0.06650426253398978,0.08026021627272728,-0.0006749812727272764,0.006744070240476278,0.07194954454059209,49.66462805555556,0.09703782665551014,-0.017452591655510136
70000,3.3775,0.000600038,-0.00135098,0.000492523,-0.001042175,-0.085902872,-0.003341303,-17.63719456,-11.11967855,-13.70800668,-0.04389514,0.02091713,-0.004558116,-0.1821439,0.1801861,0.1305008,0.01703046,-0.1624292,0.1711546,0.1236991,0.01530147,-0.1885743,0.1896439,0.1496843,0.02240538,0.1362758,0.123967,0.1487861,0.2386011,0.0,0.00135098,0.085902872,0.0157389963274369,0.12545515663948173,0.9139859088104813,0.08601409118951875,0.09056771718181819,-0.004664845181818186,0.005266206865528914,0.09637546678198018,51.44547305555554,0.09636371776545685,-0.010460845765456847
80000,3.8775,0.000647916,-0.00155098,0.000585664,-0.001641961,-0.094294528,-0.001698199,-17.64688324,-11.0454188,-13.68192362,-0.04371124,0.02286197,-0.004203902,-0.1859211,0.1742697,0.1308322,0.01711705,-0.1646518,0.1701482,0.1214612,0.01475281,-0.1887687,0.1964075,0.150544,0.02266349,0.1366691,0.1221664,0.1495558,0.238318,0.0,0.00155098,0.094294528,0.0152754796722809,0.1235940114741847,0.887068837194356,0.11293116280564397,0.10139954290909092,-0.00710501490909092,0.0039097095058063455,0.07344753173830586,51.52059638888887,0.07935856051471615,0.01493596748528385
90000,4.3775,0.000712972,-0.00175098,0.000681068,-0.002363176,-0.115198698,-0.002272591,-17.6533644,-11.05038956,-13.70064326,-0.04360589,0.02194654,-0.003833173,-0.1868271,0.1790614,0.1308807,0.01712975,-0.1629458,0.1656766,0.1219035,0.01486047,-0.1944353,0.1971583,0.1490821,0.02222546,0.1367101,0.1224928,0.1481421,0.2375494,0.0,0.00175098,0.115198698,0.0153421206179716,0.12386331425394527,0.8909387717215613,0.10906122827843867,0.11205851563636365,0.0031401823636363485,0.0037732657919021923,0.06965476498063315,51.41477138888895,0.13023076180103607,-0.015032063801036069
100000,4.8775,0.00088194,-0.00195098,0.000732489,-0.0025812,-0.117736301,-0.002714159,-17.6647997,-11.20126584,-13.70525313,-0.04484708,0.02056427,-0.003948037,-0.1880569,0.1819081,0.1318545,0.0173856,-0.1596007,0.1681909,0.1206549,0.01455761,-0.1873423,0.1874754,0.1502255,0.02256771,0.1378734,0.1209793,0.149244,0.2382521,0.0,0.00195098,0.117736301,0.0149804992006329,0.12239484956742624,0.8699389015331762,0.1300610984668238,0.122679599,-0.004943297999999999,0.00379627595862484,0.08663372636620797,54.25960583333334,0.12627149803460652,-0.00853519703460652
110000,5.3775,0.000970235,-0.00215098,0.000815413,-0.001962445,-0.130009033,-0.002799771,-17.68244179,-11.22450614,-13.68383221,-0.04411031,0.02105599,-0.004174495,-0.1878427,0.1887667,0.132793,0.01763398,-0.1647479,0.1617727,0.1196877,0.01432514,-0.188977,0.1911058,0.1505494,0.02266512,0.1386886,0.1201496,0.1495663,0.2383991,0.0,0.00215098,0.130009033,0.0147684947148801,0.12152569569798849,0.8576274994239523,0.14237250057604767,0.13389763136363636,-0.003888598363636364,0.0036309823156128167,0.061481505438470925,59.73715388888881,0.14146805150488445,-0.011459018504884455
120000,5.8775,0.001125362,-0.00235098,0.000805099,0.000548417,-0.144200652,-0.003797157,-17.72062127,-11.2987383,-13.69468486,-0.0448256,0.01853033,-0.003831514,-0.1849501,0.175758,0.1324531,0.01754382,-0.1625076,0.1644181,0.118755,0.01410275,-0.1903636,0.1868259,0.1505136,0.02265434,0.1385554,0.1188722,0.1495535,0.2376432,0.0,0.00235098,0.144200652,0.014446123129908901,0.12019202606624493,0.8389069228423987,0.16109307715760135,0.14588218881818182,-0.0016815368181818113,0.00364249754273326,0.05779043192792554,63.830067499999934,0.14253403860701475,0.0016666133929852667
