TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,E_t,stress_pred_M2,resid_M2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17451144845775,27.081987064347,-0.0676298699848329,-0.1453226,0.1396119,-0.0006804808,-0.1800579,-0.1124516,0.00957459,9.167278e-05,0.09534723,0.178745,0.01086376,0.0001180212,-0.1934351,0.1979378,0.1610411,0.02593422,0.1453226,0.1396119,0.1605498,0.2582337,0.0,0.0,0.0,0.019609503821610003,0.1400339381064819,1.0,0.0,0.02016929420016517,-0.02016929420016517,0.02213394386050098,0.009948380059150922,92.56219013410939,0.0,0.0
10000,0.3775,0.0004182646114384,-0.00015098,-0.0003839311256448,0.0100689061891171,-0.0575290737840525,0.0034469925989596,-1.32143532891611,27.2399599227161,0.0082809040940712,-0.146929,0.1402149,0.0006507567,-0.1795327,-0.1068913,0.009558985,9.13742e-05,0.1026233,0.1750405,0.01081211,0.0001169017,-0.184272,0.1839071,0.1569667,0.02463854,0.146929,0.1402149,0.1564934,0.2569545,0.0,0.00015098,0.0575290737840525,0.019777119882010002,0.1406311483349617,1.0085476951341974,-0.008547695134197397,0.02382986711121945,0.03369920667283305,0.02187773773271233,0.013730522245156281,61.03403185375996,0.04704189476524698,0.010487179018805519
20000,0.8775,0.0008854365535276,-0.00035098,-0.0006030805962546,0.0119569991361309,-0.0082994234224457,0.005222075129895,-1.64907367722576,26.9267354531963,-0.047996736845609,-0.1496658,0.1364315,-0.0004305604,-0.1767608,-0.1165751,0.009395577,8.827687e-05,0.09739268,0.1723557,0.01136363,0.000129132,-0.1882009,0.1992731,0.1595961,0.02547091,0.1496658,0.1364315,0.1591935,0.2581382,0.0,0.00035098,0.0082994234224457,0.018742686192250002,0.13690393052155223,0.9557960447523025,0.04420395524769749,0.028063394454783223,-0.019763971032337523,0.021489135396222218,0.015145066869496798,34.70683096484438,-0.02586260208060988,0.03416202550305558
30000,1.3775,0.0010207010870026,-0.00055098,-0.0006323883782563,0.011223312397014,-0.0253262316954548,0.0035411366858829,-1.69330767012895,26.8370233403094,0.0336539396516945,-0.1469522,0.1385957,-0.0007937788,-0.1757741,-0.116478,0.009259571,8.573965e-05,0.09992852,0.1752369,0.01078337,0.0001162812,-0.1884148,0.1855826,0.1581017,0.02499614,0.1469522,0.1385957,0.1576423,0.2567577,0.0,0.00055098,0.0253262316954548,0.019325049258489994,0.13901456491493974,0.9854940458612453,0.014505954138754662,0.03426347254693808,-0.008937240851483282,0.02066393541740623,0.008301129718331095,39.54901507701996,0.07523060353184362,-0.04990437183638882
40000,1.8775,0.0006159098378795,-0.0007509799999999,3.90452872036481e-05,0.0102821636169113,-0.0426827157261378,0.0058217163299382,-1.45463641534187,26.8223324724983,0.0237430189455067,-0.1476609,0.1363163,0.001063163,-0.1816545,-0.1158781,0.009223267,8.506865e-05,0.09140871,0.1672529,0.01059574,0.0001122698,-0.1892467,0.1990848,0.1624264,0.02638233,0.1476609,0.1363163,0.1620319,0.258647,0.0,0.0007509799999999,0.0426827157261378,0.018694403445689997,0.13672747875131025,0.9533338332145075,0.04666616678549251,0.04434004809161926,-0.001657332365481462,0.02160033966349071,0.009883284058103231,54.22330676483114,0.04578126739854892,-0.003098551672411118
50000,2.3775,0.0005164978998802,-0.0009509799999999,0.0002225417078336,0.0068183782962434,-0.0880247915737261,0.006528418640035,-1.33808545347107,26.8522421412217,-0.0613948534957059,-0.1487426,0.1388291,-0.001231985,-0.1825525,-0.1201115,0.009365883,8.771977e-05,0.1012554,0.171345,0.0104655,0.0001095266,-0.1867492,0.184568,0.1598974,0.02556718,0.1487426,0.1388291,0.1594501,0.2590309,0.0,0.0009509799999999,0.0880247915737261,0.019383045606810003,0.13922300674389274,0.9884516091350338,0.011548390864966174,0.05142764001969781,0.03659715155402829,0.020856982373863884,0.023164331667760853,36.96916581234142,0.15831210007194577,-0.07028730849821967
60000,2.8775,0.0010779371404996,-0.00115098,-0.0001109388892721,0.0084111062937903,-0.0402663020215971,0.0083858041153303,-1.72230348083717,26.5245203947493,0.0387614705070141,-0.1544387,0.1318618,0.0004277833,-0.1818511,-0.1169434,0.008805254,7.75325e-05,0.09413867,0.1706727,0.01057753,0.0001118842,-0.1886682,0.1881756,0.1587234,0.02519313,0.1544387,0.1318618,0.1582827,0.2579646,0.0,0.00115098,0.0402663020215971,0.01749941849924,0.13228536766868812,0.892394762174214,0.10760523782578602,0.057081882321714884,-0.01681558030011778,0.021661578381229615,0.020606530408625583,20.647688701264872,-0.005981560621064197,0.0462478626426613
70000,3.3775,0.0014184479457518,-0.0013509799999999,-0.0002866426339333,0.0092189541195164,-0.0465688007792015,0.005956323090645,-1.90707069685392,26.409060231253,0.0152623042133981,-0.15336,0.1335361,0.001118214,-0.1872797,-0.1222456,0.008875402,7.877277e-05,0.09481529,0.1671024,0.01077751,0.0001161546,-0.1822049,0.1933268,0.1554343,0.02415982,0.15336,0.1335361,0.1549882,0.2562112,0.0,0.0013509799999999,0.0465688007792015,0.01794804460321,0.13397031239498547,0.9152727558272511,0.0847272441727489,0.06144909909835157,-0.014880298319150068,0.019149348661304008,0.025410191021834394,37.260963480929775,0.08071903560346974,-0.03415023482426824
80000,3.8775,0.0013839428700292,-0.00155098,-1.4768841479549e-05,0.0107379555745329,-0.0682008590137034,0.0057092704138864,-1.86021563818215,26.3972924564049,-0.0581743506165445,-0.1545513,0.1316866,-0.001319819,-0.1833126,-0.1177871,0.009199542,8.463158e-05,0.09646819,0.1624359,0.01033124,0.0001067345,-0.190667,0.1862854,0.1599455,0.02558257,0.1545513,0.1316866,0.1594791,0.2587203,0.0,0.00155098,0.0682008590137034,0.017448095119559998,0.13209123786065446,0.8897774914800192,0.11022250851998083,0.07311701441869534,-0.004916155404991934,0.019599416057818887,0.0048688862780284685,48.39055634769319,0.06533507961613591,0.0028657793975674917
90000,4.3775,0.0013924363436474,-0.0017509799999999,9.13441370669637e-05,0.0108151790919142,-0.110842330991493,0.0038195661877721,-1.79964386572707,26.4084109461349,0.0279237018928814,-0.1514474,0.1339931,0.0009658321,-0.1822376,-0.1189324,0.009357923,8.757073e-05,0.09456965,0.1668804,0.01044514,0.000109101,-0.188573,0.1909,0.1589553,0.02526678,0.1514474,0.1339931,0.1584239,0.2574528,0.0,0.0017509799999999,0.110842330991493,0.018063251847610002,0.13439959764675638,0.9211478277030138,0.07885217229698616,0.08182265935981196,0.029019671631681038,0.019425316304257607,0.012313636674990077,35.28536408169473,0.16995749926797357,-0.05911516827648057
