model,case,coefficient,value
M1_linear_strain_only_separate,Ref,Ae_effective,88.58134330696606
M1_linear_strain_only_separate,90DW,Ae_effective,63.686296887880644
M1_quadratic_strain_only_separate,Ref,Ae_effective,57.287862590195715
M1_quadratic_strain_only_separate,Ref,Be_effective,2080.9796213013333
M1_quadratic_strain_only_separate,90DW,Ae_effective,13.649350126980327
M1_quadratic_strain_only_separate,90DW,Be_effective,3327.3980438287185
M2_common_coeff_reduced,pooled,Ae_common_effective,227.46976796962778
M2_common_coeff_reduced,pooled,AM_common_effective,2.5929331172912966
M3_structure_dependent_reduced,Ref,Ae_structure_effective,212.45657696235133
M3_structure_dependent_reduced,Ref,AM_structure_effective,2.2196440544023335
M3_structure_dependent_reduced,90DW,Ae_structure_effective,191.04565133892527
M3_structure_dependent_reduced,90DW,AM_structure_effective,2.0905678072189704
M4_constrained_common_Ae_separate_AM,pooled,Ae_common_effective,196.78514186955329
M4_constrained_common_Ae_separate_AM,Ref,AM_Ref_effective,1.9401580720305773
M4_constrained_common_Ae_separate_AM,90DW,AM_90DW_effective,2.183569945996231
M5_constrained_separate_Ae_common_AM,Ref,Ae_Ref_effective,206.9359135749783
M5_constrained_separate_Ae_common_AM,90DW,Ae_90DW_effective,192.88271485866943
M5_constrained_separate_Ae_common_AM,pooled,AM_common_effective,2.1207226856787997
M6_cross_prediction_using_other_structure_coeffs,Ref,Ae_from_90DW,191.04565133892527
M6_cross_prediction_using_other_structure_coeffs,Ref,AM_from_90DW,2.0905678072189704
M6_cross_prediction_using_other_structure_coeffs,90DW,Ae_from_Ref,212.45657696235133
M6_cross_prediction_using_other_structure_coeffs,90DW,AM_from_Ref,2.2196440544023335
