case,legacy_case,TimeStep,simtime,s1,s2,s3,p1,p2,p3,Px,Py,Pz,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,Time_1,strain_y,stress_y,M2y,M2y_sqrt,m_y,progress_M2y,absPy_mean_norm,Py_mean_norm,stress_smooth,delta_sigma_serr,S_rms,H_M2_sections,is_loading,pred_M1_linear_sep,resid_pred_M1_linear_sep,pred_M1_quadratic_sep,resid_pred_M1_quadratic_sep,pred_M2_common,resid_pred_M2_common,pred_M3_structure,resid_pred_M3_structure,pred_M4_common_Ae,resid_pred_M4_common_Ae,pred_M5_common_AM,resid_pred_M5_common_AM,pred_M6_cross_from_Ref,resid_pred_M6_cross_from_Ref
90DW,twin,10000,0.3775,0.000418265,-0.00015098,-0.000383931,0.010068906,-0.057529074,0.003446993,-1.321435329,27.23995992,0.008280904,-0.147,0.14,0.000651,-0.18,-0.107,0.00956,9.14e-05,0.103,0.175,0.0108,0.000117,-0.184,0.184,0.157,0.0246,0.147,0.14,0.156,0.257,0.0,10000.0,0.00015098,0.057529074,0.019717000000000002,0.14041723540933285,1.0,0.0,1.0,1.0,0.049979446272727275,0.007549627727272724,0.01911001845609875,0.014130011875681869,True,0.00961535710413222,0.04791371689586778,0.0021366267888156027,0.055392447211184394,0.0343433855680544,0.0231856884319456,0.028844072439150936,0.028685001560849063,0.029710620719465154,0.027818453280534845,0.02912143228936191,0.02840764171063809,0.032076693989775806,0.025452380010224193
90DW,twin,20000,0.8775,0.000885437,-0.00035098,-0.000603081,0.011956999,-0.008299423,0.005222075,-1.649073677,26.92673545,-0.047996737,-0.15,0.136,-0.000431,-0.177,-0.117,0.0094,8.83e-05,0.0974,0.172,0.0114,0.000129,-0.188,0.199,0.16,0.0255,0.15,0.136,0.159,0.258,0.0,20000.0,0.00035098,0.008299423,0.018625000000000003,0.13647344063956182,0.9446163209413198,0.055383679058680246,0.9714285714285714,0.9714285714285714,0.048983057818181824,-0.040683634818181824,0.01949719618950071,0.016503683695301335,True,0.022352616481708346,-0.014053193481708345,0.005200540958627721,0.0030988820413722796,-0.06376883642670451,0.07206825942670451,-0.04873013377848838,0.05702955677848838,-0.051866487997859215,0.060165910997859215,-0.04975544933500128,0.05805487233500128,-0.04836404455128056,0.05666346755128056
90DW,twin,30000,1.3775,0.001020701,-0.00055098,-0.000632388,0.011223312,-0.025326232,0.003541137,-1.69330767,26.83702334,0.03365394,-0.147,0.139,-0.000794,-0.176,-0.116,0.00926,8.57e-05,0.0999,0.175,0.0108,0.000116,-0.188,0.186,0.158,0.025,0.147,0.139,0.158,0.257,0.0,30000.0,0.00055098,0.025326232,0.019437000000000006,0.13941664176130483,0.9857990566516207,0.014200943348379291,0.9928571428571429,0.9928571428571429,0.049953220090909085,-0.024626988090909085,0.019420511549773027,0.009239478248035444,True,0.035089875859284476,-0.009763643859284476,0.008530646971946136,0.016795585028053867,0.08850919645111528,-0.06318296445111528,0.07557429797845892,-0.05024806597845892,0.07741592436697035,-0.05208969236697035,0.07615825551588225,-0.050832023515882244,0.08553828530458187,-0.06021205330458186
90DW,twin,40000,1.8775,0.00061591,-0.00075098,3.9e-05,0.010282164,-0.042682716,0.005821716,-1.454636415,26.82233247,0.023743019,-0.148,0.136,0.00106,-0.182,-0.116,0.00922,8.51e-05,0.0914,0.167,0.0106,0.000112,-0.189,0.199,0.162,0.0264,0.148,0.136,0.162,0.259,0.0,40000.0,0.00075098,0.042682716,0.018608000000000003,0.13641114323983947,0.9437541208094539,0.05624587919054613,0.9714285714285714,0.9714285714285714,0.054799879818181824,-0.012117163818181821,0.021178598589711665,0.00837931121975932,True,0.04782713523686061,-0.005144419236860605,0.012126944828770851,0.03055577117122915,0.024983443485498625,0.017699272514501378,0.025885638918022966,0.016797077081977037,0.024964894454585773,0.01771782154541423,0.025569149229223282,0.01711356677077672,0.03470480883725896,0.007977907162741042
90DW,twin,50000,2.3775,0.000516498,-0.00095098,0.000222542,0.006818378,-0.088024792,0.006528419,-1.338085453,26.85224214,-0.061394853,-0.149,0.139,-0.00123,-0.183,-0.12,0.00937,8.77e-05,0.101,0.171,0.0105,0.00011,-0.187,0.185,0.16,0.0256,0.149,0.139,0.159,0.259,0.0,50000.0,0.00095098,0.088024792,0.019431000000000004,0.13939512186586733,0.9854947507227266,0.014505249277273369,0.9928571428571429,0.9928571428571429,0.05665755590909091,0.03136723609090909,0.021184248898493508,0.023698807051751453,True,0.06056439461443674,0.027460397385563266,0.01598943452910186,0.07203535747089815,0.17870805871814888,-0.09068326671814887,0.15135638633553722,-0.06333159433553721,0.15546550783407012,-0.06744071583407012,0.1526659929725578,-0.06464120097255781,0.16984546524373328,-0.08182067324373328
90DW,twin,60000,2.8775,0.001077937,-0.00115098,-0.000110939,0.008411106,-0.040266302,0.008385804,-1.722303481,26.52452039,0.038761471,-0.154,0.132,0.000428,-0.182,-0.117,0.00881,7.75e-05,0.0941,0.171,0.0106,0.000112,-0.189,0.188,0.159,0.0252,0.154,0.132,0.158,0.258,0.0,60000.0,0.00115098,0.040266302,0.017536000000000003,0.1324235628579748,0.8893847948470863,0.11061520515291368,0.9428571428571428,0.9428571428571428,0.05708188236363637,-0.016815580363636375,0.022688829630211856,0.017626560056894596,True,0.07330165399201287,-0.03303535199201287,0.020118116072939167,0.02014818592706083,-0.02500467517927858,0.06527097717927857,-0.011358863103527088,0.05162516510352708,-0.015040274953091294,0.05530657695309129,-0.012580027800767148,0.052846329800767144,-0.000993111492032045,0.04125941349203204
90DW,twin,70000,3.3775,0.001418448,-0.00135098,-0.000286643,0.009218954,-0.046568801,0.005956323,-1.907070697,26.40906023,0.015262304,-0.153,0.134,0.00112,-0.187,-0.122,0.00888,7.88e-05,0.0948,0.167,0.0108,0.000116,-0.182,0.193,0.155,0.0242,0.153,0.134,0.155,0.256,0.0,70000.0,0.00135098,0.046568801,0.018072000000000005,0.1344321390144485,0.9165694578282702,0.08343054217172985,0.9571428571428571,0.9571428571428571,0.06144909909090909,-0.014880298090909093,0.02259014643879757,0.02376701557326272,True,0.08603891336958899,-0.03947011236958899,0.024512989460282776,0.022055811539717224,0.09097729134096129,-0.04440849034096129,0.08368164844281817,-0.03711284744281817,0.08367636649856872,-0.037107565498568716,0.08364764665769597,-0.03707884565769597,0.10183847945755412,-0.055269678457554115
90DW,twin,80000,3.8775,0.001383943,-0.00155098,-1.48e-05,0.010737956,-0.068200859,0.00570927,-1.860215638,26.39729246,-0.058174351,-0.155,0.132,-0.00132,-0.183,-0.118,0.0092,8.46e-05,0.0965,0.162,0.0103,0.000107,-0.191,0.186,0.16,0.0256,0.155,0.132,0.159,0.259,0.0,80000.0,0.00155098,0.068200859,0.017531,0.13240468269664787,0.889131206573008,0.11086879342699196,0.9428571428571428,0.9428571428571428,0.07311701445454545,-0.004916155454545448,0.020317375908236242,0.007928942698003297,True,0.09877617274716512,-0.030575313747165114,0.029174054691132677,0.039026804308867326,0.06532569457455821,0.0028751644254417924,0.06452925394996674,0.0036716050500332637,0.06312005406079564,0.005080804939204361,0.06403526773704066,0.004165591262959345,0.08342664358808446,-0.015225784588084462
90DW,twin,90000,4.3775,0.001392436,-0.00175098,9.13e-05,0.010815179,-0.110842331,0.003819566,-1.799643866,26.40841095,0.027923702,-0.151,0.134,0.000966,-0.182,-0.119,0.00936,8.76e-05,0.0946,0.167,0.0104,0.000109,-0.189,0.191,0.159,0.0253,0.151,0.134,0.158,0.257,0.0,90000.0,0.00175098,0.110842331,0.018065000000000005,0.1344061010519984,0.9162144342445607,0.08378556575543927,0.9571428571428571,0.9571428571428571,0.08182265936363636,0.02901967163636364,0.018924258059417394,0.009826065355074257,True,0.11151343212474125,-0.0006711011247412524,0.034101311765488876,0.07674101923451113,0.1810446461211928,-0.07020231512119281,0.15935770810348185,-0.048515377103481847,0.16161520441888222,-0.05077287341888222,0.16004782603324016,-0.04920549503324016,0.1860330842557414,-0.07519075325574139
90DW,twin,100000,4.8775,0.001770363,-0.00195098,-7.82e-05,0.011769736,-0.077963511,0.004316205,-2.059638166,26.13841584,-0.002553357,-0.155,0.128,0.00025,-0.189,-0.123,0.00909,8.25e-05,0.0882,0.167,0.0111,0.000122,-0.188,0.188,0.16,0.0256,0.155,0.128,0.16,0.257,0.0,100000.0,0.00195098,0.077963511,0.016506,0.12847567863218315,0.8371456103869757,0.16285438961302434,0.9142857142857143,0.9142857142857143,0.08568554918181817,-0.007722038181818172,0.02192979322118436,0.00899656970528936,True,0.12425069150231738,-0.04628718050231738,0.039294760683351374,0.038668750316648626,0.021518427789513843,0.056445083210486156,0.03226810065993225,0.04569541034006775,0.028319925352100327,0.04964358564789967,0.030941320520252256,0.04702219047974775,0.05301975488413757,0.024943756115862428
