TimeStep	simtime	s1	s2	s3	p1	p2	p3	Px	Py	Pz
5000	0.1275	6.20E-06	-5.10E-05	-3.89E-05	-0.00125533	-0.018837511	-0.003324103	-17.5655801	-10.77402857	-13.67552883
10000	0.3775	5.86E-05	-0.00015098	-6.89E-05	-0.002050983	-0.030818142	-0.002580743	-17.56418428	-10.89788981	-13.69077667
15000	0.6275	0.000109907	-0.00025098	1.26E-05	-0.001209924	-0.029083952	-0.004434152	-17.58677264	-10.96682935	-13.6880433
20000	0.8775	0.000157331	-0.00035098	7.32E-05	-0.000708983	-0.038134531	-0.002606779	-17.58695826	-11.03319134	-13.68331059
25000	1.1275	0.000207425	-0.00045098	6.55E-05	-0.001763444	-0.040368263	-0.002596375	-17.58021835	-11.06146754	-13.68688691
30000	1.3775	0.000245763	-0.00055098	0.00015156	-0.000873102	-0.050871451	-0.004496612	-17.60624426	-11.02977942	-13.69797925
35000	1.6275	0.000224405	-0.00065098	0.000237691	-0.001962255	-0.051963671	-0.001879927	-17.60098515	-11.04844853	-13.68182173
40000	1.8775	0.000405318	-0.00075098	0.000109655	-0.001091254	-0.065139668	-0.004739463	-17.59740848	-11.03932564	-13.68926054
45000	2.1275	0.000401845	-0.00085098	0.000288167	-0.000338207	-0.054295927	-0.002709182	-17.62960062	-10.99761269	-13.69467251
50000	2.3775	0.000262813	-0.00095098	0.000432242	-0.00272694	-0.07517192	-0.001878922	-17.60675163	-11.0071757	-13.69984482
55000	2.6275	0.000574484	-0.00105098	0.000243039	-0.000178226	-0.071619008	-0.004022981	-17.63647202	-11.08572112	-13.68911066
60000	2.8775	0.000468208	-0.00115098	0.000412872	-0.002161827	-0.079585235	-0.00252975	-17.63030102	-11.10970981	-13.69692105
65000	3.1275	0.000536231	-0.00125098	0.00043481	-0.001229713	-0.085200144	-0.003988024	-17.64389239	-11.10119864	-13.68495019
70000	3.3775	0.000600038	-0.00135098	0.000492523	-0.001042175	-0.085902872	-0.003341303	-17.63719456	-11.11967855	-13.70800668
75000	3.6275	0.000631792	-0.00145098	0.000497027	-0.001618121	-0.100939424	-0.003671555	-17.65394806	-11.06606264	-13.70459176
80000	3.8775	0.000647916	-0.00155098	0.000585664	-0.001641961	-0.094294528	-0.001698199	-17.64688324	-11.0454188	-13.68192362
85000	4.1275	0.000806251	-0.00165098	0.000549166	-8.05E-05	-0.102577408	-0.004424417	-17.67728122	-11.03128138	-13.71279306
90000	4.3775	0.000712972	-0.00175098	0.000681068	-0.002363176	-0.115198698	-0.002272591	-17.6533644	-11.05038956	-13.70064326
95000	4.6275	0.000815688	-0.00185098	0.000657948	-0.000181818	-0.12179631	-0.003634549	-17.70024621	-11.13191904	-13.70183012
100000	4.8775	0.00088194	-0.00195098	0.000732489	-0.0025812	-0.117736301	-0.002714159	-17.6647997	-11.20126584	-13.70525313
105000	5.1275	0.000897874	-0.00205098	0.000732622	-0.00056064	-0.127694842	-0.003865491	-17.69227315	-11.18295794	-13.70800055
110000	5.3775	0.000970235	-0.00215098	0.000815413	-0.001962445	-0.130009033	-0.002799771	-17.68244179	-11.22450614	-13.68383221
115000	5.6275	0.00092691	-0.00225098	0.000898585	-0.001740474	-0.146120397	-0.003149232	-17.68883762	-11.198448	-13.72344558
120000	5.8775	0.001125362	-0.00235098	0.000805099	0.000548417	-0.144200652	-0.003797157	-17.72062127	-11.2987383	-13.69468486
125000	6.1275	0.001054592	-0.00245098	0.000965441	-0.003104014	-0.154744895	-0.003144024	-17.70637607	-11.28003562	-13.70809679
130000	6.3775	0.001113045	-0.00255098	0.000980908	-0.000444024	-0.157284614	-0.002277779	-17.71148843	-11.23233435	-13.70934426
135000	6.6275	0.00121847	-0.00265098	0.000951132	-0.001321769	-0.168277511	-0.00458765	-17.73231954	-11.24218345	-13.70363791
140000	6.8775	0.001159782	-0.00275098	0.001125746	-0.002030715	-0.168120151	-0.001514947	-17.73154029	-11.30240347	-13.7088781
145000	7.1275	0.00127523	-0.00285098	0.001088238	-0.000258894	-0.176108855	-0.003766116	-17.72158872	-11.2918951	-13.71112506
150000	7.3775	0.001323088	-0.00295098	0.001116131	-0.002096519	-0.181971585	-0.003628717	-17.75751401	-11.26834384	-13.71118768
155000	7.6275	0.00136033	-0.00305098	0.001185801	-0.000744204	-0.187273443	-0.002956137	-17.74414232	-11.28807329	-13.71710696
160000	7.8775	0.001323673	-0.00315098	0.001262726	-0.002086139	-0.198570276	-0.00374881	-17.74202673	-11.26755557	-13.70683125
165000	8.1275	0.001446317	-0.00325098	0.001283266	-0.001256663	-0.201842323	-0.002035848	-17.75478212	-11.27314821	-13.71972348
170000	8.3775	0.001477351	-0.00335098	0.001290955	-0.001462021	-0.211415367	-0.004587808	-17.76460531	-11.19978005	-13.71538852
175000	8.6275	0.001543248	-0.00345098	0.001339741	-0.000454886	-0.221015539	-0.002856541	-17.77306184	-11.22179153	-13.71937574
180000	8.8775	0.001521609	-0.00355098	0.001444763	-0.001594746	-0.22480337	-0.002763888	-17.76758197	-11.20024551	-13.71705874
185000	9.1275	0.001587126	-0.00365098	0.001448402	-0.001905121	-0.229339218	-0.003139695	-17.78178297	-11.2212528	-13.72680227
190000	9.3775	0.001648079	-0.00375098	0.001512648	-0.000749793	-0.237309987	-0.002572636	-17.78346415	-11.18905066	-13.72131919
195000	9.6275	0.001660639	-0.00385098	0.00157282	-0.001550412	-0.244881514	-0.004312111	-17.79396774	-11.23057024	-13.72149111
200000	9.8775	0.001773522	-0.00395098	0.001501049	-0.001466909	-0.255230006	-0.002337274	-17.80113922	-11.25479511	-13.72706084
205000	10.1275	0.001778651	-0.00405098	0.001622208	-0.000672731	-0.260127105	-0.0044204	-17.80037356	-11.24898796	-13.72547713
210000	10.3775	0.001782335	-0.00415098	0.001719567	-0.002755238	-0.260064323	-0.002354203	-17.81333181	-11.24072627	-13.72173862
215000	10.6275	0.001814002	-0.00425098	0.001729493	-0.000483339	-0.27762559	-0.003262109	-17.81017294	-11.24720679	-13.73616965
220000	10.8775	0.001996241	-0.00435098	0.001688055	-0.001081243	-0.273691092	-0.003238368	-17.83356795	-11.30630998	-13.72112195
225000	11.1275	0.001883866	-0.00445098	0.001851444	-0.00188799	-0.288019211	-0.002740492	-17.8197598	-11.27776763	-13.73278619
230000	11.3775	0.002028608	-0.00455098	0.001814331	-0.000341244	-0.291119624	-0.004117975	-17.84820791	-11.27512798	-13.73692649
235000	11.6275	0.002005744	-0.00465098	0.001918509	-0.002584513	-0.296319303	-0.00202441	-17.81703859	-11.24888918	-13.73430369
240000	11.8775	0.00209479	-0.00475098	0.001907561	-9.42E-05	-0.310509039	-0.004182515	-17.8686243	-11.30760846	-13.72686863
245000	12.1275	0.002115005	-0.00485098	0.001993428	-0.002624007	-0.309634178	-0.003037658	-17.84759199	-11.31789374	-13.75151295
250000	12.3775	0.002198976	-0.00495098	0.001977523	-0.000728464	-0.322573837	-0.002755078	-17.85427363	-11.32175421	-13.731465
255000	12.6275	0.002175362	-0.00505098	0.002090661	-0.000876809	-0.323993509	-0.003633718	-17.85812079	-11.29029795	-13.73359975
260000	12.8775	0.002255397	-0.00515098	0.002120189	-0.002381992	-0.335691599	-0.003701527	-17.89349878	-11.28062427	-13.73919366
265000	13.1275	0.002316082	-0.00525098	0.002128552	3.53E-05	-0.34089725	-0.001504225	-17.85603923	-11.3083028	-13.74006055
270000	13.3775	0.002321091	-0.00535098	0.002204977	-0.00209526	-0.349407153	-0.004321875	-17.88080152	-11.32705034	-13.73989413
275000	13.6275	0.002387036	-0.00545098	0.002261779	-0.001536433	-0.352332682	-0.003016228	-17.90391905	-11.39593762	-13.7493571
280000	13.8775	0.002443754	-0.00555098	0.002243976	-0.000620923	-0.376287164	-0.003293992	-17.88433473	-11.52284698	-13.74814856
285000	14.1275	0.002544397	-0.00565098	0.002258051	-0.00108117	-0.3764304	-0.003354023	-17.90220279	-11.59063218	-13.7325354
290000	14.3775	0.00247063	-0.00575098	0.002399896	-0.003447833	-0.387751883	-0.003052857	-17.90823491	-11.57989754	-13.75541266
295000	14.6275	0.002567881	-0.00585098	0.002412313	0.00034717	-0.391407019	-0.002930409	-17.91912325	-11.55430152	-13.74655329
300000	14.8775	0.002626916	-0.00595098	0.00242307	-0.001967519	-0.405312442	-0.00253018	-17.91420369	-11.60095518	-13.7505429
305000	15.1275	0.002702317	-0.00605098	0.002442317	-0.000879281	-0.406338773	-0.004957443	-17.94233182	-11.64771696	-13.74026353
310000	15.3775	0.002643744	-0.00615098	0.002591184	-0.001499516	-0.417055117	-0.002040032	-17.92248838	-11.57412922	-13.75201608
315000	15.6275	0.002800033	-0.00625098	0.002550487	-0.000571019	-0.417860245	-0.003284904	-17.94076072	-11.47251795	-13.75693044
320000	15.8775	0.002738228	-0.00635098	0.002651447	-0.002064014	-0.445923203	-0.003417508	-17.9384579	-11.31427699	-13.75525709
325000	16.1275	0.002791046	-0.00645098	0.002697757	-0.001709318	-0.448761119	-0.002201604	-17.9402463	-11.24318863	-13.75685458
330000	16.3775	0.002891388	-0.00655098	0.002696317	-0.000490394	-0.460330984	-0.00516973	-17.95952442	-11.30872499	-13.74509694
335000	16.6275	0.00283076	-0.00665098	0.002819003	-0.002198424	-0.463329122	-0.001623813	-17.94607885	-11.26776641	-13.76607751
340000	16.8775	0.002958343	-0.00675098	0.002824746	-0.000476911	-0.473826677	-0.003692988	-17.97266865	-11.30372004	-13.75943263
345000	17.1275	0.002997558	-0.00685098	0.002817204	-0.002404845	-0.482603558	-0.0037504	-17.96328246	-11.30106547	-13.75328954
350000	17.3775	0.003004608	-0.00695098	0.002958974	4.51E-05	-0.486032101	-0.002117363	-17.97480136	-11.32025641	-13.76295656
355000	17.6275	0.003071554	-0.00705098	0.002957088	-0.002062275	-0.493579351	-0.0043435	-17.98647811	-11.26996418	-13.75572621
360000	17.8775	0.003077024	-0.00715098	0.00302946	-0.002293341	-0.499938122	-0.001755218	-17.97687771	-11.31785862	-13.77055255
365000	18.1275	0.00314767	-0.00725098	0.00305453	-0.000385028	-0.512896501	-0.003962454	-17.99986637	-11.35259733	-13.75940716
370000	18.3775	0.003251307	-0.00735098	0.00307022	-0.000943795	-0.512635666	-0.003568132	-18.01225021	-11.29520106	-13.76900309
375000	18.6275	0.003220802	-0.00745098	0.003147227	-0.001087109	-0.524196913	-0.002451475	-17.9865645	-11.34866688	-13.76893458
380000	18.8775	0.00325987	-0.00755098	0.003211891	-0.001830502	-0.530635872	-0.003920933	-18.02070412	-11.31891328	-13.77311068
385000	19.1275	0.003330233	-0.00765098	0.003247487	-0.001741652	-0.538606249	-0.002298234	-18.01593471	-11.36370313	-13.76555643
390000	19.3775	0.003335161	-0.00775098	0.003305641	-0.0004556	-0.546534793	-0.004009654	-18.0178354	-11.31212009	-13.76602476
395000	19.6275	0.00345171	-0.00785098	0.003309942	-0.002514671	-0.553438337	-0.00276447	-18.0323724	-11.30928798	-13.78621147
400000	19.8775	0.003427925	-0.00795098	0.003400672	-0.000104105	-0.556282338	-0.003332339	-18.03239004	-11.32405245	-13.76368569
405000	20.1275	0.003477977	-0.00805098	0.003454017	-0.002235691	-0.573194689	-0.003144149	-18.03573774	-11.42680779	-13.77303982
410000	20.3775	0.003554837	-0.00815098	0.003450254	-0.001198599	-0.575059497	-0.003016522	-18.05119959	-11.36171121	-13.78332972
415000	20.6275	0.00361171	-0.00825098	0.0035014	-0.000126577	-0.582425876	-0.003741795	-18.05164284	-11.37668407	-13.774394
420000	20.8775	0.003570543	-0.00835098	0.003620464	-0.002558561	-0.59481371	-0.00254961	-18.05254358	-11.34879002	-13.77671854
425000	21.1275	0.003710615	-0.00845098	0.003577546	-0.001263297	-0.592480147	-0.003686758	-18.06674026	-11.37255973	-13.77613168
430000	21.3775	0.003696033	-0.00855098	0.003655347	-0.001019603	-0.604358915	-0.003505034	-18.07334885	-11.31245204	-13.78422892
435000	21.6275	0.003713694	-0.00865098	0.003793492	-0.002032901	-0.621262313	-0.002917782	-18.067983	-11.02433387	-13.78455089
440000	21.8775	0.003813472	-0.00875098	0.003736702	0.00041567	-0.630710279	-0.00327872	-18.06613217	-10.82189374	-13.78468735
445000	22.1275	0.003782896	-0.00885098	0.003840162	-0.001764515	-0.650028957	-0.002284985	-18.07572006	-10.51518619	-13.78431799
450000	22.3775	0.003797706	-0.00895098	0.003931834	-0.003064799	-0.665251344	-0.003755246	-18.06690987	-10.31034914	-13.78922196
455000	22.6275	0.003844481	-0.00905098	0.003959099	0.000526779	-0.67760008	-0.003265473	-18.05329179	-10.32081676	-13.78084936
