dataset,event_id,e_start,e_end,duration_e,s_onset,s_pre,s_post,Delta_s_drop,W_sigma,Delta_P_parallel,Delta_O_parallel,Delta_chi_parallel
Single,1,0.00015098,0.00135098,0.0012000000000000001,0.023224815272967787,0.08806096831640985,0.08806096831640985,0.0,2.9126978221859254e-06,-0.002795804195804146,-0.008678321678321402,-0.009741266992502773
Single,2,0.0027509799999999,0.00375098,0.0010000000000001002,0.17029009367511222,0.23881140232988585,0.23881140232988585,0.0,1.6058752243986483e-06,-0.00039160839160839317,-0.008405594405594408,0.00924989540583232
Single,3,0.0047509799999999,0.0055509799999999,0.0007999999999999995,0.306262804278956,0.36794167263765254,0.36794167263765254,0.0,1.4222035617332618e-06,-0.002818181818181824,-0.008284382284382316,-0.013436382423130278
Single,4,0.0063509799999999,0.0071509799999999,0.0007999999999999995,0.43739614566034657,0.5012795724738645,0.5012795724738645,0.0,3.418423175500783e-06,0.0017766899766899803,-0.008651282051282072,0.03421327822352532
Single,5,0.0087509799999999,0.00975098,0.0010000000000000998,0.6337810980087408,0.7345228443571055,0.7345228443571055,0.0,8.012289288155971e-06,0.015357109557109606,-0.009728205128205158,0.22480359121100368
Single,6,0.01015098,0.01095098,0.0008000000000000004,0.7764387517644795,0.9035971692903991,0.9035971692903991,0.0,1.6116487123684285e-05,0.043231468531468656,-0.0006039627039627071,0.538981967795263
Single,7,0.01115098,0.0119509799999999,0.0007999999999998997,0.9426376007230114,1.0764458072070942,1.0764458072070942,0.0,1.9103620569974294e-05,0.023702797202797277,-0.001868764568764572,0.33257109670859086
Single,8,0.0123509799999999,0.01335098,0.0010000000000000998,1.1112522220340506,1.188751702014411,1.188751702014411,0.0,6.020712549130706e-06,-0.017549184149184202,-0.0164547785547786,-0.014273199197102127
Single,9,0.01355098,0.0139509799999999,0.0003999999999998987,1.1993715728955001,1.2332709465780767,1.2332709465780767,0.0,1.0899408432318983e-06,-0.012183216783216815,-0.012172960372960409,-0.00020678246789529453
Single,10,0.0147509799999999,0.01515098,0.00040000000000009993,1.2945875317624078,1.3255749676885227,1.3255749676885227,0.0,1.8764296901523866e-06,-0.01606969696969702,-0.01598811188811193,-0.0021380679257384516
Single,11,0.01555098,0.01595098,0.0003999999999999993,1.357257893674004,1.388344953593165,1.388344953593165,0.0,2.9947537633658443e-06,-0.02196291375291383,-0.019434731934731993,-0.1305257432541973
Single,12,0.01615098,0.01735098,0.0011999999999999997,1.3964657413627006,1.5507840837773565,1.5507840837773565,0.0,1.1371814275114133e-05,-0.032172354312354406,-0.023175990675990743,-0.6542752797601441
Single,13,0.01815098,0.01935098,0.0011999999999999997,1.7007387424916058,1.9386501089325223,1.9386501089325223,0.0,8.192254240200367e-06,-0.002244991142191154,-0.00228792540792545,-0.13979360446362685
