dataset,s,G_N,G_W
Single,0.023224815272967787,0.07692307692307693,0.03461830591520333
Single,0.17029009367511222,0.15384615384615385,0.05370462491349782
Single,0.306262804278956,0.23076923076923078,0.07060794993360733
Single,0.43739614566034657,0.3076923076923077,0.11123695660079909
Single,0.6337810980087408,0.38461538461538464,0.20646546933760188
Single,0.7764387517644795,0.46153846153846156,0.3980148560527076
Single,0.9426376007230114,0.5384615384615384,0.6250672388786821
Single,1.1112522220340506,0.6153846153846154,0.6966252519570487
Single,1.1993715728955001,0.6923076923076923,0.7095795327798219
Single,1.2945875317624078,0.7692307692307693,0.7318814744873607
Single,1.357257893674004,0.8461538461538461,0.7674750404011431
Single,1.3964657413627006,0.9230769230769231,0.902632536790979
Single,1.7007387424916058,1.0,0.9999999881146937
