dataset,s,G_N,G_W
Twin,0.04423280993939395,0.07692307692307693,0.0851396455257254
Twin,0.07810723537662326,0.15384615384615385,0.13706201048438643
Twin,0.11544726622510806,0.23076923076923078,0.18069656854514896
Twin,0.15662816579653657,0.3076923076923077,0.22173381256915833
Twin,0.19881340893939364,0.38461538461538464,0.2775673956635286
Twin,0.2414039887575754,0.46153846153846156,0.32906507380440636
Twin,0.3539007256103891,0.5384615384615384,0.3874252173335153
Twin,0.40004951014285656,0.6153846153846154,0.44760187436383436
Twin,0.4464076402380946,0.6923076923076923,0.506366089114098
Twin,0.4970864208181811,0.7692307692307693,0.5679210687950812
Twin,0.5496749035367957,0.8461538461538461,0.7904161102505375
Twin,0.6153631312294363,0.9230769230769231,0.8986428556976225
Twin,0.6676951589523801,1.0,0.9999999927238197
