Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_mech_proxy,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,chi_parallel_delta,PE_total,KE_total,ETOT,energy_align_method,dPE,dKE,dETOT,dPE_sm,ddPE_de,dKE_sm,ddKE_de,dETOT_sm,ddETOT_de,A_dPE_down,A_dPE_up,A_dPE_down_norm,A_dPE_up_norm,onset_dPE_down,onset_dPE_up,A_dETOT_down,A_dETOT_up,A_dETOT_down_norm,A_dETOT_up_norm,onset_dETOT_down,onset_dETOT_up,e_min_dPE,e_min_dETOT,dPE_min,dETOT_min,e_zero_dPE,e_zero_dETOT,dataset
0.0,-0.0438,0.0255,-0.00337,-0.186,0.172,0.128,0.0165,-0.168,0.175,0.129,0.0166,-0.189,0.192,0.148,0.0218,0.134,0.13,0.147,0.239,0.0,0.0,0.0,0.005911592849044592,0.015126976940257511,-0.015126976940257511,-0.011243011216565022,0.0067785959785763,0.0,0.0,0.00445098,0.0,time,0.0255,0.13,0.239,0.05079416206612724,0.19615384615233725,0.21252787475278123,0.6836982968353196,0.024167832167832182,0.13048251748251757,0.18523011331567488,0.21020833978561915,0.6819871175990665,0.024167832167832182,0.9999999999923361,0.9999999999946013,0.0,-231098.589417314,7.8587111272155,-231090.730706187,time,0.0,0.0,0.0,0.03350119270621526,-1182.2719870049505,0.08000614632394948,-2.341226406103935,0.11350733911805219,-1184.6132134034137,0.0,0.0,0.0,0.0,0.0003509799999999,0.0083509799999999,0.0,0.0,0.0,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
10000.0,-0.0433,0.0221,-0.00422,-0.194,0.174,0.128,0.0164,-0.178,0.172,0.129,0.0167,-0.191,0.19,0.146,0.0214,0.134,0.13,0.145,0.238,0.0,0.00015098,0.0308181417174793,0.023224815272967787,0.02507434939086226,0.00574379232661704,-0.00013507347625105193,0.0062591542509446195,9.758609065138052e-07,0.005413057835876401,0.00445098,2.434342373566331e-06,time,0.0221,0.13,0.238,0.0487966023407368,0.1699999999986923,0.20502774092660409,0.682151589240386,0.023438041958041975,0.12964755244755255,0.18073914066057253,0.20781441353746205,0.6838091861039838,0.023438041958041975,0.993600943236932,0.9757546298726036,-0.004490972655102343,-231099.049381579,7.95922366744334,-231091.090157912,time,-0.4599642649991438,0.1005125402278404,-0.3594517250021454,-0.3182971206930833,-1139.9766425259024,0.08087959504836979,-1.4557159220094265,-0.23741752556990528,-1141.4323584337992,0.17530654904328405,0.0,0.06334652634687321,0.0,0.0003509799999999,0.0083509799999999,0.17559318021799122,0.0,0.06371608291429558,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
20000.0,-0.0436,0.0223,-0.00349,-0.18,0.175,0.13,0.017,-0.168,0.171,0.128,0.0164,-0.189,0.188,0.146,0.0214,0.136,0.129,0.145,0.239,0.0,0.0003509799999999,0.0381345313921523,0.038136513401679464,0.03521571980500228,0.0029188115871500234,0.00226625270648191,0.0058973270889778676,2.189073891871952e-06,0.012142697288737311,0.00445098,8.60049429471849e-06,time,0.0223,0.129,0.239,0.04909613121214339,0.1728682170529235,0.20542314314618396,0.685365853656865,0.022815477855477873,0.12877995337995346,0.17711948385738058,0.20592412842544094,0.6857173044091578,0.022815477855477873,0.9869517837607694,0.9562132241131434,-0.0081106294582943,-231099.095030634,8.02129682146629,-231091.073733813,time,-0.5056133199832402,0.16258569425079017,-0.3430276260187384,-0.6531661685080264,-1095.2420273187226,0.08161925544815754,-0.8480499360967292,-0.571546912995579,-1096.0900772334,0.3988284160276348,0.0,0.1441155216485288,0.0,0.0003509799999999,0.0083509799999999,0.3993454237845993,0.0,0.14490725722784636,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
30000.0,-0.0441,0.0224,-0.00406,-0.189,0.176,0.129,0.0167,-0.174,0.17,0.128,0.0163,-0.187,0.19,0.148,0.0218,0.135,0.128,0.146,0.239,0.0,0.00055098,0.0508714507559192,0.047430999126716875,0.04555108818267759,0.005320362573241609,0.004599130887547172,0.005929945687482054,3.373968992493874e-06,0.018715258671512938,0.00445098,1.7275629655287596e-05,time,0.0224,0.128,0.239,0.04962916078274949,0.1749999999986328,0.20765339239557254,0.6870415647904963,0.022300139860139876,0.12787972027972036,0.17437114290609906,0.20453748444955586,0.6877114725145883,0.022300139860139876,0.9800525215638486,0.9413757827162207,-0.010858970409575813,-231099.416890007,7.90485251692226,-231091.51203749,time,-0.8274726929957978,0.04614138970675974,-0.7813313030055724,-0.9711059507386142,-1048.2557291138378,0.08222512752331271,-0.21238367277195908,-0.8888808231589692,-1048.4681127600945,0.613178191670998,0.0,0.22157020765051105,0.0,0.0003509799999999,0.0083509799999999,0.6138012427840559,0.0,0.22272511284079746,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
40000.0,-0.042,0.0221,-0.00392,-0.178,0.187,0.129,0.0167,-0.168,0.172,0.126,0.0159,-0.191,0.192,0.149,0.0223,0.135,0.127,0.148,0.239,0.0,0.0007509799999999,0.0651396675453906,0.0588426702868321,0.05608045452388818,0.009059213021502428,0.0033333945241064413,0.005718269393459762,4.537848012891541e-06,0.025171244774985987,0.00445098,2.7997922891805457e-05,time,0.0221,0.127,0.239,0.04762117596196045,0.17401574803012587,0.19925178226678325,0.6902439024373409,0.021892027972027987,0.12694685314685322,0.172494117806728,0.2036544816098068,0.6897916904202755,0.021892027972027987,0.9729031566461692,0.9312423056818355,-0.012735995508946885,-231100.194008556,8.01053800061567,-231092.183470555,time,-1.6045912419795059,0.15182687340016976,-1.452764368004864,-1.2721164673848462,-1000.5337685441737,0.08269721127383531,0.7322972672570184,-1.1894192560600758,-999.8014712436266,0.8180571414366967,0.0,0.29560263747176163,0.0,0.0003509799999999,0.0083509799999999,0.8186282011843257,0.0,0.29704902136795436,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
50000.0,-0.0432,0.0213,-0.00379,-0.183,0.174,0.13,0.0169,-0.168,0.173,0.125,0.0157,-0.185,0.193,0.148,0.022,0.136,0.126,0.147,0.238,0.0,0.00095098,0.0751719202315348,0.06894741813544182,0.06680381882863404,0.008368101402900757,0.0018409490566283857,0.005654227704920722,5.672193569028012e-06,0.031463410041828996,0.00445098,4.0789793949250865e-05,time,0.0213,0.126,0.238,0.048314533010265136,0.16904761904627738,0.2030022395380762,0.6919315403406066,0.021591142191142255,0.12598135198135235,0.17148840855926778,0.20327511990619426,0.6919579581262214,0.021591142191142255,0.9655036890077339,0.9258127930099903,-0.013741704756407097,-231099.984985093,7.94042304059167,-231092.044562052,time,-1.3955677789926995,0.08171191337616968,-1.3138558650098275,-1.5561977184467228,-952.8527022403706,0.08303550669972533,1.3338107526674134,-1.4731622116988987,-951.5188914501886,1.013395788515249,0.0,0.3661877058634101,0.0,0.0003509799999999,0.0083509799999999,1.0137602374538048,0.0,0.36785501159346534,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
60000.0,-0.0437,0.0214,-0.00353,-0.186,0.175,0.13,0.0168,-0.168,0.169,0.125,0.0156,-0.19,0.185,0.149,0.0222,0.135,0.125,0.148,0.238,0.0,0.0011509799999999,0.0795852347935555,0.07909461806547866,0.07772118109691518,0.0018640536966403193,0.0018390680672562157,0.004689886108871362,6.648841981447321e-06,0.0368808361385755,0.00445098,5.551933522864308e-05,time,0.0214,0.125,0.238,0.0487863802715471,0.1711999999986304,0.20498479105605932,0.6936274509786922,0.021758741258741325,0.12483916083916122,0.1743356561495344,0.20434611841112682,0.6945867755504802,0.021758741258741325,0.95675009378119,0.9411842007108476,-0.010894457166140487,-231100.335580559,7.95699279199005,-231092.378587767,time,-1.7461632449994795,0.09828166477455014,-1.647881579992827,-1.8233497039242441,-904.9476384167701,0.08324001380098277,2.3727748682952816,-1.7401096900754383,-902.5748635068271,1.1991758225808702,0.0,0.43331879644095134,0.0,0.0003509799999999,0.0083509799999999,1.1991696129494138,0.0,0.4351330182193489,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
70000.0,-0.0439,0.0209,-0.00456,-0.182,0.18,0.131,0.017,-0.162,0.171,0.124,0.0153,-0.189,0.19,0.15,0.0224,0.136,0.124,0.149,0.239,0.0,0.00135098,0.0859028719874776,0.08806096831640985,0.08883254132873161,-0.002929669341254007,0.001234314261567403,0.004710648776082727,7.587840468981754e-06,0.04208941974603088,0.00445098,7.243604760014474e-05,time,0.0209,0.124,0.239,0.04883455334084669,0.16854838709541492,0.2043286750654492,0.6968215158907168,0.021826573426573494,0.12380419580419619,0.17642046244450094,0.20504153666549446,0.6969164203534337,0.021826573426573494,0.9488182646371381,0.9524394240524341,-0.00880965087117394,-231100.49791653,7.90092776348381,-231092.596988767,time,-1.908499215991469,0.04221663626830985,-1.8662825800129212,-2.0735724238174096,-856.5978459128801,0.08331073257760764,3.0205919699071386,-1.9902616911896938,-853.5772539000344,1.3753303710139233,0.0,0.49697174497215996,0.0,0.0003509799999999,0.0083509799999999,1.374784824690188,0.0,0.49885709553485424,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
80000.0,-0.0437,0.0229,-0.0042,-0.186,0.174,0.131,0.0171,-0.165,0.17,0.121,0.0148,-0.189,0.196,0.151,0.0227,0.137,0.122,0.15,0.238,0.0,0.0015509799999999,0.0942945275755308,0.10021837811731601,0.10013789952408332,-0.005843371948552514,-0.001543876529248375,0.004702048508011403,8.527769082296776e-06,0.04730316272057573,0.00445098,9.123298612955174e-05,time,0.0229,0.122,0.238,0.04951504821768833,0.1877049180312483,0.20804642108184995,0.7017114914408272,0.021478554778554843,0.12279254079254116,0.17495971030592455,0.20529098330860968,0.699429447590088,0.021478554778554843,0.9410650802936278,0.9445532757776175,-0.010270403009750323,-231100.887397693,7.91251765737036,-231092.974880036,time,-2.2979803789930884,0.053806530154860255,-2.244173849001527,-2.30686587812622,-808.3106719106837,0.08324766302959993,3.611998964386437,-2.223618215041666,-804.6986728986506,1.5418212227961963,0.0,0.5571327440135312,0.0,0.0003509799999999,0.0083509799999999,1.5406124173699733,0.0,0.5590296183603203,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
90000.0,-0.0436,0.0219,-0.00383,-0.187,0.179,0.131,0.0171,-0.163,0.166,0.122,0.0149,-0.194,0.197,0.149,0.0222,0.137,0.122,0.148,0.238,0.0,0.00175098,0.115198698041794,0.11189972277954183,0.1116372556829703,0.003561442358823705,-0.0006820446502356709,0.004650672122482573,9.456433659459554e-06,0.05245442457844656,0.00445098,0.00011241531912226546,time,0.0219,0.122,0.238,0.048941177958851785,0.17950819671984009,0.2056352015069166,0.7002457002439798,0.021372027972028036,0.12180419580419617,0.1754888463231721,0.2067500474562,0.7015447493369217,0.021372027972028036,0.9334905407506592,0.9474099172155187,-0.009741266992502773,-231101.254871812,7.9166854623654,-231093.33818635,time,-2.665454497997416,0.05797433514990047,-2.6074801630165894,-2.5232300668506746,-761.0418595871004,0.08305080515695965,3.9420629599385526,-2.440179261631354,-757.0997965756867,1.6987564759460532,0.0,0.6138408544786803,0.0,0.0003509799999999,0.0083509799999999,1.696792264317485,0.0,0.6157013414038673,0.0,0.0003509799999999,0.0083509799999999,0.00375098,0.00375098,-3.9064061419921927,-3.855862561002141,0.010895331376698512,0.010540940084131645,Single
