dataset,Time,section,strain,P_parallel,Pabs_parallel_mean,Pmag_mean,chi_parallel,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,H_sec_quick,H_sec_chi_quick,P_env_min,P_env_max,chi_env_min,chi_env_max,H_sec_quick_sm,dH_sec_quick_de,A_H_sec_quick,A_H_sec_quick_norm,onset_H_sec_quick,H_sec_chi_quick_sm,dH_sec_chi_quick_de,A_H_sec_chi_quick,A_H_sec_chi_quick_norm,onset_H_sec_chi_quick
Single,0.0,xy,0.0,-0.0268865,0.1251016,0.2350876,0.21491731520448243,-0.026170729878787862,0.369989878517709,0.0,0.0,0.0087509799999999,0.20855936655248572,4.618758699238404,0.0,0.0,0.00975098,2.1028592934235126,0.1844776878521557,-0.0268865,0.03198531,0.1960815571953836,0.23585847301287674,2.1119035403168316,22.25009999607509,0.0,0.0,0.00855098,0.20457493105695213,44.82031405443455,0.0,0.0,0.0083509799999999
Single,10000.0,xy,0.00015098,-0.02597993,0.1257359,0.2347779,0.2066230090196465,-0.026812635969696956,0.6347026093602227,7.584423590990507e-05,0.00043229047922582823,0.0087509799999999,0.21466266453881874,2.5851899797035234,0.000543826085773326,0.00032210792636506145,0.00975098,2.157652230535939,0.26653472714999193,-0.02597993,0.03000286,0.16792667241258233,0.22082245579577323,2.1427562540655822,19.797433248999845,0.0031741682846707065,0.0008651774683591959,0.00855098,0.24189382406777385,41.043211880187386,0.006481837572804609,0.0029556769727798787,0.0083509799999999
Single,20000.0,xy,0.0003509799999999,-0.02815272,0.1233595,0.235397,0.22821687830910292,-0.027276183987012974,0.716401061728281,0.0002109546030186879,0.001202380976481474,0.0087509799999999,0.21947375997163932,2.0545687163182573,0.0010078019553752722,0.0005969206084900633,0.00975098,2.1976768587286446,0.3262198633002681,-0.02815272,0.03300514,0.17486503737620862,0.24537860482915108,2.166397353230336,19.683260470907634,0.00712223765665948,0.0019412957953741374,0.00855098,0.27173901922889643,38.73058373240716,0.014459217134060075,0.006593311641574192,0.0083509799999999
Single,30000.0,xy,0.00055098,-0.02522389,0.1241872,0.2357343,0.20311183439031466,-0.02756137393073592,0.7749878620848081,0.00036009349540007136,0.00205243006044011,0.0087509799999999,0.22299265285094738,1.6560458416071584,0.001378863411167999,0.0008167001284618479,0.00975098,2.129754814300221,0.22808258767858655,-0.02522389,0.02888131,0.1712104491573003,0.21609869755398967,2.182826837811093,19.33537926091643,0.011024101629843837,0.0030048199980777777,0.00855098,0.29411051654031983,34.43643529526789,0.021775919036831237,0.00992968147309378,0.0083509799999999
Single,40000.0,xy,0.0007509799999999,-0.02897193,0.1235253,0.2352429,0.23454247834059463,-0.02766820580086576,0.7898992128907024,0.0005165822028975442,0.0029443709910320186,0.0087509799999999,0.2252193431767428,1.6492145383441619,0.001709389449162966,0.0010124705401676857,0.00975098,2.1914835098870324,0.2993702202904029,-0.02897193,0.03108111,0.17308945598158545,0.2374635852493816,2.19204470780785,19.11955585273603,0.01486959514120716,0.004052979403116439,0.00855098,0.3090083160020438,30.429008019989936,0.02826246336835378,0.012887504698105802,0.0083509799999999
Single,50000.0,xy,0.00095098,-0.02807465,0.1211111,0.2345911,0.23180905796221973,-0.02773649207792204,0.8310660248021153,0.000678678726666907,0.0038682748724599733,0.0087509799999999,0.22734267313491016,1.3510579171627008,0.002009416694713802,0.001190176531927857,0.00975098,2.1969260172116183,0.2887346589720145,-0.02807465,0.03006584,0.17103418361009393,0.23180905796221973,2.1868806929091402,16.981484374717798,0.01847969916395435,0.005036979109117466,0.00855098,0.3062990899169289,23.58537251803661,0.03366390142215914,0.01535052631754784,0.0083509799999999
Single,60000.0,xy,0.0011509799999999,-0.0257626,0.1218878,0.2354283,0.21136323733621112,-0.027424046969696927,0.8993505443200364,0.0008517203835790357,0.004854562886244369,0.0087509799999999,0.22668075392658413,0.7821863332636969,0.0022227411197563354,0.0013165284852288065,0.00975098,2.1855386893709605,0.3456351441269064,-0.0257626,0.03142854,0.16826416279943077,0.23960724847320772,2.1834469991985843,14.04691749744291,0.02158253935116887,0.005882714803365929,0.00855098,0.31231406087650027,17.38379301482128,0.03776081797544288,0.01721869437636299,0.0083509799999999
Single,70000.0,xy,0.00135098,-0.02996912,0.1193451,0.2353068,0.2511131164978611,-0.02742953316017312,0.911884373246468,0.0010328438753357766,0.005886915050007831,0.0087509799999999,0.22875428804104425,0.6060748021968707,0.0023615672333024617,0.0013987551248282573,0.00975098,2.222427313779876,0.3635467445040183,-0.02996912,0.03005576,0.1721035642185513,0.2511131164978611,2.1897935813280545,11.8335709017256,0.024170588191087014,0.0065881347252156695,0.00855098,0.3205695053392521,13.452089605597656,0.040844406237486315,0.018624791137857824,0.0083509799999999
Single,80000.0,xy,0.0015509799999999,-0.02464177,0.1193242,0.2360343,0.20651108492488102,-0.02604812164502161,0.9587384783551958,0.0012199061604958495,0.006953116639710518,0.0087509799999999,0.21922993465234675,0.14864036481353998,0.002437038750003465,0.0014434568674995697,0.00975098,2.1277352055129697,0.25426227465308004,-0.02464177,0.03099186,0.18740499100085123,0.24123679562545206,2.169833824006675,8.74330411411099,0.026228275692669643,0.007148994989585145,0.00855098,0.302498607837492,9.127126563523541,0.043102327854397306,0.019654389126774738,0.0083509799999999
Single,90000.0,xy,0.00175098,-0.02623862,0.1172023,0.2344844,0.22387461679315274,-0.026312348051948015,0.9904549561923087,0.0014148255039506973,0.008064101217267262,0.0087509799999999,0.22233081191053983,-0.03887572730304932,0.002455790359215133,0.0014545634365244618,0.00975098,2.1804080365074627,0.3196956858757864,-0.02623862,0.03155803,0.18119549053259706,0.25112284222396747,2.180743655619785,6.563637655554838,0.027758969869636992,0.007566213610052258,0.00855098,0.3197112343751303,6.4914943292428084,0.04466418994367472,0.020366588369672103,0.0083509799999999
Single,100000.0,xy,0.0019509799999999,-0.02569545,0.1180413,0.2352376,0.21768186219384503,-0.02585438064935061,1.0165875637759108,0.001615529755947419,0.009208058121011258,0.0087509799999999,0.22048493624890939,-0.19444790938448975,0.0024791227228838754,0.0014683831841885463,0.00975098,2.183628643340944,0.280050820570143,-0.02569545,0.02918178,0.1689362886438019,0.22613716497841724,2.177061116321999,4.192743911264266,0.028834608026318365,0.007859398411174006,0.00855098,0.30973207402660874,3.2674428283501507,0.04564008365943353,0.020811589737131677,0.0083509799999999
Single,110000.0,xy,0.00215098,-0.02417386,0.1160053,0.2352794,0.20838582374935982,-0.025137363896103857,1.1305312397537566,0.0018302416363004928,0.010431854505004985,0.0087509799999999,0.21653408841354127,-0.9304673022246417,0.0025916142440448446,0.0015350118575139266,0.00975098,2.1638300804711794,0.32586221363574097,-0.02417386,0.03029001,0.17672516220545406,0.2451887888273181,2.1852803994513272,-1.071104542153572,0.029360992871660413,0.008002874202950726,0.00855098,0.32445742895780205,-4.845615663458972,0.04645138950861484,0.021181540077505487,0.0083509799999999
Single,120000.0,xy,0.0023509799999999,-0.02866185,0.1166138,0.2339199,0.2457843754320176,-0.025474114545454507,1.1925072365210556,0.002062545483927858,0.011755920077188073,0.0087509799999999,0.22119424514845704,-1.2452770795126475,0.002809188682218465,0.0016638810915273893,0.00975098,2.261182396711171,0.41612958324645083,-0.02866185,0.02791019,0.15831539711211887,0.2457843754320176,2.197386056397195,-4.066411519837663,0.02987474447785928,0.008142906574946629,0.00855098,0.33241321836477256,-10.362959322316453,0.047972247007191625,0.021875041486162046,0.0083509799999999
Single,130000.0,xy,0.00255098,-0.02248033,0.1121576,0.233666,0.2004351911934596,-0.025279224069264035,1.2138761783886995,0.002303183825418954,0.013127489883585303,0.0087509799999999,0.22114529320571552,-1.2465560582746522,0.0030583719959973196,0.001811472247203464,0.00975098,2.13755356016084,0.25475643715883545,-0.02248033,0.02796007,0.17545403758364367,0.22661825779766978,2.199409199632411,-5.76731100160735,0.030858116730004274,0.008410942620695775,0.00855098,0.3204529780879433,-13.9522970806733,0.05040377264749182,0.02298380181269542,0.0083509799999999
Single,140000.0,xy,0.0027509799999999,-0.02562202,0.1126633,0.2343294,0.22742117441769039,-0.025306728571428537,1.2362312042502885,0.00254819456368273,0.014523981102579697,0.0087509799999999,0.22346735312162133,-1.3753859882545845,0.003320566200650112,0.0019667697472223384,0.00975098,2.230144602319108,0.35134308865765845,-0.02562202,0.02847068,0.16162689547404194,0.23467366961477448,2.203351618258974,-6.584243135049274,0.03209327214366932,0.008747606760081737,0.00855098,0.31762807717611635,-15.160979618667852,0.05331510031742447,0.024311348832747267,0.0083509799999999
Single,150000.0,xy,0.00295098,-0.02520007,0.1137499,0.2359699,0.2215392716809286,-0.024868147489177456,1.2540781902513047,0.002797225503133014,0.015943386319937317,0.0087509799999999,0.22115818755787386,-1.629849580833866,0.0036210897575591075,0.0021447697039587957,0.00975098,2.172659267985334,0.24369393197469616,-0.02520007,0.02669331,0.17190906939611664,0.2215392716809286,2.1892518336529885,-6.502103720772106,0.03340190682925211,0.00910429901541911,0.00855098,0.2862332307754773,-14.339091974192122,0.05626510747671195,0.02565653345551915,0.0083509799999999
Single,160000.0,xy,0.0031509799999999,-0.02523337,0.1117976,0.2352631,0.22570582910343598,-0.02429606125541122,1.247486850508804,0.0030473820072088997,0.0173692069341351,0.0087509799999999,0.21773665717513196,-1.7202321586121907,0.003956097931503546,0.00234319488260969,0.00975098,2.213617071438292,0.2995194502029282,-0.02523337,0.0276245,0.16559387560945293,0.22736083001803806,2.1777619204300356,-5.359226572842511,0.03458803985861298,0.009427601209709077,0.00855098,0.2756051321255665,-12.192146041467902,0.058918231278276625,0.026866341143252658,0.0083509799999999
Single,170000.0,xy,0.00335098,-0.02408302,0.1107301,0.2348715,0.21749298519356983,-0.024515725670995636,1.222790623489065,0.0032944097546088098,0.01877719452903205,0.0087509799999999,0.22040990470285637,-1.455120634282332,0.004273633210793156,0.002531270874246397,0.00975098,2.1657023196234992,0.2886942953865099,-0.02408302,0.02800015,0.17378135393419328,0.233947330380873,2.178781553260113,-3.000410695073272,0.03542400358540498,0.00965545837288436,0.00855098,0.28374238091919846,-7.4758929440178905,0.06088503517682619,0.02776319129224541,0.0083509799999999
Single,180000.0,xy,0.0035509799999999,-0.02278533,0.1096801,0.233898,0.20774351956090717,-0.023856296536796502,1.1439932374768051,0.0035310881407052785,0.020126193720870125,0.0087509799999999,0.21635712116246575,-0.47577702750787654,0.004466722976972081,0.0026456378489342056,0.00975098,2.1252491327567515,0.23364345405685086,-0.02278533,0.02764465,0.18535249400877293,0.23420762351243693,2.16215765796771,1.75908628231538,0.035899953283143604,0.009785187145156604,0.00855098,0.2673568541121518,0.4335344292533585,0.06167597791415292,0.02812385618229334,0.0083509799999999
Single,190000.0,xy,0.00375098,-0.02462063,0.1094338,0.2348686,0.22498195255739104,-0.023697557922077887,1.1238187268791864,0.0037578693371409914,0.02141878175884649,0.0087509799999999,0.21840930724213004,0.1706311452666637,0.004531363794249567,0.002683924573599474,0.00975098,2.2014020311637466,0.3263303514765495,-0.02462063,0.02913195,0.17770028714808941,0.24853792188899604,2.164861116019872,5.215601501538187,0.036597422061529314,0.009975294983754057,0.00855098,0.2762945153510087,7.569055612624523,0.06247623691834111,0.028488769231158177,0.0083509799999999
