Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,onset_sigma,align_method,P_parallel,Pabs_parallel_mean,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp_comp,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,Pabs_parallel_mean_sm,dPabs_parallel_mean_de,A_Pabs_parallel_mean,A_Pabs_parallel_mean_norm,onset_Pabs_parallel_mean,Pmag_mean_sm,dPmag_mean_de,A_Pmag_mean,A_Pmag_mean_norm,onset_Pmag_mean,Pvec_norm_sm,dPvec_norm_de,A_Pvec_norm,A_Pvec_norm_norm,onset_Pvec_norm,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,chi_vec_sm,dchi_vec_de,A_chi_vec,A_chi_vec_norm,onset_chi_vec,eta_perp_comp_sm,deta_perp_comp_de,A_eta_perp_comp,A_eta_perp_comp_norm,onset_eta_perp_comp,dataset
0.0,-0.0438,0.0255,-0.00337,-0.186,0.172,0.128,0.0165,-0.168,0.175,0.129,0.0166,-0.189,0.192,0.148,0.0218,0.134,0.13,0.147,0.239,0.0,0.0,0.0,0.005911592849044592,0.015126976940257511,56.585931572388496,-0.015126976940257511,0.0067785959785763,0.0,0.0,0.00445098,time,0.0255,0.13,0.239,0.05079416206612724,0.19615384615233725,0.21252787475278123,1.1757322175683025,0.024167832167832182,-1.3358453657570313,0.0,0.0,0.0087509799999999,0.13048251748251757,-4.975722902932169,0.0,0.0,0.00255098,0.23874125874125887,-0.4277338806688258,0.0,0.0,0.0019509799999999,0.050186396126127686,-0.3210480585915685,0.0,0.0,0.0091509799999999,0.18523011331567488,-3.5629927320624026,0.0,0.0,0.0091509799999999,0.21020833978561915,-0.9722173052726085,0.0,0.0,0.0091509799999999,1.1720822864017681,18.10220390285677,0.0,0.0,0.00135098,Single
10000.0,-0.0433,0.0221,-0.00422,-0.194,0.174,0.128,0.0164,-0.178,0.172,0.129,0.0167,-0.191,0.19,0.146,0.0214,0.134,0.13,0.145,0.238,0.0,0.00015098,0.0308181417174793,0.023224815272967787,0.02507434939086226,55.86360959759083,0.00574379232661704,0.0062591542509446195,9.758609065138052e-07,0.005413057835876401,0.00445098,time,0.0221,0.13,0.238,0.0487966023407368,0.1699999999986923,0.20502774092660409,1.1722689075580999,0.023438041958041975,-1.328046816564967,0.00020109722084348764,0.0015684237781563952,0.0087509799999999,0.12964755244755255,-4.977464911230469,0.0007513661480911376,0.0062724456984402455,0.00255098,0.23873286713286726,-0.4382745080081772,6.537497326122694e-05,0.00983720447147978,0.0019509799999999,0.0496129615544091,-0.22005924463969403,4.084819032092801e-05,0.0005692096853891941,0.0091509799999999,0.18073914066057253,-3.5673861226278003,0.0005382722997405634,0.0003205178582136224,0.0091509799999999,0.20781441353746205,-0.5398683833100737,0.00011414734863110668,0.0003819490384196366,0.0091509799999999,1.1744656278941321,18.389322399952455,0.002754745320599068,0.011685526834750803,0.00135098,Single
20000.0,-0.0436,0.0223,-0.00349,-0.18,0.175,0.13,0.017,-0.168,0.171,0.128,0.0164,-0.189,0.188,0.146,0.0214,0.136,0.129,0.145,0.239,0.0,0.0003509799999999,0.0381345313921523,0.038136513401679464,0.03521571980500228,55.365286644942074,0.0029188115871500234,0.0058973270889778676,2.189073891871952e-06,0.012142697288737311,0.00445098,time,0.0223,0.129,0.239,0.04909613121214339,0.1728682170529235,0.20542314314618396,1.1757322175683025,0.022815477855477873,-1.3735082588711323,0.00047125272838696253,0.0036754559890136104,0.0087509799999999,0.12877995337995346,-4.948518156300992,0.0017439644548437874,0.014558710651003079,0.00255098,0.23870815850815863,-0.4397050715470552,0.0001531729312167063,0.023048475107649603,0.0019509799999999,0.049156403681559865,-0.15817223516006687,7.867133830088518e-05,0.001096266134963904,0.0091509799999999,0.17711948385738058,-4.050737618269874,0.0013000846738299501,0.0007741441559470416,0.0091509799999999,0.20592412842544094,-0.2795358551908514,0.0001960877724811582,0.0006561303179022488,0.0091509799999999,1.1770880034675177,18.406159965462763,0.006434293557138751,0.02729403312254582,0.00135098,Single
30000.0,-0.0441,0.0224,-0.00406,-0.189,0.176,0.129,0.0167,-0.174,0.17,0.128,0.0163,-0.187,0.19,0.148,0.0218,0.135,0.128,0.146,0.239,0.0,0.00055098,0.0508714507559192,0.047430999126716875,0.04555108818267759,55.28979441696496,0.005320362573241609,0.005929945687482054,3.373968992493874e-06,0.018715258671512938,0.00445098,time,0.0224,0.128,0.239,0.04962916078274949,0.1749999999986328,0.20765339239557254,1.1757322175683025,0.022300139860139876,-1.4499296181886088,0.0007535965160930777,0.005877548630550745,0.0087509799999999,0.12787972027972036,-4.8813786111424555,0.0027269541315886234,0.022764762234739635,0.00255098,0.23866713286713298,-0.39691660157817604,0.0002368350985292712,0.03563741863336673,0.0019509799999999,0.04881672250757999,-0.13417943671130858,0.00010790650548803734,0.0015036511423818118,0.0091509799999999,0.17437114290609906,-4.835846679909844,0.002188743103648366,0.001303301790003563,0.0091509799999999,0.20453748444955586,-0.21662966943634848,0.00024570432494390297,0.0008221525227988977,0.0091509799999999,1.1799494131219246,18.111569087209247,0.010086066462407776,0.0427847174917481,0.00135098,Single
40000.0,-0.042,0.0221,-0.00392,-0.178,0.187,0.129,0.0167,-0.168,0.172,0.126,0.0159,-0.191,0.192,0.149,0.0223,0.135,0.127,0.148,0.239,0.0,0.0007509799999999,0.0651396675453906,0.0588426702868321,0.05608045452388818,55.1970935421748,0.009059213021502428,0.005718269393459762,4.537848012891541e-06,0.025171244774985987,0.00445098,time,0.0221,0.127,0.239,0.04762117596196045,0.17401574803012587,0.19925178226678325,1.1841004184050876,0.021892027972027987,-1.4611481358738125,0.0010447042914991742,0.008147994512587504,0.0087509799999999,0.12694685314685322,-4.829409423770263,0.00369803293507941,0.030871381197114644,0.00255098,0.2386097902097903,-0.3665366313770245,0.0003131804218247531,0.04712537064671473,0.0019509799999999,0.04859391803246947,-0.10547050281524703,0.0001318714994406809,0.001837597556187795,0.0091509799999999,0.172494117806728,-5.039809467021468,0.0031763087183410035,0.0018913543719760442,0.0091509799999999,0.2036544816098068,-0.12273482152291357,0.0002796407740398122,0.0009357074520636075,0.0091509799999999,1.1830498568573529,17.969522910333414,0.01369417566216024,0.05809018205180755,0.00135098,Single
50000.0,-0.0432,0.0213,-0.00379,-0.183,0.174,0.13,0.0169,-0.168,0.173,0.125,0.0157,-0.185,0.193,0.148,0.022,0.136,0.126,0.147,0.238,0.0,0.00095098,0.0751719202315348,0.06894741813544182,0.06680381882863404,55.6562505368649,0.008368101402900757,0.005654227704920722,5.672193569028012e-06,0.031463410041828996,0.00445098,time,0.0213,0.126,0.238,0.048314533010265136,0.16904761904627738,0.2030022395380762,1.1890756302471048,0.021591142191142255,-1.425100058135408,0.0013333291109002407,0.010399074999010783,0.0087509799999999,0.12598135198135235,-4.805532918260973,0.004661527169283016,0.03891468376026038,0.00255098,0.23853613053613126,-0.33266522780719715,0.0003831006077432103,0.05764650941361471,0.0019509799999999,0.04848799025622844,-0.07679351210346809,0.00015009790093256154,0.0020915780673796264,0.0091509799999999,0.17148840855926778,-4.796024208162178,0.00415989208585986,0.0024770356981071366,0.0091509799999999,0.20327511990619426,-0.03186519511385872,0.00029510077570349717,0.0009874382442390227,0.0091509799999999,1.1863893346738061,17.799188300635926,0.017271046783258963,0.07326313584811518,0.00135098,Single
60000.0,-0.0437,0.0214,-0.00353,-0.186,0.175,0.13,0.0168,-0.168,0.169,0.125,0.0156,-0.19,0.185,0.149,0.0222,0.135,0.125,0.148,0.238,0.0,0.0011509799999999,0.0795852347935555,0.07909461806547866,0.07772118109691518,55.979889938252285,0.0018640536966403193,0.004689886108871362,6.648841981447321e-06,0.0368808361385755,0.00445098,time,0.0214,0.125,0.238,0.0487863802715471,0.1711999999986304,0.20498479105605932,1.1890756302471048,0.021758741258741325,-1.361666401423181,0.0016120057568559602,0.012572566388401988,0.0087509799999999,0.12483916083916122,-4.777137799282746,0.005619794241036909,0.04691434968538876,0.00255098,0.23848018648018718,-0.3061259766406334,0.00044697972818796144,0.06725862759777607,0.0019509799999999,0.04873203944367405,-0.053453181570784464,0.00016312257029998028,0.0022730736953298406,0.0091509799999999,0.1743356561495344,-4.319371831552016,0.005071431689830824,0.0030198180810803725,0.0091509799999999,0.20434611841112682,0.04283079453293329,0.0003025703746681726,0.0010124323082812655,0.0091509799999999,1.1905037697505658,17.50431067603231,0.020801396680924022,0.08823874835092665,0.00135098,Single
70000.0,-0.0439,0.0209,-0.00456,-0.182,0.18,0.131,0.017,-0.162,0.171,0.124,0.0153,-0.189,0.19,0.15,0.0224,0.136,0.124,0.149,0.239,0.0,0.00135098,0.0859028719874776,0.08806096831640985,0.08883254132873161,56.18896203642734,-0.002929669341254007,0.004710648776082727,7.587840468981754e-06,0.04208941974603088,0.00445098,time,0.0209,0.124,0.239,0.04883455334084669,0.16854838709541492,0.2043286750654492,1.1924686192418728,0.021826573426573494,-1.2631042087362119,0.0018744828178720307,0.014619711853622592,0.0087509799999999,0.12380419580419619,-4.7405986220296334,0.006571567883168624,0.05485980810488858,0.00255098,0.23824708624708696,-0.29757293805284935,0.0005073496196573399,0.07634269963146263,0.0019509799999999,0.04884982973097235,-0.013628310249984347,0.0001698307194820605,0.0023665501371373347,0.0091509799999999,0.17642046244450094,-3.551554805126974,0.005858524353499117,0.0034884976971338248,0.0091509799999999,0.20504153666549446,0.2027297216027019,0.0003271264262817484,0.00109459944062088,0.0091509799999999,1.194888588312078,17.301220553885017,0.024281949803917496,0.10300312479414395,0.00135098,Single
80000.0,-0.0437,0.0229,-0.0042,-0.186,0.174,0.131,0.0171,-0.165,0.17,0.121,0.0148,-0.189,0.196,0.151,0.0227,0.137,0.122,0.15,0.238,0.0,0.0015509799999999,0.0942945275755308,0.10021837811731601,0.10013789952408332,55.8996958795924,-0.005843371948552514,0.004702048508011403,8.527769082296776e-06,0.04730316272057573,0.00445098,time,0.0229,0.122,0.238,0.04951504821768833,0.1877049180312483,0.20804642108184995,1.2058823529361098,0.021478554778554843,-1.1837150104221874,0.002119164739787748,0.01652806713972721,0.0087509799999999,0.12279254079254116,-4.7178688840522,0.0075174146337763335,0.06275578850978884,0.00255098,0.23821678321678394,-0.2950661201147201,0.0005666135254740672,0.08526035007497618,0.0019509799999999,0.04890356460171294,0.010505008375174431,0.00017224405134457518,0.0024001793348914858,0.0091509799999999,0.17495971030592455,-2.922355703530445,0.006505915404364534,0.003873991049011789,0.0091509799999999,0.20529098330860968,0.3020469590152329,0.00037760409434351664,0.0012635030289132841,0.0091509799999999,1.199513773051394,17.176329300413176,0.02772970478934559,0.11762837276193225,0.00135098,Single
90000.0,-0.0436,0.0219,-0.00383,-0.187,0.179,0.131,0.0171,-0.163,0.166,0.122,0.0149,-0.194,0.197,0.149,0.0222,0.137,0.122,0.148,0.238,0.0,0.00175098,0.115198698041794,0.11189972277954183,0.1116372556829703,56.33857189623105,0.003561442358823705,0.004650672122482573,9.456433659459554e-06,0.05245442457844656,0.00445098,time,0.0219,0.122,0.238,0.048941177958851785,0.17950819671984009,0.2056352015069166,1.1974789915916073,0.021372027972028036,-1.0938645212346374,0.002346922692953545,0.018304426792591276,0.0087509799999999,0.12180419580419617,-4.701199576781527,0.008459321479860178,0.07061887837624022,0.00255098,0.23805594405594477,-0.306752248541141,0.0006267953623396835,0.09431612486436988,0.0019509799999999,0.049218268039549345,0.03418157156515225,0.00017671270933861008,0.0024624490068380868,0.0091509799999999,0.1754888463231721,-2.1890418479047704,0.007017055159508311,0.004178352651207334,0.0091509799999999,0.2067500474562,0.411893037876349,0.00044899809403271053,0.00150239486352212,0.0091509799999999,1.2027314253264385,17.05734834108923,0.031153072553497543,0.13215017104727028,0.00135098,Single
