TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
5000,5.1e-05,0.061210163,0.07027457375757577,0.028609723790859756,18.916791549460243,0.03260043920914024,0.02444938041236754,0.0,0.0,,,,,,
10000,0.00015098,0.057529074,0.04423280993939395,0.030903939471533932,25.54237687534241,0.026625134528466068,0.023946234494985258,2.4192967892185662e-06,0.005596610043014293,0.00015098,0.14,0.13939393939393926,-4.880755608028494,0.0,0.0
15000,0.00025098,0.031106591,0.025796631426406924,0.033269078972416544,30.114852581358164,-0.0021624879724165443,0.025204543951862113,4.876835711560935e-06,0.011281686415277959,,,,,,
20000,0.00035098,0.008299423,0.014966038218614718,0.03570514229350759,31.8979867617524,-0.02740571929350759,0.024728786544109965,7.373502236359538e-06,0.017057277491583523,0.00035098,0.136,0.13834848484848478,-4.959661550570774,0.0009840417158599268,0.00693774416153224
25000,0.00045098,0.00044753,0.011741030316017292,0.03821212943480708,31.336629697198415,-0.037764599434807075,0.02399285385565552,9.809584256347814e-06,0.02269271716125574,,,,,,
30000,0.00055098,0.025326232,0.015502228653679624,0.040790040396314994,29.221770421153444,-0.015463808396314994,0.023237905943184207,1.21711222462898e-05,0.028155712561558844,0.00055098,0.139,0.13736363636363633,-5.062199705056985,0.0019862278414227025,0.014003411022327675
35000,0.00065098,0.029853614,0.03395622358008653,0.04343887517803135,27.19830066189546,-0.013585261178031348,0.023411347307839087,1.4503584908840966e-05,0.03355144739672395,,,,,,
40000,0.00075098,0.042682716,0.05453006498268391,0.04615863377995614,26.5952760765895,-0.0034759177799561364,0.024089558084044053,1.6878630178435124e-05,0.0390456894705613,0.00075098,0.136,0.13643939393939392,-5.067361210218477,0.002999183932950249,0.021145008880038924
45000,0.00085098,0.077381489,0.06775571457575748,0.048949316202089366,27.931967125357616,0.028432172797910632,0.024113341828825716,1.9288775174078612e-05,0.0446211284774042,,,,,,
50000,0.00095098,0.088024792,0.06598675623809513,0.05181092244443103,30.53665088336272,0.036213869555568975,0.023545823344588573,2.1671733432749327e-05,0.050133675834964274,0.00095098,0.139,0.1355757575757574,-5.112863327149115,0.0040172063866870085,0.028322325878789287
55000,0.00105098,0.062885291,0.060486712969696876,0.054743452506981136,33.08222583575936,0.00814183849301886,0.024259261782575328,2.4061987689107522e-05,0.0556631011771162,,,,,,
60000,0.00115098,0.040266302,0.0514114751774891,0.057746906389739665,34.46047939084192,-0.017480604389739668,0.024081394044204115,2.6479020480446496e-05,0.06125447386631481,0.00115098,0.132,0.13532467532467513,-5.1541889483066345,0.005043911614232583,0.03556085863935862
65000,0.00125098,0.023707517,0.0402202457575757,0.06082128409270664,34.48064920381577,-0.03711376709270664,0.023449570149720173,2.885556869014271e-05,0.06675219272303663,,,,,,
70000,0.00135098,0.046568801,0.04123179321645015,0.06396658561588205,33.57300786682814,-0.017397784615882046,0.023466876701326658,3.1201391032695056e-05,0.07217883278636525,0.00135098,0.134,0.1335757575757574,-5.213903743315551,0.006080720883394802,0.042870627460964754
75000,0.00145098,0.058599387,0.05652691215151506,0.0671828109592659,32.46572012131421,-0.008583423959265896,0.022991647445737635,3.352431724004827e-05,0.07755250673955282,,,,,,
80000,0.00155098,0.068200859,0.07810723537662326,0.07046996012285817,32.03050420603399,-0.0022691011228581637,0.022260343822262853,3.5786916803448296e-05,0.08278662580104028,0.00155098,0.132,0.1324718614718613,-5.232689567054937,0.0071253802144318505,0.05023574121364646
85000,0.00165098,0.099857742,0.09566492190043277,0.07382803310665889,35.58713271322958,0.026029708893341108,0.022472972328188835,3.802358261097088e-05,0.08796075176071255,,,,,,
90000,0.00175098,0.110842331,0.09777997584848472,0.07725702991066803,38.408596988714855,0.03358530108933197,0.02228746412899173,4.026160443382991e-05,0.0931380146191251,0.00175098,0.134,0.13121212121212103,-5.192906508696034,0.008167939822006948,0.05758605138233961
95000,0.00185098,0.105294458,0.09135616507792195,0.08075695053488563,40.4154597241568,0.024537507465114364,0.022673009975394225,4.250962813904921e-05,0.09833841504193899,,,,,,
100000,0.00195098,0.077963511,0.08152255148051936,0.08432779497931164,41.1528734692605,-0.006364283979311644,0.023486852362837023,4.4817621255960766e-05,0.10367754396356554,0.00195098,0.128,0.13074458874458855,-5.2267193958923635,0.009209902412465786,0.06493215242864912
105000,0.00205098,0.052323645,0.07157158553679643,0.08796956324395148,40.45384037861326,-0.03564591824395148,0.022780667683368415,4.713099725827104e-05,0.10902912522697052,,,,,,
110000,0.00215098,0.062196665,0.07082327874025962,0.09189894657969935,38.789065110808515,-0.029702281579699355,0.02271583513431169,4.940582239915504e-05,0.1142915259734639,0.00215098,0.13,0.1296796536796535,-5.266795974588229,0.010259253949513845,0.07233034742609204
115000,0.00225098,0.087365079,0.08215952935497824,0.09621056438191612,37.5229559578096,-0.008845485381916124,0.022905420988121622,5.1686885205276714e-05,0.11956835644187883,,,,,,
