TimeStep simtime s1 s2 s3 p1 p2 p3 Px Py Pz
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -17.6239800557732 -10.7071638827018 -13.624738012858
# Fix print output for fix pavg1
0 0 0 0 0 0 0 0 0 0 0
10000 0.2525 3.24188807721444e-05 -0.000100980000000027 -5.39102131718436e-05 -0.0016531562254138 -0.0248278264032604 -0.00295242311243584 -17.5648821909041 -10.8359591859912 -13.6831527508556
20000 0.7525 0.000133619033178273 -0.000300979999999973 4.29395849967395e-05 -0.000959453632798148 -0.0336092415391405 -0.00352046552980585 -17.5868654512079 -11.0000103442607 -13.6856769458264
30000 1.2525 0.000226594084859937 -0.000500980000000027 0.000108549691626041 -0.0013182733070422 -0.0456198570071503 -0.00354649371737297 -17.5932313049831 -11.045623482255 -13.692433084483
40000 1.7525 0.000314861862691945 -0.000700979999999971 0.000173673097606844 -0.00152675437371918 -0.0585516692509634 -0.00330969488183079 -17.5991968131777 -11.0438870851801 -13.6855411365173
50000 2.2525 0.000332329112436805 -0.000900980000000027 0.000360204674774392 -0.00153257357147559 -0.0647339235024154 -0.00229405197024808 -17.6181761238802 -11.0023941943049 -13.6972586677399
60000 2.7525 0.000521346279785362 -0.00110097999999997 0.000327955532755185 -0.00117002639338693 -0.0756021213053874 -0.00327636534696695 -17.6333865200881 -11.0977154661435 -13.6930158532828
70000 3.2525 0.000568134832159384 -0.00130098000000003 0.000463666241857428 -0.00113594435442996 -0.0855515081630114 -0.00366466351920982 -17.6405434756045 -11.1104385908344 -13.6964784373502
80000 3.7525 0.000639853791352647 -0.00150097999999997 0.000541345336815065 -0.00163004085054636 -0.0976169755758458 -0.00268487664770316 -17.6504156519183 -11.0557407196301 -13.6932576931724
90000 4.2525 0.000759611650346536 -0.00170098000000002 0.000615117008294267 -0.0012218291487165 -0.108888052890178 -0.00334850404375176 -17.6653228072877 -11.0408354721644 -13.7067181573652
100000 4.7525 0.000848814102487948 -0.00190097999999997 0.000695218526453994 -0.00138150930870103 -0.119766305576238 -0.00317435396452327 -17.6825229517939 -11.1665924420235 -13.7035416235523
110000 5.2525 0.000934054748057564 -0.00210098000000003 0.000774017259618442 -0.00126154234916877 -0.128851937479613 -0.00333263092346653 -17.6873574697634 -11.2037320434728 -13.695916378195
120000 5.7525 0.00102613572784531 -0.00230097999999997 0.000851841714092098 -0.000596028418897655 -0.145160524804715 -0.00347319460378316 -17.7047294461813 -11.2485931482139 -13.7090652220662
130000 6.2525 0.00108381878149073 -0.00250098000000003 0.000973174485436065 -0.00177401877227206 -0.156014754241824 -0.00271090141558212 -17.7089322467186 -11.2561849847828 -13.7087205213332
140000 6.7525 0.00118912560161317 -0.00270097999999997 0.00103843894362595 -0.00167624170498257 -0.168198830948741 -0.00305129859913427 -17.7319299186607 -11.2722934593468 -13.7062580026659
150000 7.2525 0.00129915871155419 -0.00290098000000003 0.00110218487087117 -0.001177706278693 -0.179040219952379 -0.00369741649037508 -17.7395513634727 -11.2801194716925 -13.7111563715986
160000 7.7525 0.0013420017921336 -0.00310097999999996 0.00122426359072326 -0.00141517169154833 -0.192921859360852 -0.00335247338184925 -17.7430845232365 -11.2778144299801 -13.7119691044239
170000 8.2525 0.00146183432158916 -0.00330098000000003 0.00128711062336495 -0.00135934181274927 -0.206628845377668 -0.00331182809187784 -17.7596937155059 -11.2364641277479 -13.7175559962662
180000 8.7525 0.00153242869546065 -0.00350097999999996 0.00139225205549548 -0.00102481614330882 -0.222909454548145 -0.00281021447752776 -17.7703219009818 -11.2110185227305 -13.7182172420737
190000 9.2525 0.0016176024811667 -0.00370098000000003 0.00148052533214133 -0.00132745710164797 -0.233324602261512 -0.00285616562825679 -17.7826235609445 -11.2051517321308 -13.7240607308581
200000 9.7525 0.00171708076626381 -0.00390097999999996 0.00153693432416816 -0.0015086607215899 -0.250055760239788 -0.00332469252855969 -17.7975534813325 -11.2426826781299 -13.7242759743806
210000 10.2525 0.00178049272995227 -0.00410098000000002 0.00167088725617931 -0.00171398455587645 -0.260095714068762 -0.0033873017362236 -17.8068526848983 -11.2448571145683 -13.7236078733739
220000 10.7525 0.001905121424888 -0.00430097999999996 0.00170877416482618 -0.000782290954825065 -0.275658341066982 -0.00325023857333081 -17.8218704449433 -11.2767583872946 -13.7286457970743
230000 11.2525 0.00195623708534857 -0.00450098000000002 0.0018328876523366 -0.00111461682310354 -0.289569417789234 -0.00342923364785285 -17.8339838507688 -11.2764478053934 -13.7348563383804
240000 11.7525 0.00205026701839521 -0.00470097999999996 0.00191303512412551 -0.00133934409013235 -0.303414170794923 -0.00310346236263274 -17.8428314424116 -11.2782488201956 -13.7305861629587
250000 12.2525 0.0021569907643955 -0.00490098000000002 0.00198547536958556 -0.00167623579847815 -0.316104007354397 -0.00289636792518123 -17.8509328120768 -11.3198239753984 -13.7414889788447
260000 12.7525 0.00221537934943076 -0.00510097999999996 0.0021054248735155 -0.00162940010838721 -0.329842553904818 -0.00366762229434391 -17.8758097813519 -11.2854611116932 -13.7363967045026
270000 13.2525 0.00231858628498402 -0.00530098000000002 0.00216676446390924 -0.00102997086098713 -0.345152201225917 -0.00291305002678945 -17.868420377173 -11.3176765680517 -13.7399773425376
280000 13.7525 0.00241539524011483 -0.00550097999999996 0.00225287726656371 -0.00107867811028263 -0.364309923081626 -0.00315511023883459 -17.8941268903462 -11.4593922991029 -13.7487528291888
290000 14.2525 0.00250751348039031 -0.00570098000000002 0.00232897357430373 -0.00226450157190501 -0.382091141213592 -0.00320344003341647 -17.9052188518929 -11.5852648571677 -13.7439740268887
300000 14.7525 0.00259739863001798 -0.00590097999999996 0.00241769170413301 -0.000810174459713591 -0.398359730569445 -0.00273029420898891 -17.9166634701798 -11.5776283504162 -13.7485480944572
310000 15.2525 0.00267303025330233 -0.00610098000000002 0.00251675064586213 -0.00118939862304327 -0.411696945246111 -0.00349873742775029 -17.9324101027434 -11.6109230927188 -13.746139806639
320000 15.7525 0.00276913024230015 -0.00630097999999996 0.00260096693292996 -0.0013175161826261 -0.43189172388438 -0.00335120606767686 -17.939609309751 -11.3933974685147 -13.7560937634853
330000 16.2525 0.00284121696616317 -0.00650098000000001 0.00269703722074298 -0.00109985625421702 -0.454546051855206 -0.00368566717382169 -17.949885357868 -11.2759568078062 -13.7509757583013
