TimeStep	simtime	s1	s2	s3	p1	p2	p3	Px	Py	Pz
20000	0.505	8.41E-05	-0.00020198	-5.89E-06	-0.001376098	-0.02939073	-0.003358436	-17.57586337	-10.91855659	-13.68460473
40000	1.505	0.000270096	-0.00060198	0.000142662	-0.001370102	-0.052065699	-0.003431226	-17.59572942	-11.04494157	-13.68897855
60000	2.505	0.00042756	-0.00100198	0.000344106	-0.001497999	-0.070311705	-0.0027356	-17.62645277	-11.05019927	-13.69520749
80000	3.505	0.000604486	-0.00140198	0.000503055	-0.001373652	-0.091538717	-0.003146667	-17.64546339	-11.08275261	-13.69452578
100000	4.505	0.000804734	-0.00180198	0.000655219	-0.001325889	-0.114403445	-0.003330783	-17.67419264	-11.10388984	-13.70520375
120000	5.505	0.000980564	-0.00220198	0.000813394	-0.000827569	-0.137040467	-0.003494969	-17.69584683	-11.22666192	-13.70255451
140000	6.505	0.001137244	-0.00260198	0.001006088	-0.001787168	-0.162250791	-0.002917052	-17.72082257	-11.26429268	-13.70767133
160000	7.505	0.001320857	-0.00300198	0.001163538	-0.001271199	-0.186328735	-0.003366931	-17.74096095	-11.27853705	-13.71143172
180000	8.505	0.001497702	-0.00340198	0.001340056	-0.00129605	-0.214721487	-0.002875329	-17.76515221	-11.22339667	-13.71830356
200000	9.505	0.001667247	-0.00380198	0.001509508	-0.001505154	-0.241763068	-0.003156615	-17.79007038	-11.22416377	-13.72414326
220000	10.505	0.001843316	-0.00420198	0.001690439	-0.001103533	-0.267963067	-0.003200956	-17.81416404	-11.26082593	-13.72616855
240000	11.505	0.0020039	-0.00460198	0.001873416	-0.001288401	-0.296430333	-0.00304333	-17.83880865	-11.27795986	-13.73323165
260000	12.505	0.002186724	-0.00500198	0.002045502	-0.001675383	-0.323215117	-0.003234459	-17.86359588	-11.3017947	-13.73878482
280000	13.505	0.002367454	-0.00540198	0.002210563	-0.001104891	-0.354724273	-0.002918398	-17.88088015	-11.38939772	-13.74430183
300000	14.505	0.002552442	-0.00580198	0.002374061	-0.00166899	-0.390259122	-0.003124047	-17.91132312	-11.58175042	-13.74625287
