TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231110.648097497 8.05567130683244 -231102.59242619
# Fix print output for fix energy_out
0 -231110.648097497 8.05567130683244 -231102.59242619
1000 -231110.498936276 7.9933467091655 -231102.505589567
2000 -231110.824365209 7.73150407239544 -231103.092861137
3000 -231110.420316943 7.51126111708247 -231102.909055826
4000 -231110.671611568 7.61720270122538 -231103.054408867
5000 -231110.599705169 7.62461136137977 -231102.975093808
6000 -231110.343866289 7.79837002139333 -231102.545496268
7000 -231109.755738166 7.79819448123826 -231101.957543685
8000 -231109.547284216 7.81440125714861 -231101.732882959
9000 -231110.043361787 7.89476491986165 -231102.148596867
10000 -231110.763051955 8.03373714477308 -231102.72931481
11000 -231110.40313335 8.0099006721258 -231102.393232678
12000 -231110.471675813 7.98580163600058 -231102.485874177
13000 -231110.396886277 8.05835804301353 -231102.338528234
14000 -231110.296568114 7.9387199978637 -231102.357848116
15000 -231110.47127304 8.13013966234424 -231102.341133378
16000 -231110.548570388 8.05768597992309 -231102.490884408
17000 -231111.248647017 7.99745537885362 -231103.251191638
18000 -231110.958179185 7.68730512884925 -231103.270874056
19000 -231110.785942701 7.62313702517179 -231103.162805676
20000 -231110.559216529 7.71105401723282 -231102.848162512
21000 -231110.587492912 7.82151344849106 -231102.765979463
22000 -231110.995592917 7.95316313121222 -231103.042429786
23000 -231111.12178147 7.79064819989074 -231103.33113327
24000 -231110.615145346 7.61710176722141 -231102.998043579
25000 -231110.71797736 7.47818060208782 -231103.239796758
26000 -231110.487497606 7.75996741815163 -231102.727530188
27000 -231110.139411222 7.85351489073835 -231102.285896331
28000 -231110.373974104 7.82886198184315 -231102.545112122
29000 -231110.849997649 7.86117884428813 -231102.988818805
30000 -231111.322658907 7.69269159561103 -231103.629967311
31000 -231111.485057086 7.91042434506327 -231103.574632741
32000 -231111.09256822 8.14663397229103 -231102.945934248
33000 -231111.240293985 8.19035891040555 -231103.049935075
34000 -231111.00949492 8.22655798225483 -231102.782936938
35000 -231111.124716304 8.01522857535584 -231103.109487729
36000 -231111.587019323 7.68835501400279 -231103.898664309
37000 -231112.005556952 7.76833749725291 -231104.237219455
38000 -231112.317788098 7.96649255325927 -231104.351295545
39000 -231112.182466462 8.09164185743327 -231104.090824605
40000 -231111.942529918 8.03441287366011 -231103.908117044
41000 -231111.80963078 7.69137673637021 -231104.118254044
42000 -231111.392104723 7.48633262920347 -231103.905772094
43000 -231111.471271763 7.56736748500624 -231103.903904278
44000 -231111.53550446 7.68054710320157 -231103.854957357
45000 -231111.724702407 7.70249904641715 -231104.022203361
46000 -231111.694949266 7.75085228645025 -231103.94409698
47000 -231111.799205607 7.82693891594515 -231103.972266691
48000 -231111.852957562 7.84533409288851 -231104.007623469
49000 -231112.077805226 7.87885510793684 -231104.198950118
50000 -231111.803526163 8.03568771580832 -231103.767838447
51000 -231111.758205212 7.89914907725221 -231103.859056135
52000 -231111.590995235 7.88460074060509 -231103.706394494
53000 -231111.5550159 8.02960824132291 -231103.525407659
54000 -231111.780757043 8.09374321149435 -231103.687013831
55000 -231112.13252424 8.15466615924313 -231103.977858081
56000 -231112.603376996 8.11432669493462 -231104.489050301
57000 -231112.946044555 7.85125739194664 -231105.094787163
58000 -231112.71530337 7.75661376435442 -231104.958689606
59000 -231112.119060113 7.88748507737925 -231104.231575036
60000 -231111.914936861 7.97918288998745 -231103.935753971
61000 -231111.951860393 7.90981589922487 -231104.042044494
62000 -231112.283840896 7.74086863217512 -231104.542972264
63000 -231112.135771598 7.51886035611547 -231104.616911242
64000 -231112.170823006 7.50665773381768 -231104.664165272
65000 -231112.155404306 7.65227636552081 -231104.50312794
66000 -231112.12694077 7.81782376964153 -231104.309117
67000 -231112.030011351 7.93195476975913 -231104.098056581
68000 -231111.731970549 7.77215449003773 -231103.959816059
69000 -231111.676067254 7.71107064389335 -231103.96499661
70000 -231111.885145779 7.68373945483493 -231104.201406324
