TimeStep	simtime	s1	s2	s3	p1	p2	p3	Px	Py	Pz
10000	0.2525	0.00023219	-0.00010098	-0.000236665	0.010135349	-0.059369619	0.004479457	-1.211874106	27.27551164	0.009210733
20000	0.7525	0.000731123	-0.00030098	-0.000521911	0.011048316	-0.019703007	0.005872262	-1.549541662	26.99260012	-0.036065513
30000	1.2525	0.000988353	-0.00050098	-0.000619181	0.010582478	-0.012439351	0.004723465	-1.69638705	26.83795542	0.032521632
40000	1.7525	0.000753024	-0.00070098	-0.000158749	0.010012671	-0.036268165	0.005787421	-1.53682293	26.82704441	0.010777922
50000	2.2525	0.000736096	-0.00090098	-3.01E-05	0.009459837	-0.08270314	0.005197787	-1.470766995	26.85419518	-0.03987472
60000	2.7525	0.001191112	-0.00110098	-0.000274278	0.010582739	-0.051575796	0.004999946	-1.770613779	26.60334173	0.019167162
70000	3.2525	0.001508167	-0.00130098	-0.000400998	0.010731721	-0.035138159	0.004530572	-1.96380045	26.41363884	0.008054006
80000	3.7525	0.001429059	-0.00150098	-0.000131546	0.010903535	-0.063400123	0.00488609	-1.883127402	26.39724203	-0.02903245
90000	4.2525	0.001298621	-0.00170098	0.000156774	0.01067147	-0.105350037	0.005195632	-1.763180514	26.42027965	0.006635795
100000	4.7525	0.001609861	-0.00190098	1.95E-05	0.010365858	-0.091628984	0.004893438	-1.958335625	26.23096777	0.008643565
110000	5.2525	0.001956664	-0.00210098	-0.000114635	0.010310396	-0.057260155	0.005245794	-2.190283706	25.95927989	-0.014369568
120000	5.7525	0.001889591	-0.00230098	0.000102188	0.010285659	-0.096466769	0.004573148	-2.102161285	25.97015896	-0.000985716
130000	6.2525	0.001850381	-0.00250098	0.000341601	0.011000125	-0.129493929	0.005531232	-2.052000155	25.97535955	0.007438932
140000	6.7525	0.002062622	-0.00270098	0.000293115	0.010152709	-0.12817028	0.004698167	-2.171730318	25.82353049	-0.004944437
150000	7.2525	0.002346266	-0.00290098	0.000228249	0.009858329	-0.093397755	0.005879527	-2.367159049	25.52939101	-0.003274116
160000	7.7525	0.002428984	-0.00310098	0.000295697	0.010360756	-0.121344353	0.005008881	-2.382294732	25.4989123	0.018598692
170000	8.2525	0.002374746	-0.00330098	0.000515123	0.010517056	-0.170559803	0.004763542	-2.306053148	25.55452624	-0.008233015
180000	8.7525	0.002465824	-0.00350098	0.000649916	0.010483175	-0.160509095	0.005576887	-2.365778858	25.36889495	-0.009040172
190000	9.2525	0.002831456	-0.00370098	0.000451711	0.010283728	-0.141757184	0.004727063	-2.585550345	25.1239311	0.027290309
200000	9.7525	0.002988081	-0.00390098	0.000475297	0.010787227	-0.153525667	0.005035846	-2.668372731	25.0182669	-0.019980591
210000	10.2525	0.002870172	-0.00410098	0.000762998	0.010454405	-0.202516493	0.004766517	-2.551678617	25.07587787	-0.010184008
220000	10.7525	0.00295581	-0.00430098	0.000872404	0.010748526	-0.210367832	0.004705843	-2.587256863	24.95282312	0.032466048
230000	11.2525	0.00327916	-0.00450098	0.000760604	0.010337066	-0.176603754	0.005642079	-2.805983945	24.65135873	-0.02614197
