Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_tot,W_serr,phi_serr,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,dataset
0.0,-0.145,0.14,-0.00068,-0.18,-0.112,0.00957,9.17e-05,0.0953,0.179,0.0109,0.000118,-0.193,0.198,0.161,0.0259,0.145,0.14,0.161,0.258,0.0,5.1e-05,0.061210163,0.07027457375757577,0.028609723790859756,0.03260043920914024,0.041685219090092596,0.02444938041236754,0.0,0.0,0.00195098,0.0,0.0,,time,0.14,0.14,0.258,0.2015575907774252,0.9999999999928572,0.781230972002496,0.6860986547069817,0.13968531468531473,0.13968531468531473,0.9999999999928392,0.7832823976027377,0.6858525211333267,0.13968531468531473,0.9999999999928411,0.999999999999,Twin
10000.0,-0.147,0.14,0.000651,-0.18,-0.107,0.00956,9.14e-05,0.103,0.175,0.0108,0.000117,-0.184,0.184,0.157,0.0246,0.147,0.14,0.156,0.257,0.0,0.00015098,0.057529074,0.04423280993939395,0.030903939471533932,0.026625134528466068,0.013144606671323198,0.023946234494985258,2.4192967892185662e-06,0.005596610043014293,0.00195098,5.724224111011516e-06,2.740942989813175e-06,,time,0.14,0.14,0.257,0.20300104384214382,0.9999999999928572,0.7898873301219997,0.6839729119623386,0.13914685314685318,0.13914685314685318,0.9999999999928132,0.7843184025911863,0.6872057130268213,0.13914685314685318,0.9961451814697146,0.999999999998974,Twin
20000.0,-0.15,0.136,-0.000431,-0.177,-0.117,0.0094,8.83e-05,0.0974,0.172,0.0114,0.000129,-0.188,0.199,0.16,0.0255,0.15,0.136,0.159,0.258,0.0,0.00035098,0.008299423,0.014966038218614718,0.03570514229350759,-0.02740571929350759,-0.020759473198269505,0.024728786544109965,7.373502236359538e-06,0.017057277491583523,0.00195098,1.1263829661552642e-05,5.203176059105894e-06,,time,0.136,0.136,0.258,0.20247514850222978,0.999999999992647,0.7847873972924225,0.6943820224703496,0.13850582750582754,0.13850582750582754,0.9999999999927808,0.7851563088236734,0.6887337023129262,0.13850582750582754,0.9915561117993261,0.9999999999989416,Twin
30000.0,-0.147,0.139,-0.000794,-0.176,-0.116,0.00926,8.57e-05,0.0999,0.175,0.0108,0.000116,-0.188,0.186,0.158,0.025,0.147,0.139,0.158,0.257,0.0,0.00055098,0.025326232,0.015502228653679624,0.040790040396314994,-0.015463808396314994,-0.026739528729648337,0.023237905943184207,1.21711222462898e-05,0.028155712561558844,0.00195098,1.3961346036769087e-05,1.0507226360887255e-05,,time,0.139,0.139,0.257,0.20231319886749852,0.9999999999928058,0.7872108905319507,0.6869369369353897,0.1377622377622378,0.1377622377622378,0.9999999999927419,0.7857961163001989,0.690436488991641,0.1377622377622378,0.9862327909816755,0.9999999999989028,Twin
40000.0,-0.148,0.136,0.00106,-0.182,-0.116,0.00922,8.51e-05,0.0914,0.167,0.0106,0.000112,-0.189,0.199,0.162,0.0264,0.148,0.136,0.162,0.259,0.0,0.00075098,0.042682716,0.05453006498268391,0.04615863377995614,-0.0034759177799561364,0.008868845267662913,0.024089558084044053,1.6878630178435124e-05,0.0390456894705613,0.00195098,2.085858307659592e-05,1.3498829659508334e-05,,time,0.136,0.136,0.259,0.2010003074624514,0.999999999992647,0.7760629631724917,0.6950672645724325,0.13691608391608395,0.13691608391608395,0.9999999999926965,0.7862378250207628,0.6923140730629661,0.13691608391608395,0.9801752190167626,0.9999999999988574,Twin
50000.0,-0.149,0.139,-0.00123,-0.183,-0.12,0.00937,8.77e-05,0.101,0.171,0.0105,0.00011,-0.187,0.185,0.16,0.0256,0.149,0.139,0.159,0.259,0.0,0.00095098,0.088024792,0.06598675623809513,0.05181092244443103,0.036213869555568975,0.024355697365092785,0.023545823344588573,2.1671733432749327e-05,0.050133675834964274,0.00195098,3.365999559521062e-05,1.727915906617528e-05,,time,0.139,0.139,0.259,0.20377318984596576,0.9999999999928058,0.7867690727613089,0.6890380313183689,0.1359673659673664,0.1359673659673664,0.9999999999926474,0.786481434985367,0.694366454526903,0.1359673659673664,0.9733833959045904,0.9999999999988083,Twin
60000.0,-0.154,0.132,0.000428,-0.182,-0.117,0.00881,7.75e-05,0.0941,0.171,0.0106,0.000112,-0.189,0.188,0.159,0.0252,0.154,0.132,0.158,0.258,0.0,0.00115098,0.040266302,0.0514114751774891,0.057746906389739665,-0.017480604389739668,-0.013306906913549197,0.024081394044204115,2.6479020480446496e-05,0.06125447386631481,0.00195098,4.5578578462959516e-05,2.004369443417117e-05,,time,0.132,0.132,0.258,0.20283042963027023,0.9999999999924242,0.7861644559282328,0.70270270270112,0.13482517482517525,0.13482517482517525,0.9999999999925839,0.785813443452712,0.6969096993130339,0.13482517482517525,0.9652065081282618,0.9999999999987448,Twin
70000.0,-0.153,0.134,0.00112,-0.187,-0.122,0.00888,7.88e-05,0.0948,0.167,0.0108,0.000116,-0.182,0.193,0.155,0.0242,0.153,0.134,0.155,0.256,0.0,0.00135098,0.046568801,0.04123179321645015,0.06396658561588205,-0.017397784615882046,-0.024931421425405866,0.023466876701326658,3.1201391032695056e-05,0.07217883278636525,0.00195098,5.4232766458414055e-05,2.4518853693722923e-05,,time,0.134,0.134,0.256,0.2033869573006096,0.9999999999925373,0.7944803019524028,0.6968325791839437,0.1338834498834503,0.1338834498834503,0.9999999999925305,0.7869639948717229,0.6986283758991381,0.1338834498834503,0.9584647475943092,0.9999999999986914,Twin
80000.0,-0.155,0.132,-0.00132,-0.183,-0.118,0.0092,8.46e-05,0.0965,0.162,0.0103,0.000107,-0.191,0.186,0.16,0.0256,0.155,0.132,0.159,0.259,0.0,0.00155098,0.068200859,0.07810723537662326,0.07046996012285817,-0.0022691011228581637,0.0077385271628561195,0.022260343822262853,3.5786916803448296e-05,0.08278662580104028,0.00195098,6.585240910321923e-05,2.7312098028586417e-05,,time,0.132,0.132,0.259,0.20359455395466747,0.9999999999924242,0.786079358895295,0.7040358744378833,0.13250582750582793,0.13250582750582793,0.9999999999924547,0.7878218611127439,0.7017011941429097,0.13250582750582793,0.9486024196844924,0.9999999999986156,Twin
90000.0,-0.151,0.134,0.000966,-0.182,-0.119,0.00936,8.76e-05,0.0946,0.167,0.0104,0.000109,-0.189,0.191,0.159,0.0253,0.151,0.134,0.158,0.257,0.0,0.00175098,0.110842331,0.09777997584848472,0.07725702991066803,0.03358530108933197,0.028621854041713437,0.02228746412899173,4.026160443382991e-05,0.0931380146191251,0.00195098,8.421326185451792e-05,3.134674351624425e-05,,time,0.134,0.134,0.257,0.20188594095676896,0.9999999999925373,0.7855484083890405,0.6975169300209988,0.13144988344988384,0.13144988344988384,0.9999999999923939,0.7871501756537224,0.7037371504209124,0.13144988344988384,0.9410429703729069,0.9999999999985547,Twin
