dataset,class,s,G_N,G_W
Single,release,0.023224815272967787,0.5,0.806963050268572
Single,release,0.17029009367511222,1.0,0.9999999999996844
Single,storage,0.306262804278956,0.09090909090909091,0.030585017588479185
Single,storage,0.43739614566034657,0.18181818181818182,0.07983216708085969
Single,storage,0.6337810980087408,0.2727272727272727,0.13900432038370888
Single,storage,0.7764387517644795,0.36363636363636365,0.1886614145704406
Single,storage,0.9426376007230114,0.45454545454545453,0.25440484795315593
Single,storage,1.1112522220340506,0.5454545454545454,0.3704448522207373
Single,storage,1.1993715728955001,0.6363636363636364,0.4540950224465435
Single,storage,1.2945875317624078,0.7272727272727273,0.5421001853039197
Single,storage,1.357257893674004,0.8181818181818182,0.6360207820075656
Single,storage,1.3964657413627006,0.9090909090909091,0.8026006547641328
Single,storage,1.7007387424916058,1.0,0.9999999999999483
