dataset,class,s,G_N,G_W
Twin,release,0.04423280993939395,0.3333333333333333,0.4758860413523322
Twin,release,0.07810723537662326,0.6666666666666666,0.8316082685775423
Twin,release,0.11544726622510806,1.0,0.9999999999997478
Twin,storage,0.2414039887575754,0.125,0.05576996008864913
Twin,storage,0.3539007256103891,0.25,0.15535390575929847
Twin,storage,0.40004951014285656,0.375,0.25921772195833365
Twin,storage,0.4464076402380946,0.5,0.37236354091886464
Twin,storage,0.4970864208181811,0.625,0.4920855810482745
Twin,storage,0.5496749035367957,0.75,0.6960271779131776
Twin,storage,0.6153631312294363,0.875,0.8455223173665233
Twin,storage,0.6676951589523801,1.0,0.9999999999998515
