dataset,event_id,e_start,e_end,duration_e,s_onset,s_pre,s_post,Delta_s_drop,W_sigma,W_mech_proxy,Delta_PE,Delta_KE,Delta_ETOT,Delta_P_parallel,Delta_O_parallel,Delta_chi_parallel,energy_class
Twin,1,0.00015098,0.00075098,0.0006000000000000001,0.04423280993939395,0.05453006498268391,0.05453006498268391,0.0,1.170114557948218e-05,1.5969940866666656e-05,-1.8864681831396544,-0.10663066637398932,-1.9930988495484288,-0.004860139860139473,-0.004860139860139473,-2.552402733613235e-13,release
Twin,2,0.00155098,0.00195098,0.00039999999999999996,0.07810723537662326,0.09777997584848472,0.08152255148051936,0.01625742436796536,7.135937053305234e-06,3.55189738554112e-05,-1.4101247050427792,-0.006799545722208172,-1.416924250929629,-0.006543123543123586,-0.006543123543123586,-3.7769787297747826e-13,release
Twin,3,0.00275098,0.00315098,0.00039999999999999975,0.11544726622510806,0.13353404863203444,0.13353404863203444,0.0,5.996904415241864e-06,4.552397252640683e-05,-0.6675246088939137,0.001798597569559024,-0.6657260114821879,-0.006142191142191153,-0.006142191142191153,-3.8824499171141724e-13,release
Twin,4,0.00355098,0.00395098,0.00039999999999999975,0.15662816579653657,0.16958848277489152,0.16958848277489152,0.0,5.639943219643537e-06,6.1008836377489045e-05,-0.15591298014670496,0.018807182250397986,-0.1371057978532466,-0.006275058275058296,-0.006275058275058296,-4.3243186809149847e-13,neutral
Twin,5,0.00435098,0.00475098,0.0004000000000000002,0.19881340893939364,0.2052153670259737,0.2052153670259737,0.0,7.673474325353382e-06,7.636903982770555e-05,0.1580961774513745,0.031406782372851466,0.18950295989124255,-0.007524475524475535,-0.007524475524475535,-5.562217353372034e-13,neutral
Twin,6,0.00515098,0.00555098,0.0003999999999999993,0.2414039887575754,0.24329251695670961,0.24329251695670961,0.0,7.077570328263286e-06,9.311255202251053e-05,0.3755450211635991,-0.0013991611671791415,0.37414586011906215,-0.007183216783216817,-0.007183216783216817,-5.739853037312059e-13,storage
Twin,7,0.00775098,0.00815098,0.0004000000000000002,0.3539007256103891,0.4023062841731596,0.4023062841731596,0.0,8.020711517611883e-06,0.00014721477847186136,0.6705806302352078,-0.0033858754130176028,0.6671947548232144,-0.008447552447552464,-0.008447552447552464,-9.49684775264359e-13,storage
Twin,8,0.00855098,0.00895098,0.00040000000000000105,0.40004951014285656,0.4388227971861466,0.4388227971861466,0.0,8.270363589728306e-06,0.00016308934796147205,0.6994005193942685,0.022087133193573333,0.7214876524293639,-0.00872261072261074,-0.00872261072261074,-1.113775738303957e-12,storage
Twin,9,0.00935098,0.00975098,0.0003999999999999993,0.4464076402380946,0.4759795388658002,0.4759795388658002,0.0,8.076244943362195e-06,0.00017960515032424182,0.7619038799483318,0.014152920470461544,0.7760568003051325,-0.009152913752913772,-0.009152913752913772,-1.341149413747189e-12,storage
Twin,10,0.01015098,0.01055098,0.0003999999999999993,0.4970864208181811,0.5086453155627698,0.5086453155627698,0.0,8.459793013486537e-06,0.0001961261281324669,0.8061869870927054,0.02925246473937007,0.8354394518035567,-0.01061305361305366,-0.01061305361305366,-1.850741782050136e-12,storage
Twin,11,0.01095098,0.01195098,0.0009999999999999992,0.5496749035367957,0.6023971523636356,0.5617219261601724,0.0406752262034632,3.0578549566506856e-05,0.0005606237160216438,1.3733065469120973,0.006110483237727116,1.3794170301501598,-0.021413986013986072,-0.02125011655011662,-0.004354739258391693,storage
Twin,12,0.01235098,0.01275098,0.00040000000000000105,0.6153631312294363,0.6576097952943714,0.6239529400822502,0.03365685521212114,1.4874115299050172e-05,0.0002554535661900436,1.0066737580701366,-0.01826401923233789,0.9884097387630999,-0.016065990675990724,-0.01823193473193479,-0.021743309779130415,storage
Twin,13,0.01335098,0.01375098,0.0003999999999999993,0.6676951589523801,0.7050126288441548,0.673554503913419,0.031458124930735853,1.3929992408820908e-05,0.00027512749205541037,1.0402253202552396,-0.0337454404117421,1.0064798799009262,-0.04999475524475538,-0.019624708624708682,-0.4819698320231376,storage
