Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_mech_proxy,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,chi_parallel_delta,PE_total,KE_total,ETOT,energy_align_method,dPE,dKE,dETOT,dPE_sm,ddPE_de,dKE_sm,ddKE_de,dETOT_sm,ddETOT_de,A_dPE_down,A_dPE_up,A_dPE_down_norm,A_dPE_up_norm,onset_dPE_down,onset_dPE_up,A_dETOT_down,A_dETOT_up,A_dETOT_down_norm,A_dETOT_up_norm,onset_dETOT_down,onset_dETOT_up,e_min_dPE,e_min_dETOT,dPE_min,dETOT_min,e_zero_dPE,e_zero_dETOT,dataset
0.0,-0.145,0.14,-0.00068,-0.18,-0.112,0.00957,9.17e-05,0.0953,0.179,0.0109,0.000118,-0.193,0.198,0.161,0.0259,0.145,0.14,0.161,0.258,0.0,5.1e-05,0.061210163,0.07027457375757577,0.028609723790859756,0.03260043920914024,0.041685219090092596,0.02444938041236754,0.0,0.0,0.00195098,0.0,time,0.14,0.14,0.258,0.2015575907774252,0.9999999999928572,0.781230972002496,0.6860986547069817,0.13968531468531473,0.13968531468531473,0.9999999999928392,0.7832823976027377,0.6858525211333267,0.13968531468531473,0.9999999999928411,0.999999999999,0.0,-231110.648097497,8.05567130683244,-231102.59242619,time,0.0,0.0,0.0,0.3409008357137438,-1258.8835086980534,-0.0848887614987199,-44.027169317138124,0.25601207421795413,-1302.9106781144417,0.0,0.0,0.0,0.0,0.00035098,0.00835098,0.0,0.0,0.0,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
10000.0,-0.147,0.14,0.000651,-0.18,-0.107,0.00956,9.14e-05,0.103,0.175,0.0108,0.000117,-0.184,0.184,0.157,0.0246,0.147,0.14,0.156,0.257,0.0,0.00015098,0.057529074,0.04423280993939395,0.030903939471533932,0.026625134528466068,0.013144606671323198,0.023946234494985258,2.4192967892185662e-06,0.005596610043014293,0.00195098,5.724224111011516e-06,time,0.14,0.14,0.257,0.20300104384214382,0.9999999999928572,0.7898873301219997,0.6839729119623386,0.13914685314685318,0.13914685314685318,0.9999999999928132,0.7843184025911863,0.6872057130268213,0.13914685314685318,0.9961451814697146,0.999999999998974,-2.5979218776228663e-14,-231110.763051955,8.03373714477308,-231102.72931481,time,-0.11495445799664594,-0.021934162059361384,-0.13688862000708468,-0.011938746130262134,-1218.033756563198,-0.10755267340143734,-40.21489111808337,-0.11949141952818143,-1258.2486477871137,0.12382109409040996,0.0,0.04033543196174982,0.0,0.00035098,0.00835098,0.12803235470181876,0.0,0.04083015031912191,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
20000.0,-0.15,0.136,-0.000431,-0.177,-0.117,0.0094,8.83e-05,0.0974,0.172,0.0114,0.000129,-0.188,0.199,0.16,0.0255,0.15,0.136,0.159,0.258,0.0,0.00035098,0.008299423,0.014966038218614718,0.03570514229350759,-0.02740571929350759,-0.020759473198269505,0.024728786544109965,7.373502236359538e-06,0.017057277491583523,0.00195098,1.1263829661552642e-05,time,0.136,0.136,0.258,0.20247514850222978,0.999999999992647,0.7847873972924225,0.6943820224703496,0.13850582750582754,0.13850582750582754,0.9999999999927808,0.7851563088236734,0.6887337023129262,0.13850582750582754,0.9915561117993261,0.9999999999989416,-5.839773109528323e-14,-231110.559216529,7.71105401723282,-231102.848162512,time,0.08888096798909828,-0.34461728959962024,-0.25573632199666463,-0.34940704077930934,-1176.579682176787,-0.12825973163466708,-34.81003540526675,-0.4776667724124246,-1211.3897176941396,0.36328243796440846,0.0,0.11834133890557258,0.0,0.00035098,0.00835098,0.3749961912499441,0.0,0.11958813765077075,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
30000.0,-0.147,0.139,-0.000794,-0.176,-0.116,0.00926,8.57e-05,0.0999,0.175,0.0108,0.000116,-0.188,0.186,0.158,0.025,0.147,0.139,0.158,0.257,0.0,0.00055098,0.025326232,0.015502228653679624,0.040790040396314994,-0.015463808396314994,-0.026739528729648337,0.023237905943184207,1.21711222462898e-05,0.028155712561558844,0.00195098,1.3961346036769087e-05,time,0.139,0.139,0.257,0.20231319886749852,0.9999999999928058,0.7872108905319507,0.6869369369353897,0.1377622377622378,0.1377622377622378,0.9999999999927419,0.7857961163001989,0.690436488991641,0.1377622377622378,0.9862327909816755,0.9999999999989028,-9.725553695716371e-14,-231111.322658907,7.69269159561103,-231103.629967311,time,-0.6745614100072999,-0.3629797112214108,-1.037541120982496,-0.6715040482333976,-1129.6754758348677,-0.14700993619840916,-30.278261261227076,-0.8185139844347755,-1159.9537372100222,0.5939079537655739,0.0,0.1934689241492394,0.0,0.00035098,0.00835098,0.6121305367403602,0.0,0.19521145173219753,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
40000.0,-0.148,0.136,0.00106,-0.182,-0.116,0.00922,8.51e-05,0.0914,0.167,0.0106,0.000112,-0.189,0.199,0.162,0.0264,0.148,0.136,0.162,0.259,0.0,0.00075098,0.042682716,0.05453006498268391,0.04615863377995614,-0.0034759177799561364,0.008868845267662913,0.024089558084044053,1.6878630178435124e-05,0.0390456894705613,0.00195098,2.085858307659592e-05,time,0.136,0.136,0.259,0.2010003074624514,0.999999999992647,0.7760629631724917,0.6950672645724325,0.13691608391608395,0.13691608391608395,0.9999999999926965,0.7862378250207628,0.6923140730629661,0.13691608391608395,0.9801752190167626,0.9999999999988574,-1.4266365866433262e-13,-231111.942529918,8.03441287366011,-231103.908117044,time,-1.294432420982048,-0.021258433172331337,-1.3156908539822325,-0.9782297684925274,-1083.7850751749695,-0.16380328709266354,-27.63007758187912,-1.1420330555952343,-1111.4151528678244,0.8152540088665577,0.0,0.2655736718185539,0.0,0.00035098,0.00835098,0.839267425748145,0.0,0.26764652755974394,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
50000.0,-0.149,0.139,-0.00123,-0.183,-0.12,0.00937,8.77e-05,0.101,0.171,0.0105,0.00011,-0.187,0.185,0.16,0.0256,0.149,0.139,0.159,0.259,0.0,0.00095098,0.088024792,0.06598675623809513,0.05181092244443103,0.036213869555568975,0.024355697365092785,0.023545823344588573,2.1671733432749327e-05,0.050133675834964274,0.00195098,3.365999559521062e-05,time,0.139,0.139,0.259,0.20377318984596576,0.9999999999928058,0.7867690727613089,0.6890380313183689,0.1359673659673664,0.1359673659673664,0.9999999999926474,0.786481434985367,0.694366454526903,0.1359673659673664,0.9733833959045904,0.9999999999988083,-1.9173551635276453e-13,-231111.803526163,8.03568771580832,-231103.767838447,time,-1.1554286660102662,-0.019983591024120173,-1.1754122569982428,-1.2695842015566983,-1035.1426668666202,-0.17863978431743024,-25.83827973589848,-1.4482239858938004,-1060.980946708341,1.0271467830707166,0.0,0.33459895898697206,0.0,0.00035098,0.00835098,1.0565070357057615,0.0,0.33692531221144023,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
60000.0,-0.154,0.132,0.000428,-0.182,-0.117,0.00881,7.75e-05,0.0941,0.171,0.0106,0.000112,-0.189,0.188,0.159,0.0252,0.154,0.132,0.158,0.258,0.0,0.00115098,0.040266302,0.0514114751774891,0.057746906389739665,-0.017480604389739668,-0.013306906913549197,0.024081394044204115,2.6479020480446496e-05,0.06125447386631481,0.00195098,4.5578578462959516e-05,time,0.132,0.132,0.258,0.20283042963027023,0.9999999999924242,0.7861644559282328,0.70270270270112,0.13482517482517525,0.13482517482517525,0.9999999999925839,0.785813443452712,0.6969096993130339,0.13482517482517525,0.9652065081282618,0.9999999999987448,-2.552402733613235e-13,-231111.914936861,7.97918288998745,-231103.935753971,time,-1.2668393639905844,-0.07648841684499086,-1.343327780981781,-1.5455673474259106,-986.2733991945187,-0.19151942787270923,-23.137407321670885,-1.7370867753304746,-1009.4108066167463,1.2292883896768305,0.0,0.40044774735211375,0.0,0.00035098,0.00835098,1.2635462110382703,0.0,0.4029511278770275,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
70000.0,-0.153,0.134,0.00112,-0.187,-0.122,0.00888,7.88e-05,0.0948,0.167,0.0108,0.000116,-0.182,0.193,0.155,0.0242,0.153,0.134,0.155,0.256,0.0,0.00135098,0.046568801,0.04123179321645015,0.06396658561588205,-0.017397784615882046,-0.024931421425405866,0.023466876701326658,3.1201391032695056e-05,0.07217883278636525,0.00195098,5.4232766458414055e-05,time,0.134,0.134,0.256,0.2033869573006096,0.9999999999925373,0.7944803019524028,0.6968325791839437,0.1338834498834503,0.1338834498834503,0.9999999999925305,0.7869639948717229,0.6986283758991381,0.1338834498834503,0.9584647475943092,0.9999999999986914,-3.086420008457935e-13,-231111.885145779,7.68373945483493,-231104.201406324,time,-1.2370482819969766,-0.3719318519975108,-1.608980133984005,-1.806179206100164,-937.5247607000418,-0.20244221775850058,-20.831664124732118,-2.0086214239052564,-958.3564249196559,1.4216682056662866,0.0,0.4631165764047045,0.0,0.00035098,0.00835098,1.4603229341919106,0.0,0.46570419685228115,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
80000.0,-0.155,0.132,-0.00132,-0.183,-0.118,0.0092,8.46e-05,0.0965,0.162,0.0103,0.000107,-0.191,0.186,0.16,0.0256,0.155,0.132,0.159,0.259,0.0,0.00155098,0.068200859,0.07810723537662326,0.07046996012285817,-0.0022691011228581637,0.0077385271628561195,0.022260343822262853,3.5786916803448296e-05,0.08278662580104028,0.00195098,6.585240910321923e-05,time,0.132,0.132,0.259,0.20359455395466747,0.9999999999924242,0.786079358895295,0.7040358744378833,0.13250582750582793,0.13250582750582793,0.9999999999924547,0.7878218611127439,0.7017011941429097,0.13250582750582793,0.9486024196844924,0.9999999999986156,-3.844702334276917e-13,-231113.145835744,7.84243598000471,-231105.303399764,time,-2.4977382470096927,-0.21323532682773028,-2.7109735739941243,-2.0514197775794587,-889.045704511016,-0.2114081539748042,-18.986992203357783,-2.2628279316181454,-908.0326968037908,1.6043252521873923,0.0,0.5226181575077328,0.0,0.00035098,0.00835098,1.6469618463642552,0.0,0.5252242678307615,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
90000.0,-0.151,0.134,0.000966,-0.182,-0.119,0.00936,8.76e-05,0.0946,0.167,0.0104,0.000109,-0.189,0.191,0.159,0.0253,0.151,0.134,0.158,0.257,0.0,0.00175098,0.110842331,0.09777997584848472,0.07725702991066803,0.03358530108933197,0.028621854041713437,0.02228746412899173,4.026160443382991e-05,0.0931380146191251,0.00195098,8.421326185451792e-05,time,0.134,0.134,0.257,0.20188594095676896,0.9999999999925373,0.7855484083890405,0.6975169300209988,0.13144988344988384,0.13144988344988384,0.9999999999923939,0.7871501756537224,0.7037371504209124,0.13144988344988384,0.9410429703729069,0.9999999999985547,-4.453104551771503e-13,-231112.595624798,7.69917332402692,-231104.896451474,time,-1.9475273010029923,-0.3564979828055206,-2.3040252839855384,-2.2812890618637947,-841.0518234861169,-0.21841723652162018,-17.68203817665956,-2.4997062984691425,-858.733861746348,1.7773350049871057,0.0,0.5789770773188967,0.0,0.00035098,0.00835098,1.8236385022192692,0.0,0.5815673260619441,0.0,0.00035098,0.00815098,0.00475098,0.00355098,-3.8543669839855283,-4.1154245469952,0.011301956531741797,0.011646009223199968,Twin
