dataset,Time,section,strain,P_parallel,Pabs_parallel_mean,Pmag_mean,chi_parallel,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,H_sec_quick,H_sec_chi_quick,P_env_min,P_env_max,chi_env_min,chi_env_max,H_sec_quick_sm,dH_sec_quick_de,A_H_sec_quick,A_H_sec_quick_norm,onset_H_sec_quick,H_sec_chi_quick_sm,dH_sec_chi_quick_de,A_H_sec_chi_quick,A_H_sec_chi_quick_norm,onset_H_sec_chi_quick
Twin,0.0,xy,5.1e-05,0.1402284,0.1402284,0.2588634,0.9999999999928687,0.14037182727272715,-5.145204165254791,0.0,0.0,0.00295098,0.9999999999928733,-2.8096322926543445e-10,0.0,0.0,0.01295098,0.010396378719414236,7.405187574295176e-14,0.1395904,0.1410489,0.9999999999928362,0.9999999999929102,0.008732706605715021,2.095422668133783,0.0,0.0,0.01275098,6.18993072290814e-14,1.9464072443263532e-11,0.0,0.0,0.01295098
Twin,10000.0,xy,0.00015098,0.1415134,0.1415134,0.2574487,0.9999999999929335,0.13955644848484838,-5.022720706508448,0.0005082945643394443,0.0035640843308766966,0.00295098,0.9999999999928324,-2.755757472160114e-10,2.7821383434307477e-14,3.4230416151442743e-14,0.01295098,0.012755088756997763,9.092726571735507e-14,0.1397171,0.1415134,0.9999999999928426,0.9999999999929335,0.011399839745576023,1.5899944580776946,0.00018423400213931178,9.063963136106529e-05,0.01275098,8.169592948315494e-14,1.5832075077125184e-11,1.764454414544232e-15,1.198722494075459e-15,0.01295098
Twin,20000.0,xy,0.00035098,0.1354943,0.1354943,0.2569313,0.9999999999926196,0.13868515887445879,-5.0099907025045045,0.0015115657052407394,0.010598869283877247,0.00295098,0.9999999999927878,-2.769467220968665e-10,8.307363036559526e-14,1.0221076695700411e-13,0.01295098,0.014652404121802047,1.0746958878439396e-13,0.1354943,0.1374971,0.9999999999926196,0.999999999992727,0.013489697555001805,1.3886687767774142,0.00048210032562482263,0.00023718420750932232,0.01275098,9.7383284698006e-14,1.4374998863220055e-11,4.785161808578756e-15,3.250909204823986e-15,0.01295098
Twin,30000.0,xy,0.00055098,0.1391796,0.1391796,0.2574071,0.999999999992815,0.13775795844155836,-5.083982524192666,0.0025209630279104563,0.01767661009354195,0.00295098,0.9999999999927393,-2.8413494418421115e-10,1.3918179699370301e-13,1.7124421016120714e-13,0.01295098,0.007380997014958164,5.317968287987526e-14,0.1381559,0.1391796,0.9999999999927618,0.999999999992815,0.01500228003399237,0.8961983394695059,0.0007105870372495146,0.00034959533179735637,0.01275098,1.0896137287363459e-13,1.0626922478201605e-11,7.285353942720922e-15,4.949471959408321e-15,0.01295098
Twin,40000.0,xy,0.00075098,0.1349153,0.1349153,0.2580286,0.9999999999925879,0.13677484718614696,-5.119349132798326,0.0035412961936095557,0.02483103137457192,0.00295098,0.9999999999926859,-2.8853660603320777e-10,1.9644895201544494e-13,2.4170363044244756e-13,0.01295098,0.009594443550257266,7.072120666907388e-14,0.1349153,0.1362149,0.9999999999925879,0.9999999999926587,0.015937587182547702,0.4612427042494238,0.0008463311416214076,0.0004163788540399152,0.01275098,1.164301940100406e-13,7.275068358678132e-12,9.075553026408895e-15,6.165684683750288e-15,0.01295098
Twin,50000.0,xy,0.00095098,0.1385043,0.1385043,0.2579645,0.99999999999278,0.13551377575757556,-5.229462350361509,0.004576177341925539,0.03208746090146634,0.00295098,0.9999999999926179,-2.9761716794502834e-10,2.550643294132686e-13,3.1382185439558065e-13,0.01295098,0.022570382146601342,1.606492716642494e-13,0.1385043,0.1416579,0.99999999999278,0.9999999999929406,0.016882306163403367,-0.25827335818737834,0.0009182827478650879,0.0004517776783070677,0.01275098,1.2435074615114752e-13,1.6818156455247785e-12,9.971241426829186e-15,6.774191100473786e-15,0.01295098
Twin,60000.0,xy,0.00115098,0.1340592,0.1340592,0.2582046,0.9999999999925405,0.13540880173160152,-5.275427195728407,0.00562666629653453,0.03945332999697106,0.00295098,0.9999999999926128,-3.0260707891774147e-10,3.1508675409954555e-13,3.876712580487543e-13,0.01295098,0.0190401311092,1.4310774787511947e-13,0.1315358,0.1340592,0.9999999999923974,0.9999999999925405,0.017564174235381078,-0.3411036739200703,0.0009782204510758326,0.0004812658903665484,0.01275098,1.2981102484502366e-13,1.1218817467225107e-12,1.0251611166053915e-14,6.964666700351251e-15,0.01295098
Twin,70000.0,xy,0.00135098,0.1332719,0.1332719,0.2579447,0.9999999999924964,0.1334642303030301,-5.360334355809936,0.006690242451688365,0.04691096455618388,0.00295098,0.9999999999925044,-3.1073441060974365e-10,3.764209030522941e-13,4.631345594300294e-13,0.01295098,0.024234686200093364,1.8285373215695632e-13,0.1311227,0.1343438,0.9999999999923735,0.9999999999925564,0.014651124189159422,-0.6116655584724963,0.0010734973743150894,0.0005281403277632488,0.01275098,1.0811842042217574e-13,-9.66990758887155e-13,1.0460498416614882e-14,7.106579035353505e-15,0.01295098
Twin,80000.0,xy,0.00155098,0.1321299,0.1321299,0.2578146,0.9999999999924316,0.13254869047619028,-5.338574428821958,0.007760133330151554,0.05441287699672707,0.00295098,0.999999999992452,-3.1169557134931075e-10,4.386639012481995e-13,5.397160757945975e-13,0.01295098,0.0054955131105487946,4.163336342371767e-14,0.1314057,0.1321299,0.99999999999239,0.9999999999924316,0.01568481877347567,-0.46515599870940705,0.0011811795300332797,0.0005811179040256437,0.01275098,1.1830940267946548e-13,2.205872154957343e-13,1.0579256214053171e-14,7.187259863354894e-15,0.01295098
Twin,90000.0,xy,0.00175098,0.1330124,0.1330124,0.2562975,0.9999999999924819,0.13113200865800845,-5.250195313447248,0.008819010304378476,0.061837561612571264,0.00295098,0.999999999992373,-3.081168033858044e-10,5.00645138721711e-13,6.159755313069149e-13,0.01295098,0.010730117964617009,8.015810237845599e-14,0.1330124,0.1344463,0.9999999999924819,0.9999999999925621,0.013616729430326298,-0.24736735301591406,0.001252431865205812,0.0006161727002014866,0.01275098,1.050299818264088e-13,1.9481509473504788e-12,1.0796130030337793e-14,7.334598054590351e-15,0.01295098
