TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
0,0.0,0.0,0.005911592849044592,0.015126976940257511,56.585931572388496,-0.015126976940257511,0.0067785959785763,0.0,0.0,0.0,0.0255,0.02467818181818179,-1.2658847704139953,0.0,0.0
5000,5.09800000000291e-05,0.0188375110890416,0.014868394597907626,0.020076413420117976,56.16821375760944,-0.0012389023310763747,0.006492472943074009,3.3827954681305944e-07,0.0018764218746447393,,,,,,
10000,0.00015098,0.0308181417174793,0.023224815272967787,0.02507434939086226,55.86360959759083,0.00574379232661704,0.0062591542509446195,9.758609065138052e-07,0.005413057835876401,0.00015098,0.0221,0.023474545454545432,-1.2868717745819922,0.0001927075915817471,0.0015032616413895377
15000,0.0002509799999999,0.0290839516861287,0.030980854874225073,0.03012078485249036,55.734070397719094,-0.0010368331663616615,0.00605388918362638,1.5915130782417397e-06,0.008828053548996581,,,,,,
20000,0.0003509799999999,0.0381345313921523,0.038136513401679464,0.03521571980500228,55.365286644942074,0.0029188115871500234,0.0058973270889778676,2.189073891871952e-06,0.012142697288737311,0.0003509799999999,0.0223,0.022534329004328984,-1.3725947551780315,0.0004586542445576165,0.00357784209145431
25000,0.00045098,0.0403682632583816,0.04396759734145185,0.040359154248398026,55.36524257745657,9.109009983576666e-06,0.0059353146179833465,2.780705977220604e-06,0.015424454631587802,,,,,,
30000,0.00055098,0.0508714507559192,0.047430999126716875,0.04555108818267759,55.28979441696496,0.005320362573241609,0.005929945687482054,3.373968992493874e-06,0.018715258671512938,0.00055098,0.0224,0.021857532467532453,-1.4424330621487191,0.0007401570262904323,0.00577377184310544
35000,0.0006509799999999,0.0519636709565361,0.05408609765845489,0.05079152160784097,55.21138090807891,0.0011721493486951257,0.005814682663511641,3.9612004100429715e-06,0.021972605702241625,,,,,,
40000,0.0007509799999999,0.0651396675453906,0.0588426702868321,0.05608045452388818,55.1970935421748,0.009059213021502428,0.005718269393459762,4.537848012891541e-06,0.025171244774985987,0.0007509799999999,0.0221,0.021444155844155814,-1.4678113883456636,0.001031181471339725,0.008043977605931844
45000,0.00085098,0.054295926773296,0.06402366636325565,0.061417886930819204,55.43646354803664,-0.007121960157523206,0.005657207012168774,5.106621833173537e-06,0.028326208319655106,,,,,,
