TimeStep simtime s1 s2 s3 p1 p2 p3 Px Py Pz
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -17.6239800557732 -10.7071638827018 -13.624738012858
# Fix print output for fix pout0
0 0 0 0 0 0 0 0 0 0 0
5000 0.1275 6.19530658588216e-06 -5.09800000000291e-05 -3.88835078226281e-05 -0.00125532965387528 -0.0188375110890416 -0.00332410349047197 -17.5655801011577 -10.7740285652654 -13.675528827163
10000 0.3775 5.86424549584067e-05 -0.000150980000000024 -6.89369185210591e-05 -0.00205098279695231 -0.0308181417174793 -0.00258074273439971 -17.5641842806506 -10.897889806717 -13.6907766745483
15000 0.6275 0.000109907103396473 -0.000250979999999955 1.26307285805798e-05 -0.00120992417756296 -0.0290839516861287 -0.00443415216799358 -17.5867726397846 -10.9668293494226 -13.6880433006764
20000 0.8775 0.000157330962960074 -0.000350979999999991 7.32484414128991e-05 -0.00070898308803333 -0.0381345313921523 -0.00260677889161813 -17.5869582626312 -11.0331913390988 -13.6833105909764
25000 1.1275 0.000207424989361605 -0.000450980000000028 6.55389267413727e-05 -0.00176344414558617 -0.0403682632583816 -0.00259637528321035 -17.5802183538874 -11.061467543814 -13.6868869149687
30000 1.3775 0.00024576318035827 -0.000550980000000026 0.00015156045651071 -0.000873102468498239 -0.0508714507559192 -0.00449661215153559 -17.6062442560788 -11.029779420696 -13.6979792539973
35000 1.6275 0.000224405391465178 -0.000650979999999953 0.000237691110060047 -0.00196225502774256 -0.0519636709565361 -0.00187992664210038 -17.6009851471918 -11.0484485267149 -13.681821731444
40000 1.8775 0.000405318333918712 -0.00075097999999999 0.000109655085153642 -0.0010912537196958 -0.0651396675453906 -0.00473946312156119 -17.5974084791637 -11.0393256436454 -13.6892605415906
45000 2.1275 0.000401844907338207 -0.000850980000000027 0.000288167093325637 -0.000338206830297218 -0.054295926773296 -0.00270918222181473 -17.6296006175503 -10.9976126876372 -13.694672512075
50000 2.3775 0.000262813317535403 -0.000950980000000028 0.000432242256223148 -0.00272694031265396 -0.0751719202315348 -0.00187892171868143 -17.6067516302101 -11.0071757009726 -13.6998448234047
55000 2.6275 0.000574484306980373 -0.00105097999999995 0.000243038792980391 -0.000178225522459017 -0.0716190078172193 -0.00402298074353093 -17.6364720244679 -11.0857211176455 -13.6891106562403
60000 2.8775 0.00046820825259035 -0.00115097999999999 0.000412872272529978 -0.00216182726431483 -0.0795852347935555 -0.00252974995040298 -17.6303010157082 -11.1097098146415 -13.6969210503253
65000 3.1275 0.000536231444833693 -0.00125098000000003 0.000434809563093944 -0.00122971326606962 -0.0852001443385453 -0.0039880242389212 -17.6438923933122 -11.1011986360376 -13.6849501941267
70000 3.3775 0.000600038219485075 -0.00135098000000003 0.000492522920620912 -0.0010421754427903 -0.0859028719874776 -0.00334130279949844 -17.6371945578968 -11.1196785456312 -13.7080066805737
75000 3.6275 0.000631791601153978 -0.00145097999999995 0.00049702652017156 -0.0016181211249987 -0.100939423576161 -0.0036715547274263 -17.6539480600728 -11.0660626356395 -13.7045917619229
80000 3.8775 0.000647915981551315 -0.00155097999999999 0.000585664153458571 -0.00164196057609401 -0.0942945275755308 -0.00169819856798002 -17.6468832437639 -11.0454188036206 -13.6819236244219
85000 4.1275 0.000806251049285022 -0.00165098000000002 0.000549165815058559 -8.04821806109978e-05 -0.102577407738561 -0.00442441679682038 -17.6772812187813 -11.0312813842271 -13.7127930563117
90000 4.3775 0.00071297225140805 -0.00175098000000003 0.000681068201529975 -0.002363176116822 -0.115198698041794 -0.00227259129068314 -17.6533643957941 -11.0503895601017 -13.7006432584186
95000 4.6275 0.000815688278685712 -0.00185097999999995 0.000657948374384849 -0.000181818174230939 -0.121796309718119 -0.00363454884816704 -17.700246206398 -11.1319190443702 -13.7018301170313
100000 4.8775 0.000881939926290183 -0.00195097999999999 0.000732488678523139 -0.00258120044317112 -0.117736301434357 -0.00271415908087949 -17.6647996971898 -11.2012658396768 -13.7052531300732
105000 5.1275 0.000897874403372785 -0.00205098000000002 0.000732621785313558 -0.000560639997640801 -0.127694841696473 -0.00386549059827372 -17.6922731514586 -11.1829579436695 -13.7080005471405
110000 5.3775 0.000970235092742343 -0.00215098000000003 0.000815412733923325 -0.00196244470069673 -0.130009033262754 -0.00279977124865935 -17.6824417880681 -11.224506143276 -13.6838322092496
115000 5.6275 0.000926909908678544 -0.00225097999999995 0.000898584599302684 -0.00174047413034565 -0.146120397143039 -0.0031492320706403 -17.6888376221039 -11.1984480008317 -13.7234455816761
120000 5.8775 0.00112536154701208 -0.00235097999999999 0.000805098828881512 0.000548417292550336 -0.144200652466392 -0.00379715713692601 -17.7206212702586 -11.2987382955961 -13.6946848624563
125000 6.1275 0.00105459227441867 -0.00245098000000002 0.000965440760391512 -0.00310401381614555 -0.154744894797526 -0.00314402384631924 -17.7063760658352 -11.2800356201328 -13.7080967857486
130000 6.3775 0.0011130452885628 -0.00255098000000003 0.000980908210480619 -0.000444023728398576 -0.157284613686123 -0.002277778984845 -17.7114884276019 -11.2323343494327 -13.7093442569178
135000 6.6275 0.00121846963407993 -0.00265097999999995 0.000951132276238433 -0.00132176860284539 -0.168277511083174 -0.00458764973754644 -17.7323195423881 -11.2421834454909 -13.7036379085646
140000 6.8775 0.00115978156914642 -0.00275097999999998 0.00112574561101348 -0.00203071480711975 -0.168120150814309 -0.00151494746072209 -17.7315402949332 -11.3024034732027 -13.7088780967672
145000 7.1275 0.00127522977314001 -0.00285098000000002 0.00108823833730252 -0.000258893517722699 -0.176108854778367 -0.00376611640255151 -17.7215887214044 -11.2918951045932 -13.7111250632673
150000 7.3775 0.00132308764996838 -0.00295098000000004 0.00111613140443982 -0.0020965190396633 -0.18197158512639 -0.00362871657819866 -17.757514005541 -11.2683438387917 -13.7111876799299
155000 7.6275 0.00136033022485649 -0.00305097999999994 0.00118580141140536 -0.000744204245977733 -0.18727344281372 -0.00295613707015291 -17.7441423175394 -11.2880732935705 -13.7171069623415
160000 7.8775 0.00132367335941071 -0.00315097999999998 0.00126272577004116 -0.00208613913711893 -0.198570275907985 -0.00374880969354559 -17.7420267289337 -11.2675555663896 -13.7068312465064
165000 8.1275 0.00144631744248526 -0.00325098000000002 0.00128326649732919 -0.00125666269278414 -0.20184232348789 -0.0020358477901248 -17.7547821168776 -11.2731482082552 -13.7197234757008
170000 8.3775 0.00147735120069305 -0.00335098000000003 0.00129095474940072 -0.0014620209327144 -0.211415367267445 -0.00458780839363088 -17.7646053141343 -11.1997800472407 -13.7153885168317
175000 8.6275 0.00154324812592044 -0.00345097999999995 0.00133974099164327 -0.000454886469316035 -0.221015538633845 -0.00285654052578636 -17.7730618367602 -11.2217915318889 -13.719375741974
180000 8.8775 0.00152160926500085 -0.00355097999999998 0.00144476311934769 -0.0015947458173016 -0.224803370462444 -0.00276388842926916 -17.7675819652035 -11.2002455135721 -13.7170587421735
185000 9.1275 0.00158712618477345 -0.00365098000000002 0.00144840243032061 -0.00190512124401255 -0.229339217809631 -0.00313969543073159 -17.7817829706413 -11.2212528028703 -13.7268022678415
