TimeStep	simtime	s1	s2	s3	p1	p2	p3	Px	Py	Pz
20000	0.505	0.000483432	-0.00020198	-0.000380139	0.010530008	-0.039341225	0.005295016	-1.381923002	27.13303853	-0.013289436
40000	1.505	0.000869996	-0.00060198	-0.000387299	0.010332344	-0.024608274	0.005341745	-1.615986542	26.83249492	0.021935923
60000	2.505	0.000966729	-0.00100198	-0.000154069	0.009944701	-0.067013279	0.005212283	-1.622580876	26.72774666	-0.010515662
80000	3.505	0.001468278	-0.00140198	-0.000265425	0.01085741	-0.049511933	0.004741669	-1.923295347	26.4055256	-0.010874253
100000	4.505	0.001454945	-0.00180198	8.85E-05	0.010417606	-0.09831756	0.005029842	-1.861183752	26.32438663	0.008033164
120000	5.505	0.001923123	-0.00220198	-5.64E-06	0.010442068	-0.077115817	0.004770745	-2.145839657	25.96508411	-0.007508014
140000	6.505	0.001957408	-0.00260198	0.000317009	0.010419943	-0.128864622	0.005094758	-2.112397005	25.89884902	0.000743724
160000	7.505	0.002387597	-0.00300198	0.000262996	0.010201279	-0.107585866	0.005421856	-2.374552263	25.51400432	0.007733714
180000	8.505	0.002421709	-0.00340198	0.000582111	0.010435657	-0.16537808	0.005091053	-2.336914626	25.46078218	-0.008352312
200000	9.505	0.002910137	-0.00380198	0.000464437	0.010638456	-0.147593991	0.004895617	-2.627058448	25.07008329	0.003572251
220000	10.505	0.002913597	-0.00420198	0.000817774	0.010554911	-0.206635851	0.004788131	-2.569849313	25.0140982	0.01096192
240000	11.505	0.003354091	-0.00460198	0.000765868	0.010206369	-0.182862461	0.005481057	-2.843514408	24.59099822	-0.016892347
260000	12.505	0.003398007	-0.00500198	0.001072566	0.010705432	-0.245773108	0.00481001	-2.801211647	24.5415161	-0.003749274
280000	13.505	0.003798418	-0.00540198	0.001061706	0.00994642	-0.225275127	0.005417821	-3.05037346	24.10786593	0.015234295
300000	14.505	0.003885844	-0.00580198	0.001326556	0.010737489	-0.288185866	0.004949616	-3.03336021	24.05923239	-0.011957689
320000	15.505	0.004281128	-0.00620198	0.001330763	0.010298493	-0.266425542	0.005146367	-3.275860477	23.59754834	-0.010634517
340000	16.505	0.00437335	-0.00660198	0.001590349	0.01063719	-0.329708195	0.004972373	-3.265353133	23.54769811	0.015717901
360000	17.505	0.004727	-0.00700198	0.001644102	0.010250335	-0.30751464	0.005114349	-3.478700081	23.0687932	-0.001292044
380000	18.505	0.004866425	-0.00740198	0.001845341	0.010578695	-0.370409837	0.004889939	-3.498758483	23.00401847	-0.014062795
400000	19.505	0.005169335	-0.00780198	0.001968104	0.010340755	-0.352341234	0.005191916	-3.675159271	22.53017008	0.009365561
420000	20.505	0.005378449	-0.00820198	0.002096229	0.010551018	-0.410181351	0.00511247	-3.739590615	22.42586998	0.003042249
440000	21.505	0.005638987	-0.00860198	0.002263891	0.010375069	-0.396742483	0.004856715	-3.888186423	21.95052939	-0.0118563
460000	22.505	0.005869143	-0.00900198	0.002378384	0.010375423	-0.447929878	0.004979082	-3.965927914	21.80294048	-0.000444782
480000	23.505	0.006108359	-0.00940198	0.002571532	0.010501506	-0.442167081	0.00519633	-4.09826857	21.34027982	0.008226339
500000	24.505	0.006363052	-0.00980198	0.002663319	0.010397941	-0.487304395	0.005193682	-4.192345506	21.14296785	-0.002739337
520000	25.505	0.006581052	-0.01020198	0.002875065	0.010490511	-0.491262842	0.005131699	-4.302119565	20.70814595	-0.005069516
540000	26.505	0.006869888	-0.01060198	0.002947425	0.010458186	-0.521485418	0.005049772	-4.43028696	20.39176193	0.00862656
560000	27.505	0.0070222	-0.01100198	0.003221883	0.010028006	-0.540009311	0.005074922	-4.489376814	20.01723556	0.004392543
580000	28.505	0.007405382	-0.01140198	0.003207861	0.010886255	-0.551809721	0.004900189	-4.68045115	19.52160141	-0.008069521
600000	29.505	0.007480146	-0.01180198	0.003564337	0.010150166	-0.590389332	0.005551953	-4.68442296	19.26319014	0.001598661
620000	30.505	0.007930245	-0.01220198	0.003492728	0.010597552	-0.573289776	0.004932817	-4.931351852	18.42709574	0.004335175
640000	31.505	0.007970787	-0.01260198	0.00386425	0.010430476	-0.649263801	0.00496777	-4.884354233	18.477987	-0.005698092
660000	32.505	0.00844316	-0.01300198	0.003827446	0.010355285	-0.578117746	0.005324106	-5.18939337	16.73767205	7.71E-05
680000	33.505	0.008516931	-0.01340198	0.004132292	0.010492506	-0.679118885	0.004939286	-5.135508331	17.1633301	0.005543631
700000	34.505	0.008881767	-0.01380198	0.004176261	0.010625764	-0.666094239	0.005040343	-5.336602582	15.39714049	-0.003726321
720000	35.505	0.009067445	-0.01420198	0.004410322	0.010425647	-0.70963886	0.005145514	-5.390557029	11.56145012	-0.004604431
740000	36.505	0.009319609	-0.01460198	0.004508521	0.01022441	-0.777464491	0.005015588	-5.46389827	12.0472162	-0.000223465
760000	37.505	0.009473874	-0.01500198	0.004764267	0.010641485	-0.83366314	0.004865138	-5.491058618	14.40526735	0.008010389
780000	38.505	0.00971281	-0.01540198	0.004883813	0.010353938	-0.899294637	0.005116293	-5.558408523	12.71898677	-0.004745895
800000	39.505	0.009864728	-0.01580198	0.005130944	0.01024081	-0.965545831	0.005148759	-5.579366766	12.71798001	-0.00425521
820000	40.505	0.010117604	-0.01620198	0.005238607	0.010653815	-1.042398678	0.004755179	-5.641360046	13.68720599	0.005233402
840000	41.505	0.01025877	-0.01660198	0.005492446	0.010459654	-1.112482204	0.00501161	-5.654563145	12.37859392	-0.001961089
860000	42.505	0.010476645	-0.01700198	0.005642509	0.010257585	-1.187762981	0.00535875	-5.701484032	13.48716786	-0.008241945
880000	43.505	0.01067131	-0.01740198	0.005835412	0.010435625	-1.261741865	0.0049888	-5.737163198	12.76943262	-0.001910792
900000	44.505	0.010886579	-0.01780198	0.006000136	0.010701068	-1.336374642	0.004866783	-5.782085315	13.01771802	0.004627239
920000	45.505	0.011059233	-0.01820198	0.006205445	0.01005751	-1.413476015	0.005183884	-5.806527703	13.14717282	-0.001786761
940000	46.505	0.011248266	-0.01860198	0.006410391	0.010437595	-1.488533084	0.005256835	-5.83707482	12.76150341	-0.005235879
960000	47.505	0.011499581	-0.01900198	0.006531366	0.010693067	-1.566712181	0.004937599	-5.899578274	13.27571647	0.001843242
980000	48.505	0.011646489	-0.01940198	0.00678425	0.010426181	-1.642099993	0.004958734	-5.908399474	12.68412611	0.004887137
